iter,acc,nmi,ari,L,Lc,Lr
0,0.69612,0.52445,0.51695,0,0,0
100,0.71624,0.52355,0.53282,0.02181,0.12004,0.0204
200,0.71664,0.4923,0.50873,0.04845,0.12246,0.04706
300,0.70779,0.5004,0.50341,0.05429,0.11247,0.05303
400,0.70759,0.47874,0.49156,0.05256,0.11839,0.05136
500,0.70718,0.49738,0.50298,0.04569,0.11345,0.04456
600,0.7094,0.49289,0.50156,0.03961,0.11395,0.03847
700,0.70578,0.507,0.50989,0.03688,0.11204,0.03579
800,0.7094,0.49662,0.50705,0.03587,0.11489,0.03477
900,0.71362,0.51702,0.52581,0.03406,0.11344,0.03299
1000,0.71624,0.50868,0.52385,0.03371,0.11469,0.03264
1100,0.7092,0.51504,0.51969,0.03197,0.11421,0.03091
1200,0.71101,0.49497,0.50799,0.03134,0.11556,0.03027
1300,0.71061,0.52154,0.52534,0.03219,0.11444,0.03115
1400,0.71322,0.5091,0.52249,0.0313,0.11526,0.03025
1500,0.70718,0.51806,0.51974,0.03031,0.11475,0.02926
1600,0.71503,0.51381,0.52798,0.02959,0.11559,0.02854
1700,0.7102,0.52245,0.52778,0.02862,0.11513,0.02757
1800,0.71423,0.51276,0.52882,0.02828,0.11586,0.02722
1900,0.71201,0.53077,0.5356,0.02884,0.11547,0.02779
2000,0.71342,0.50957,0.52444,0.02899,0.11639,0.02794
2100,0.70779,0.52629,0.52847,0.02857,0.1159,0.02752
2200,0.71765,0.52234,0.53609,0.02885,0.11663,0.02778
2300,0.70618,0.5253,0.525,0.02887,0.1163,0.0278
2400,0.71161,0.51772,0.52686,0.02856,0.11672,0.02749
2500,0.71061,0.53179,0.53453,0.02825,0.11632,0.02719
2600,0.70678,0.51704,0.52419,0.02771,0.11655,0.02665
2700,0.71201,0.52821,0.5345,0.02695,0.11651,0.02589
2800,0.71161,0.5218,0.53103,0.02623,0.11657,0.02516
2900,0.70256,0.5264,0.52388,0.02596,0.11648,0.02489
3000,0.70859,0.51318,0.52106,0.02624,0.11703,0.02517
3100,0.70638,0.52459,0.52583,0.02612,0.11676,0.02505
3200,0.7092,0.51982,0.52616,0.02567,0.11693,0.0246
3300,0.70396,0.52649,0.52484,0.02543,0.11684,0.02436
3400,0.70819,0.51309,0.52123,0.02528,0.11711,0.0242
3500,0.69853,0.52224,0.51516,0.02515,0.11686,0.02407
3600,0.70739,0.51767,0.52083,0.02515,0.11721,0.02407
3700,0.69813,0.52242,0.51524,0.02499,0.11713,0.02391
3800,0.70155,0.50987,0.51105,0.02481,0.11737,0.02373
3900,0.70195,0.52738,0.52231,0.02467,0.11711,0.02359
4000,0.70578,0.52639,0.52574,0.02431,0.11726,0.02322
4100,0.70658,0.52443,0.52418,0.02397,0.11731,0.02288
4200,0.69853,0.52544,0.51711,0.02372,0.1173,0.02263
4300,0.70477,0.51654,0.51717,0.02368,0.11754,0.02259
4400,0.69591,0.52324,0.51165,0.02356,0.11743,0.02247
4500,0.70537,0.52182,0.52156,0.02356,0.11765,0.02247
4600,0.69833,0.52498,0.51618,0.0234,0.11751,0.02231
4700,0.70477,0.52448,0.52157,0.02315,0.11765,0.02206
4800,0.69591,0.52305,0.51276,0.02295,0.11761,0.02186
4900,0.69974,0.51332,0.5089,0.02289,0.11789,0.02179
5000,0.70014,0.53696,0.52395,0.02291,0.11773,0.02182
5100,0.70517,0.52775,0.52316,0.02273,0.11788,0.02163
5200,0.6939,0.52603,0.51152,0.02254,0.11781,0.02144
5300,0.69672,0.51665,0.50887,0.02233,0.11797,0.02123
5400,0.69712,0.53144,0.51711,0.02217,0.11788,0.02107
5500,0.70457,0.53318,0.52347,0.02218,0.11808,0.02107
5600,0.69853,0.53588,0.52003,0.02204,0.11809,0.02094
5700,0.70437,0.5289,0.5217,0.0219,0.11819,0.0208
5800,0.6931,0.52798,0.51146,0.02185,0.1181,0.02074
5900,0.69612,0.51819,0.50793,0.02172,0.11827,0.02062
6000,0.69511,0.53172,0.51639,0.02161,0.11815,0.02051
6100,0.70095,0.52991,0.51904,0.02149,0.11827,0.02039
6200,0.69591,0.533,0.51655,0.02131,0.11823,0.02021
6300,0.69913,0.52903,0.51701,0.02114,0.11832,0.02003
6400,0.6929,0.52952,0.51128,0.02105,0.11829,0.01994
6500,0.69994,0.52655,0.51542,0.02108,0.11851,0.01997
6600,0.6939,0.53364,0.51519,0.02099,0.11842,0.01988
6700,0.70195,0.53346,0.52106,0.02088,0.11851,0.01977
6800,0.69068,0.53151,0.51011,0.0208,0.11846,0.01968
6900,0.69531,0.52449,0.51093,0.02064,0.11855,0.01952
7000,0.6937,0.53728,0.51704,0.02053,0.11846,0.01941
7100,0.69813,0.53217,0.51691,0.02048,0.11862,0.01936
7200,0.6939,0.53872,0.51721,0.02039,0.11856,0.01927
7300,0.70175,0.53919,0.52284,0.02029,0.11863,0.01917
7400,0.68927,0.53495,0.5095,0.02026,0.11859,0.01914
7500,0.6943,0.5275,0.51102,0.02014,0.11869,0.01902
7600,0.6933,0.53952,0.51766,0.02005,0.1186,0.01893
7700,0.69974,0.53824,0.5202,0.01998,0.11872,0.01886
7800,0.69249,0.5404,0.51538,0.01988,0.11869,0.01876
7900,0.69994,0.53607,0.51898,0.01978,0.11875,0.01866
8000,0.68947,0.53645,0.51008,0.01975,0.11868,0.01863
8100,0.69491,0.53042,0.51294,0.01964,0.11874,0.01852
8200,0.69189,0.54499,0.51878,0.01958,0.11868,0.01846
8300,0.69833,0.53938,0.5192,0.01949,0.11879,0.01836
8400,0.68827,0.54001,0.51188,0.01943,0.11872,0.0183
8500,0.69612,0.53659,0.51653,0.01931,0.11879,0.01819
8600,0.69209,0.54545,0.51868,0.0192,0.11874,0.01807
8700,0.70115,0.54255,0.52395,0.01915,0.11879,0.01802
8800,0.68887,0.53996,0.51193,0.01909,0.11876,0.01797
8900,0.69712,0.53605,0.51654,0.019,0.11881,0.01787
9000,0.68666,0.54134,0.51033,0.01896,0.11875,0.01784
9100,0.6939,0.53585,0.51376,0.01891,0.11884,0.01778
9200,0.68807,0.54318,0.51388,0.01883,0.11877,0.0177
9300,0.69652,0.54157,0.51932,0.01872,0.11882,0.0176
9400,0.68786,0.54465,0.51323,0.01864,0.11879,0.01751
9500,0.69652,0.54286,0.51942,0.01855,0.11883,0.01742
9600,0.68746,0.54257,0.51269,0.0185,0.11879,0.01737
9700,0.69471,0.53735,0.515,0.01849,0.11891,0.01736
9800,0.68726,0.54423,0.51281,0.01846,0.11885,0.01733
9900,0.6935,0.53781,0.51482,0.01835,0.11889,0.01722
