Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Root_amplitude,Amplitude_Root_mean_squared,Amplitude_Root_standard_squared,Amplitude_Peak,Amplitude_Skewness,Amplitude_Kurtosis,Amplitude_Crest_factor,Amplitude_Clearance_factor,Amplitude_Shape_factor,Amplitude_Impulse_factor,Amplitude_Max_Min_difference,Amplitude_Central_moment_3rd_order,Amplitude_Central_moment_4th_order,Amplitude_Central_moment_5th_order,Amplitude_Central_moment_6th_order,Amplitude_FM4,Amplitude_Median,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Root_amplitude,Rise-Time_Root_mean_squared,Rise-Time_Root_standard_squared,Rise-Time_Peak,Rise-Time_Skewness,Rise-Time_Kurtosis,Rise-Time_Crest_factor,Rise-Time_Clearance_factor,Rise-Time_Shape_factor,Rise-Time_Impulse_factor,Rise-Time_Max_Min_difference,Rise-Time_Central_moment_3rd_order,Rise-Time_Central_moment_4th_order,Rise-Time_Central_moment_5th_order,Rise-Time_Central_moment_6th_order,Rise-Time_FM4,Rise-Time_Median,Energy_Mean,Energy_Standard_deviation,Energy_Root_amplitude,Energy_Root_mean_squared,Energy_Root_standard_squared,Energy_Peak,Energy_Skewness,Energy_Kurtosis,Energy_Crest_factor,Energy_Clearance_factor,Energy_Shape_factor,Energy_Impulse_factor,Energy_Max_Min_difference,Energy_Central_moment_3rd_order,Energy_Central_moment_4th_order,Energy_Central_moment_5th_order,Energy_Central_moment_6th_order,Energy_FM4,Energy_Median,Counts_Mean,Counts_Standard_deviation,Counts_Root_amplitude,Counts_Root_mean_squared,Counts_Root_standard_squared,Counts_Peak,Counts_Skewness,Counts_Kurtosis,Counts_Crest_factor,Counts_Clearance_factor,Counts_Shape_factor,Counts_Impulse_factor,Counts_Max_Min_difference,Counts_Central_moment_3rd_order,Counts_Central_moment_4th_order,Counts_Central_moment_5th_order,Counts_Central_moment_6th_order,Counts_FM4,Counts_Median,Duration_Mean,Duration_Standard_deviation,Duration_Root_amplitude,Duration_Root_mean_squared,Duration_Root_standard_squared,Duration_Peak,Duration_Skewness,Duration_Kurtosis,Duration_Crest_factor,Duration_Clearance_factor,Duration_Shape_factor,Duration_Impulse_factor,Duration_Max_Min_difference,Duration_Central_moment_3rd_order,Duration_Central_moment_4th_order,Duration_Central_moment_5th_order,Duration_Central_moment_6th_order,Duration_FM4,Duration_Median,RMS_Mean,RMS_Standard_deviation,RMS_Root_amplitude,RMS_Root_mean_squared,RMS_Root_standard_squared,RMS_Peak,RMS_Skewness,RMS_Kurtosis,RMS_Crest_factor,RMS_Clearance_factor,RMS_Shape_factor,RMS_Impulse_factor,RMS_Max_Min_difference,RMS_Central_moment_3rd_order,RMS_Central_moment_4th_order,RMS_Central_moment_5th_order,RMS_Central_moment_6th_order,RMS_FM4,RMS_Median
500,-0.4036142711409506,7.210566035461707,5.797819359314076,7.221853434653919,94.98865140884313,16.804800232815786,0.1075764860102397,-1.01244635476458,2.3269373139280685,2.898469095250308,-17.89295857710615,-41.63579296963758,33.27091288243424,40.32974068369332,5372.745801987158,8194.278274674245,792818.3753767043,1.98755364523542,-1.8169835612846856,-9.614998656487291,169.19116513514916,52.30586521380289,169.46415125020854,2228.952904549346,661.8397100224099,-0.8731392773692617,8.14820488646226,3.9054850547430777,12.653259960754044,-17.62497919184525,-68.83409282390936,1477.3738432186483,-4228794.379858236,9135149656.46607,-2348950682196.7544,3962862136906237.0,11.14820488646226,-4.405489761052905,-698047.6114221663,7699778.947939565,1335080.2099932472,7731356.046318493,101690111.970071,36920541.60398845,-1.0840079026022171,13.93468948256919,4.775428965216163,27.654174878508005,-11.07568584120935,-52.89115097574567,82120334.52538502,-4.948427594250423e+20,5.952374763448196e+28,-7.766955531421385e+35,8.356946073403284e+43,16.93468948256919,-24428.10862558344,-5.801455219871941,43.29041766937818,23.26961402123882,43.677421451562246,574.4867849008613,156.52422022563036,-0.2771771969316847,2.9709707631795848,3.583641502262534,6.726549915386064,-7.5287009545385,-26.980165198807725,328.30390827496245,-22487.067643263123,20970657.556609437,-354406902.49503994,386860061729.8798,5.970970763179583,-1.542147916944863,-55.03263945502799,397.8252143141679,184.21583222991927,401.6136110112563,5282.402314389128,1454.1416787264548,-0.4394037885389574,3.9542279269350704,3.620747999712835,7.893684604217647,-7.2977348531402,-26.423258871942014,3180.304728953958,-27665639.48725181,174187963771.60394,-46629560219864.78,3.0503415878881664e+17,6.954227926935071,-15.335208708480597,-1.1062939739379345,11.757882955511644,7.1839967844542665,11.809813629024069,155.3338461049133,32.71458181649765,-0.1939851255853861,1.2073561135704196,2.770118381554942,4.553813538348183,-10.675113403163692,-29.57132786328728,69.67454039490043,-315.323129608986,80412.9145333062,-426339.0306988333,69976894.20155407,4.20735611357042,-0.9374994233769094
1000,1.3181723987967358,5.334296396579741,4.501396285405401,5.9130616067575525,52.64205581056233,12.70711616567976,0.22795343787011035,-0.9966649562710692,2.098408670478314,2.7923709064035034,-8.18918787857728,-19.401852402664755,21.734181759054376,27.366759257746075,2830.7322010108473,4420.1079381947875,400383.7677382372,2.0033350437289306,0.19233857351029937,-0.7812212040422075,93.2121839363145,33.8747907808766,94.24295017380871,1135.7434142910488,346.8535136475321,-0.5271632997445607,3.472560413088627,2.7903972853400187,7.358354357938636,-7.63138955075488,-32.43833826701159,763.4898424706375,-2114860.845841765,4567654071.387333,-1174475737521.093,1981431116494226.8,6.472560413088627,4.574352201556351,-295892.8007004077,3927439.0813153055,709347.9853132506,3959682.519290491,51055256.42857558,18644690.717150472,-0.17495435869055465,6.4124997424643695,3.3686245600301787,16.03265148315633,-4.653194718369874,-24.71005481478192,41256351.922402665,-2.474200102393045e+20,2.976187436418318e+28,-3.883477764535443e+35,4.178473036705026e+43,9.41249974246437,-7955.877080473536,-0.9469396830357102,27.502985745189836,16.478135391769218,28.013727940048376,301.0511507037636,87.79114257949992,-0.47237751211180357,1.2569692179195175,2.563400176421621,4.347002646256505,-2.1840824427379655,-11.051477995627131,182.1143244992935,-11780.269393157618,10509281.900920648,-177510261.01247618,193439279753.55777,4.256969217919517,1.6332863624344456,-47.380240245140044,256.297867381666,149.37999921126817,261.5327754803726,2776.988554057704,794.8517584278324,0.03563444203361826,1.2143403816888716,2.368462401678526,4.538587140083591,-5.177416886905986,-14.917760886820808,1733.869590665917,-13446805.192795131,87221897126.9035,-23299803428977.777,1.5252032348817795e+17,4.214340381688872,-65.6326615682545,-0.15044922998327936,9.44362448660526,7.112282599577103,9.49226384121863,85.68849722373413,20.132157583574106,-0.2902689637492848,-0.2890466047525284,1.9111939812684566,2.813066132023797,-0.8834009923980801,-10.098691369912384,42.925684830185205,-227.69921472118406,41775.335694992915,-221208.17084669674,35098657.75880871,2.7109533952474716,2.1189795560798568
1500,3.0399590687344222,3.4580267576977737,3.204973211496727,4.604269778861186,10.295460212281537,8.609432098543733,0.348330389729981,-0.9808835577775584,1.8698800270285596,2.6862727175566987,1.5145828199515885,2.832088164308068,10.197450635674512,14.403777831798823,288.7186000345367,645.9376017153309,7949.160099770187,2.019116442222441,2.201660708305284,8.052556248402876,17.233202737479843,15.443716347950318,19.02174909740886,42.533924032751486,31.867317272654347,-0.1811873221198597,-1.2030840602850053,1.6753095159369602,2.063448755123229,2.3622000903354867,3.9574162898861873,49.60584172262676,-927.311825294047,158486.30859619816,-792845.431850556,96082216.45977138,1.7969159397149943,13.554194164165608,106262.01002135091,155099.21469104526,83615.760633254,188008.99226248896,420400.8870801573,368839.8303124971,0.7340991852211077,-1.1096899976404515,1.9618201548441947,4.41112808780465,1.7692964044696016,3.471041346181831,392369.319420306,2738946433264504.0,1.093884397434214e+21,2.350498781110837e+26,6.767956036571533e+31,1.8903100023595485,8516.354464636366,3.90757585380052,11.715553821001494,9.686656762299618,12.350034428534505,27.61551650666592,19.05806493336948,-0.6675778272919224,-0.4570323273405496,1.543158850580708,1.9674553771269463,3.160536069062569,4.877209207553463,35.924740723624524,-1073.4711430521118,47906.245231859975,-613619.5299123847,18497777.23571994,2.5429676726594503,4.808720641813754,-39.7278410352521,114.77052044916408,114.54416619261708,121.45193994948887,271.5747937262795,135.5618381292099,0.5106726726061939,-1.5255471635573277,1.116176803644217,1.1834896759495337,-3.0570989206717707,-3.412262901699603,287.434452377876,772029.1016615486,255830482.20306435,29953361909.228046,6488187539285.964,1.4744528364426723,-115.93011442802842,0.8053955139713759,7.129366017698878,7.040568414699939,7.174714053413193,16.043148342554954,7.549733350650562,-0.3865528019131835,-1.7854493230754762,1.052269580981971,1.0723187256994111,8.90831141836753,9.37394512346251,16.176829265469983,-140.07529983338213,3137.7568566796217,-16077.310994560215,220421.316063342,1.2145506769245236,5.175458535536623
2000,1.552991705719516,5.4857658643666,5.359166566891583,6.0590324180971535,10.460785543626983,8.094480706141885,0.1741651948649905,-1.4904417788887794,1.439314251559458,1.8475398075774228,57.65899424819676,58.81555010715571,12.612230288872684,7.201888915899412,1737.816183632401,322.9688008576654,93929.61421055463,1.5095582211112204,1.133842525504947,2.046859671343057,19.880185642136187,18.89779662170224,20.94706395319647,37.44017617407587,25.21782445686506,-0.09059366105992984,-1.6015420301425025,1.2435664428908697,1.4470884145041258,-1.7076750362147703,-0.36646697634848646,47.33008940810591,-463.6559126470235,208007.74094225373,-396422.715925278,113385700.86487077,1.398457969857497,4.797678629224423,90143.25526125717,406899.1235629467,370114.23467438226,425427.2028084771,678902.9302014211,550781.6816242543,0.36704959261055387,-1.5548449988202258,1.5336207986352939,2.763521210440719,5.361851080112022,6.684716736389548,854883.6921450013,1369473216632252.0,9.467478513210765e+22,1.1752493905554184e+26,4.0874443877668035e+34,1.4451550011797742,41270.42748289989,2.2195632539717653,11.732949224855926,10.715493434816874,12.056197899116643,22.125003740613653,15.669980108111421,-0.3337889136459612,-1.2285161636702748,1.2936640176959642,1.506613845994604,12.644464153960945,13.991497246393067,29.712714990522617,-536.7355715260559,33484.86775532966,-306809.76495619235,10564942.377756732,1.7714838363297252,2.670135647978382,-17.651803493118592,97.7012803723893,97.55773597077558,101.10263331247602,192.88862175873226,110.30905623691967,0.25533633630309693,-1.7627735817786638,1.0847309430418608,1.1195771323257537,7.597699940217805,7.906410901375872,224.34926648455257,386014.5508307743,149050160.76026994,14976680954.614023,3381502997668.5903,1.2372264182213362,-55.75294018950675,-1.0862939107748972,5.013442563124565,4.436675314985089,5.664855626649304,10.95960086712757,3.7346345618398216,-0.19327640095659174,-1.8927246615377382,0.5164519648355149,0.5142079748723145,3.756536425972051,4.700482413517722,10.985933741285244,-70.03764991669107,1604.1216206143,-8038.655497280108,110506.54637531567,1.1072753384622618,1.098737600007726
2500,0.0660243427046096,7.513504971035427,7.51335992228644,7.513795057333121,10.626110874972428,7.579529313740037,0.0,-2.0,1.0087484760903562,1.0088068975981468,113.80340567644193,114.79901205000336,15.027009942070856,0.0,3186.9137672302654,0.0,179910.06832133906,1.0,0.0660243427046096,-3.958836905716762,22.52716854679253,22.35187689545416,22.87237880898408,32.34642831540026,18.568331641075773,0.0,-2.0,0.8118233698447793,0.8307280738850227,-5.777550162765028,-4.690350242583159,45.05433709358507,0.0,257529.17328830928,0.0,130689185.26997016,1.0,-3.958836905716762,74024.50050116342,658699.0324348481,656612.7087155104,662845.4133544653,937404.973322685,732723.5329360116,0.0,-2.0,1.1054214424263928,1.1159143330767871,8.954405755754442,9.898392126597267,1317398.0648696965,0.0,1.8825568586678105e+23,0.0,8.168120819497036e+34,1.0,74024.50050116342,0.5315506541430102,11.750344628710357,11.744330107334132,11.76236136969878,16.634490974561388,12.281895282853364,0.0,-2.0,1.0441691848112205,1.0457723148622613,22.12839223885932,23.10578528523267,23.50068925742071,0.0,19063.49027879935,0.0,2632107.5197935225,1.0,0.5315506541430102,4.424234049014913,80.63204029561454,80.57130574893407,80.75332667546316,114.20244979118505,85.05627434462946,0.0,-2.0,1.0532850824395046,1.0556645887019738,18.252498801107382,19.225084704451348,161.2640805912291,0.0,42269839.317475565,0.0,274818456051.2167,1.0,4.424234049014913,-2.97798333552117,2.8975191085502514,1.8327822152702389,4.154997199885415,5.876053391700187,-0.0804642269709186,0.0,-2.0,-0.0193656513109413,-0.0439027759547821,-1.3952385664234277,0.0270197035729337,5.795038217100503,0.0,70.48638454897821,0.0,591.7766872893269,1.0,-2.97798333552117
3000,3.613899918212289,0.3173162383947905,3.606921002186128,3.627804048457387,5.130489686960457,3.9312161566070793,0.0,-2.0,1.083635197518099,1.0899091369687328,1.0038474032374356,1.0878043790852292,0.634632476789581,0.0,0.0101383945712734,0.0,0.0010208308448425,1.0,3.613899918212289,4.332998485402172,8.229242159007,7.61267591887783,9.300285070151114,13.15258928014372,12.562240644409172,0.0,-2.0,1.3507371601680438,1.6501741014953055,2.146385488359546,2.8992026391726733,16.458484318014,0.0,4586.056166910063,0.0,310569.679629203,1.0,4.332998485402172,203892.0580344429,114882.82910253688,186168.80934849216,234029.98900167327,330968.3844481926,318774.8871369797,0.0,-2.0,1.3621112768359809,1.712289444470047,1.1478131677014085,1.5634492594269174,229765.65820507373,0.0,1.7418890450317092e+20,0.0,2.2989563833354376e+30,1.0,203892.0580344429,9.374837874665651,1.1424484438413192,9.339902057383616,9.444192587145873,13.356105242405144,10.517286318506972,0.0,-2.0,1.1136247192609825,1.1260595939753544,1.00739796393361,1.1218632747696518,2.2848968876826383,0.0,1.7035168817527389,0.0,2.223410553052829,1.0,9.374837874665651,93.07783572297424,2.5631686020357094,93.06018630289606,93.11312118147175,131.68183880972686,95.64100432500996,8.333468158118778e-15,-2.0,1.027148516894966,1.027732783746142,1.0003790962501806,1.0275379050460995,5.126337204071419,1.403321903126198e-13,43.16270935934138,1.5347723092418164e-12,283.5718045102218,1.0,93.07783572297424,3.041575826516604,1.4882593571476763,2.8470861069455804,3.38616293503248,4.788757547128019,4.5298351836642805,2.020810616702304e-16,-2.0,1.3377487352423667,1.5910425654544014,1.1132922958920666,1.489305360784683,2.976518714295353,6.661338147750939e-16,4.905852506700067,2.664535259100376e-15,10.866050789501893,1.0000000000000004,3.041575826516604
3500,2.4929914403372546,1.9016655389028039,3.7568590887799833,4.1107299118287965,6.351292233566071,4.605238147334109,-0.08820029476100993,-1.8333333333333335,1.1133218130628768,1.2157746586742615,7.406356522729154,8.625795925579457,4.529236871998873,-11.49707825683326,330.47262338767314,-738.9342499407843,13140.26747828848,1.1666666666666667,2.7977348983424175,8.458715872826573,28.37207282273908,27.65075918405012,29.75417907742723,49.56509857545198,35.784558603126484,-0.18746616317073903,-1.8333333333333335,1.2883907958032588,1.504825586333274,2.840485399388729,3.5731060322688015,64.41803950155739,-60672.416262564366,11113410.715481725,-715006900.2205948,89603016274.26363,1.1666666666666665,18.225069913784125,144405.90763893473,273543.99699616816,245037.30287540276,353157.815740946,562098.3152883722,464542.3064222649,0.011989898793554733,-1.8333333333333333,1.3342155021201731,1.8362439816454235,8.516284913754262,10.951460896747731,635548.0332326912,2473336757241656.5,6.1059568606403445e+22,2.158747015304472e+27,3.1935023247066655e+34,1.1666666666666667,139681.1433049656,7.439085847364408,4.426367180275157,9.94063925930054,10.148979800210462,15.577404555623508,11.740475344036712,-0.182568281832321,-1.8333333333333333,1.151546465757885,1.175127764735648,1.751560261609454,2.073442896828356,10.111316455454748,-242.61451454476466,7306.220652040225,-73313.57908140612,1501063.1095619365,1.166666666666667,8.947623309474553,73.3760426174667,41.764405549507444,100.40066860742161,103.70100281846048,159.88552705881688,117.6526347369939,-0.13129223339579804,-1.8333333333333335,1.1163268631955747,1.153448553454594,1.892194019960871,2.2713681750657893,99.63694349638618,-227820.8071136122,104257968.31687774,-8224376083.2365,2413946272462.9824,1.1666666666666665,84.45980187479847,1.5129465595894278,1.9104809127543074,2.7161569040139195,3.3101899930036316,5.015918117885164,3.590853588017594,-0.0402457480562547,-1.8333333333333333,1.0726175865249172,1.293333195028603,0.06050097444278846,0.6231499540204467,4.230053514064135,-0.8414898519513818,32.07163082302678,-15.966441868131296,337.2514406618737,1.1666666666666672,1.5871860167972305
4000,1.37208296246222,3.4860148394108172,3.906797175373838,4.593655775200205,7.572094780171685,5.279260138061139,-0.17640058952201987,-1.6666666666666667,1.1430084286076547,1.34164018037979,13.808865642220871,16.163787472073686,8.423841267208164,-22.99415651366652,660.935108380775,-1477.8684998815686,26280.533935746116,1.3333333333333335,1.9815698784725464,12.584433260250977,48.51490348647116,47.688842449222406,50.208073084703344,85.97760787076022,59.006876561843804,-0.37493232634147805,-1.6666666666666667,1.226044431438474,1.3594770711712423,3.5345853104179117,4.247009425364929,112.37759468510076,-121344.83252512873,22222235.37479654,-1430013800.4411895,179205721978.84763,1.333333333333333,32.11714134216608,84919.75724342657,432205.16488979943,303905.7964023134,472285.6424802187,793228.2461285519,610309.7257075501,0.023979797587109466,-1.6666666666666663,1.3063197274043656,1.9601985188207998,15.884756659807117,20.339472534068545,1041330.4082603087,4946673514483313.0,1.2194494830830372e+23,4.317494030608944e+27,6.386774753774998e+34,1.3333333333333337,75470.22857548832,5.503333820063165,7.710285916708996,10.54137646121746,10.85376701327505,17.798703868841873,12.96366436956645,-0.365136563664642,-1.6666666666666663,1.1894682122547877,1.2241959354959415,2.4957225592852983,3.0250225188870603,17.937736023226854,-485.2290290895293,14610.737787198697,-146627.15816281224,3002123.9957133196,1.333333333333334,8.520408744283452,53.674249511959154,80.96564249697917,107.74115091194717,114.28888445544919,188.08921530790687,139.66426514897785,-0.2625844667916044,-1.6666666666666667,1.2055052094961833,1.2791643231630456,2.784008943671562,3.5151984450854794,194.14754978870093,-455641.6142272244,208515893.47104612,-16448752166.473,4827892544642.394,1.3333333333333333,75.84176802662269,-0.015682707337748347,2.3327024683609388,2.585227701082258,3.2342170509747827,5.243078688642309,2.651871992370907,-0.0804914961125096,-1.6666666666666665,0.807486437807468,0.9956238246028047,-0.9922903470064897,-0.24300545274378949,5.483588313832917,-1.6829797039027643,59.23740913935349,-31.932883736262596,663.6368305342454,1.3333333333333337,0.132796207077857
4500,0.2511744845871858,5.070364139918831,4.0567352619676935,5.076581638571615,8.7928973267773,5.953282128788169,-0.2646008842830298,-1.5000000000000002,1.1726950441524326,1.4675057020853186,20.21137476171259,23.701779018567912,12.318445662417457,-34.49123477049978,991.3975933738768,-2216.802749822353,39420.80039320375,1.5000000000000002,1.1654048586026755,16.71015064767538,68.65773415020324,67.7269257143947,70.66196709197946,122.39011716606848,82.22919452056112,-0.562398489512217,-1.5000000000000002,1.163698067073689,1.2141285560092108,4.228685221447094,4.9209128184610575,160.33714986864413,-182017.2487876931,33331060.034111355,-2145020700.6617844,268808427683.43164,1.4999999999999996,46.00921277054803,25433.60684791843,590866.3327834307,362774.289929224,591413.4692194915,1024358.1769687316,756077.1449928351,0.0359696963806642,-1.4999999999999996,1.278423952688558,2.0841530559961763,23.25322840585997,29.72748417138936,1447112.783287926,7420010271724970.0,1.82830328010204e+23,6.476241045913416e+27,9.58004718284333e+34,1.5000000000000004,11259.31384601104,3.567581792761923,10.994204653142834,11.142113663134383,11.55855422633964,20.020003182060236,14.18685339509619,-0.547704845496963,-1.4999999999999996,1.2273899587516903,1.273264106256235,3.2398848569611425,3.976602140945764,25.764155590998964,-727.843543634294,21915.25492235717,-219940.73724421836,4503184.881864703,1.5000000000000009,8.093194179092354,33.97245640645161,120.16687944445091,115.08163321647272,124.87676609243792,216.2929035569969,161.6758955609618,-0.3938767001874108,-1.5000000000000002,1.2946835557967922,1.4048800928714975,3.675823867382252,4.75902871510517,288.6581560810157,-683462.4213408366,312773818.6252145,-24673128249.7095,7241838816821.805,1.4999999999999998,67.22373417844692,-1.544311974264925,2.7549240239675696,2.4542984981505973,3.1582441089459343,5.470239259399454,1.7128903967242206,-0.1207372441687645,-1.4999999999999998,0.5423552890900186,0.6979144541770064,-2.045081668455768,-1.109160859508026,6.737123113601699,-2.5244695558541466,86.40318745568021,-47.8993256043939,990.0222204066172,1.5000000000000004,-1.3215936026415165
5000,-0.8225931612920014,3.9476727332704256,3.904345399248272,4.032465687146162,5.702767664566244,3.125079571978425,0.0,-2.0,0.7749798298197279,0.8004106328759019,-4.902138598882335,-3.799058537114551,7.895345466540853,0.0,242.86479645512608,0.0,3784.834133919694,1.0,-0.8225931612920014,-5.668624447509772,13.702501179600748,13.088742783183353,14.828750510540845,20.97102008505382,8.033876732090976,0.0,-2.0,0.5417770517064259,0.6138004898692824,-2.615934544235881,-1.4172533048331082,27.405002359201497,0.0,35253.26880855574,0.0,6619102.23155515,1.0,-5.668624447509772,18379.61791294125,149646.04860744392,149079.55517676324,150770.52171577563,213221.7166165172,168025.66652038516,0.0,-2.0,1.114446409074169,1.1270872543264403,8.203136889457141,9.14195644959936,299292.09721488785,0.0,5.014885426244524e+20,0.0,1.1230304265927455e+31,1.0,18379.61791294125,-6.558233259791548,5.762817879732107,4.844392450228729,8.730434892077033,12.346699429790627,-0.795415380059441,-2.9701303250205983e-16,-2.0,-0.0911083342229937,-0.1641930104200961,-1.3312175011528224,0.1212850090185299,11.525635759464215,-4.263256414560601e-14,1102.9087437565354,-2.273736754432321e-12,36627.6764899753,1.0000000000000004,-6.558233259791548,-44.692622892402426,14.51852688436942,43.48066096369487,46.9916818585444,66.45627380307522,-30.174096008033008,-2.971888518315742e-16,-2.0,-0.6421156854709705,-0.6939658997646685,-1.051441576200998,0.6751471284349814,29.03705376873884,-9.094947017729282e-13,44431.42196452645,-3.4924596548080444e-10,9365593.81762093,1.0,-44.692622892402426,-0.6619677370040211,7.780597623160281,7.766492114573852,7.808706721241466,11.043178949773624,7.11862988615626,0.0,-2.0,0.9116272566354632,0.9165823876648408,-11.796204383891345,-10.75374144119809,15.561195246320562,0.0,3664.813045439581,0.0,221859.35040500283,1.0,-0.6619677370040211
