Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
501,13.5660088,14.22137827,2.519476144,7.314577929,154.0651225,71.25999165,3.071537436,13.31940785,586.3871315,479.0970786,2.048231112,4.601605864,2.50293E+11,57418312773,2.947575681,31.03142376,25.34995929,19.82014322,2.61175437,8.12841205,4.519589856,3.425444046,1.289087088,1.279283836
1001,20.81766092,33.70890543,4.79652548,27.44319073,120.2364471,74.40530931,3.478769647,14.65182436,825.8414897,937.5207009,2.621525947,6.830312519,2.29448E+11,51573893411,5.004591703,43.44268137,31.79605219,29.59472922,2.361042085,5.417331405,5.844096483,5.306930074,1.898312229,4.156881323
1501,19.56313618,38.59719012,4.555716972,22.73040066,58.36159356,40.25728834,3.994024023,18.71731847,727.620805,1231.694093,3.598605268,13.4793255,1.20947E+11,35113458135,3.498520973,17.85105405,24.22186764,28.69829374,2.481356835,5.277185842,4.29809111,5.248520899,3.262763748,12.19659514
2001,15.85691305,39.40598557,5.787894099,35.88333189,21.25553514,24.00072299,3.874039542,16.2128965,455.5338689,1106.355111,4.238292229,18.37436162,37750885615,27083718024,4.061315916,20.27207694,12.47733499,19.20813787,2.609580514,6.222597627,2.368804991,4.602186143,4.867922317,25.79737435
2501,13.59952951,31.47051444,6.458387061,45.72347438,5.382256062,11.37680181,4.515376778,22.38420241,231.2149942,535.7521264,4.618638217,23.08563794,11978617796,20443520675,5.757791029,39.07494316,8.835442152,20.31187712,4.548048004,23.28604605,1.978806703,4.395036851,5.294381986,30.3569728
3001,13.65373298,33.34726281,6.584601301,46.33776814,3.911052624,9.723731975,5.851561145,37.34847694,190.8133567,414.3577591,5.373134786,32.44997949,11994134463,20285272561,5.757604571,39.28975326,9.906320835,18.1017607,3.822403415,17.8682134,2.228604596,5.614614319,5.798390259,35.80745967
3501,13.88990581,33.90869398,6.585845612,46.30583072,3.983805067,10.20570043,6.219806694,42.12958539,203.2376674,418.5554865,5.243744962,32.6245288,13008071152,24814841093,6.234734069,44.16370166,22.58908531,31.26662421,2.133282172,4.142068178,1.934450475,4.434605804,6.547354953,46.3300929
4001,13.7154329,31.34118333,6.353861901,43.52589448,4.639992825,11.05938601,5.048502292,27.52336361,273.6027215,598.6124084,4.721896868,25.04703907,15079013707,32282054456,5.933148428,38.53639947,36.64899849,57.48938189,2.537171853,6.672353781,1.99365031,4.312985878,6.405866883,45.36721001
4501,12.69585319,25.59139613,6.281221801,44.62772918,4.558665906,9.610113633,3.732969367,13.69623981,226.2681479,441.6190847,3.476919852,12.15138441,14758014158,27582158517,6.033402844,42.26999173,28.54729494,49.95092965,2.840507321,8.093180548,2.111063008,4.641082098,6.046832428,40.79309499
5001,13.68055788,33.35621571,6.585777053,47.1449857,4.908775595,12.42778499,4.012876281,15.87268234,229.787598,594.6372148,4.362953905,20.24705895,17947017815,39411033053,6.245390599,43.20312048,13.8399751,34.71082382,4.792170938,26.27594182,2.277121881,5.542763804,6.31571621,44.47645482
5501,16.78228337,47.52541792,5.948001226,36.99767143,7.918083359,27.26506252,4.78210446,23.07404051,323.8468319,1056.838635,4.738067182,22.65440349,21599633236,48259076102,5.296259113,30.21146243,8.383693051,24.2073125,4.504800261,19.72870336,2.75298625,8.328408034,6.096266527,38.91921097
6001,13.13569829,30.04521342,6.363583705,43.84837807,4.600625111,12.57878256,4.162402882,16.68458782,164.3001735,343.5040891,3.842813591,14.92510225,19333980091,32483279811,5.302886345,33.43904596,4.992178667,12.12556565,5.810990781,37.85561152,2.414785057,6.995949564,6.246833306,41.74859937
6501,12.95593467,25.56706378,5.594503009,35.48444386,2.899131768,6.990330466,6.185463876,42.75050331,146.5197794,332.9971497,6.060445309,41.57562789,21383601648,36765118091,5.853516632,40.24594613,4.456523179,9.275077824,5.439684253,33.45336931,2.180982955,5.705779568,5.933320859,37.51654786
7001,12.64202659,26.33749775,6.226563931,42.69644266,2.164171076,3.152524561,3.909227128,18.5302582,126.1200916,217.8872114,4.175776066,19.12711991,24950488755,46849487398,6.07836414,41.72788014,4.119298101,7.987802076,5.024194292,28.32762318,1.572210752,2.764100137,5.116913366,30.34931189
7501,12.11444239,25.50802532,6.470952207,46.36388297,1.879729963,2.742633282,4.521584829,25.85587041,108.2471099,190.0737587,5.485596775,35.77129233,28827784689,54864077033,6.156297945,42.74216038,3.863415996,8.543419127,5.606961738,34.50091791,1.481810312,2.422114338,4.57330681,23.80131143
8001,12.71842113,29.79262873,6.534671582,45.92047984,1.9546412,3.688706821,5.95240491,40.38266159,122.5336845,275.7990967,6.243576854,42.30171846,34692576813,65446762112,6.145163037,42.62047383,3.011644348,5.877956339,6.27010127,44.2342891,1.381125765,2.666639918,6.196115415,42.94947264
8501,13.09229752,31.06595741,6.479546912,45.02705131,2.236329565,4.391719307,5.497175856,34.15818572,134.4766546,290.3985457,6.028105968,39.97334659,43104114512,79008858052,6.068938649,41.9051966,3.097901386,5.503269835,5.956839577,41.06368001,1.564400318,3.012281675,5.708251849,36.83946628
9001,12.88788003,29.48572506,6.52194452,46.04891925,2.163017173,3.686118161,5.699744169,38.24921898,132.5895942,252.6677872,6.113504346,42.33115098,55698082925,97767712059,5.933656643,40.58716393,3.189393828,5.32121346,5.541890167,36.17028392,1.44179305,2.334628798,5.481109966,35.67422099
9501,12.70800441,28.48885806,6.536286237,46.39672656,2.319239278,3.731628473,5.290318007,34.08816382,138.9518173,239.2138848,5.745297054,39.03710679,79600001545,1.27414E+11,5.515630998,36.29078048,3.192767048,5.420810853,4.696245154,25.20163224,1.68048027,3.158700337,4.791058372,25.34124927
10001,13.12423675,29.86927501,6.599001181,47.32214095,3.127986736,6.141046162,6.247142726,44.23331397,186.2555945,342.6858574,5.918495486,40.68549315,1.22391E+11,1.76708E+11,4.949464033,30.45331577,4.464076979,11.15698318,5.437388099,34.08188701,2.390501103,6.991862911,6.011724329,39.85027042
10501,14.38815168,34.65190196,6.419870338,43.99864761,5.726193241,12.88860049,4.929159618,25.68790002,319.9639161,640.18845,4.719723357,24.17407463,1.81183E+11,2.43344E+11,4.357768373,24.45363678,9.620122675,33.94821772,5.264548548,28.97084676,5.593424392,21.28925473,5.252261917,28.09059472
11001,14.29093699,29.06643226,6.084361906,40.99970553,7.168586226,13.36801618,3.823247542,15.45062241,450.9608174,864.7563435,3.732234796,14.38152304,4.85982E+11,8.73911E+11,2.994991718,9.069509992,9.405686801,30.73267878,4.70421265,21.90346828,4.954261987,17.5236635,4.970864192,24.79773796
11501,14.12693258,25.55494089,5.408806797,33.83150216,16.23194031,37.7306439,3.83677405,15.01844167,1019.961537,2355.200356,3.851892051,15.56510725,1.59194E+12,3.37375E+12,2.986092672,8.271912449,5.159770317,12.53156375,5.778123132,37.78585723,2.242010818,5.427519533,4.924803183,25.53799786
12001,15.71910727,36.41928587,6.585424857,47.32054305,31.04539814,88.72912025,3.974063549,15.32534647,2107.072445,6173.644032,4.056931862,16.01184247,3.75918E+12,1.15751E+13,4.495459235,20.94739899,3.846237165,6.50008091,4.342527123,20.90654633,1.492644952,2.703359512,5.578105111,37.35887896
12501,20.51411476,57.78577744,5.996582014,37.69476402,41.90895273,162.0547005,5.270711827,27.9440015,2716.369337,10530.46275,5.266720402,27.9228238,4.34964E+12,1.66471E+13,5.212759987,27.42783211,4.721679214,12.33042618,5.3671494,29.94157729,1.527371899,3.317033701,4.915454709,25.49318315
13001,17.99662736,49.66972926,6.66756333,46.67396102,20.75350122,76.04838309,6.665074957,45.71800315,1302.350527,4778.36724,6.662338784,45.72132684,1.89622E+12,6.80453E+12,6.63631045,45.56056919,3.717873452,10.29938235,6.604933707,45.77991522,1.203896952,2.840636194,6.414109415,44.12133784
13501,17.97429547,46.04799134,6.691483625,47.66313012,19.58845342,58.38673066,6.529717421,45.43218323,1216.829928,3635.05394,6.507379238,45.15222807,1.72535E+12,5.07312E+12,6.346493028,43.15222721,3.603537717,9.555931839,6.727214658,48.09507978,1.182795778,2.619912323,6.485313046,45.78483751
14001,17.86458612,47.01046185,6.727092167,47.9200992,18.64906763,62.80761568,6.859286744,48.98412587,1153.532292,3915.745666,6.855791242,48.93619249,1.66578E+12,5.76384E+12,6.748213873,47.77513052,3.52501491,10.31674617,6.848046692,49.18415313,1.204992643,2.511902063,6.351975855,44.39347117
14501,18.05667434,50.5582409,6.674771951,46.73804845,22.81319666,88.51736671,6.554712663,44.45964858,1439.345839,5593.011186,6.529055714,44.1826961,2.80429E+12,9.922E+12,6.091954783,39.67870841,3.984274401,12.97674128,6.601360521,45.16795751,1.177339683,2.320550331,6.32242239,45.11886722
15001,17.55772641,46.53501162,6.376906487,42.87242283,28.5661793,103.4799587,5.600890219,32.32203588,1829.06769,6670.796944,5.58658562,32.24193223,4.42917E+12,1.56888E+13,5.329741245,29.85610001,4.649998923,12.44339667,5.273774479,28.35090191,1.26356327,3.067672444,6.5742324,47.18187794
15501,15.15483496,35.24150766,6.597844176,47.18011971,15.10526843,34.31650168,3.761264356,14.63008268,967.1292413,2266.229285,3.706587988,13.94988425,2.72687E+12,8.88676E+12,4.720471496,22.83935934,4.053445867,6.004334667,2.990993797,9.594604906,1.647520336,5.13758608,6.313312987,41.38419721
16001,14.1332751,30.1020806,6.19770601,42.1764486,9.716693639,18.15010654,3.338129521,11.76376013,581.9185422,1124.224939,3.759972047,15.86307198,6.03916E+11,1.78327E+12,5.77025946,36.9624026,6.505207468,12.1600571,2.981512457,8.943763304,1.825417926,5.01064656,5.631559446,32.88580694
16501,13.07644495,25.10810613,5.959444965,40.84914558,7.245166812,14.58637758,4.071804818,18.7495645,421.6733004,896.6604991,4.655123942,24.57531711,1.95101E+11,3.42029E+11,4.769528451,25.34939802,8.47000088,18.39772862,3.059652239,9.291994634,1.410409301,1.996314465,4.177867371,21.58177182
