Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.0,0.537720378781889,5.350773166275875,12.633874082026434,166.3007421765812,1.5680662479459502,2.4219890697600404,14.374345792834555,301.4662833751871,40131.98412955664,171819.13009369947,5.977244300361566,43.424306355551685,0.6385367025808717,2.426071645033107,12.4239841646896,165.23649871138977,4.083718521063786,21.355237371880303,12.414354415688036,162.490442703823,0.3662795985578738,1.144286338796885,15.350691189872387,307.44722733476254
0.004,0.5320996615342168,5.427763226061861,12.62436694375677,165.54459023837344,1.0075258771667426,1.5018721205562873,8.559076731173798,126.8347031254857,8229.715514707168,14414.769281831135,3.121665977583913,12.95738617637178,0.5652408706054347,2.507489432612121,12.783402038112431,173.8850300646827,4.218581762388598,21.81815535930357,12.579278946220388,165.9014440738879,0.3054215826425376,0.8975676075145089,12.246034108198817,162.0591301560656
0.008,0.5387224934534083,5.610671265311972,12.623900498622591,165.51832587312109,0.5515328757817852,0.8700416812454151,9.821443836604464,120.80534164783413,22184.83501075193,86346.90917611144,5.994843122309382,35.80583149137532,0.4858875303059122,3.031289534572472,12.616468710212738,166.31286480897933,4.238122794508656,27.32195133024083,12.6725221557583,168.0357550252064,0.2515363539416598,0.8271697153633268,12.234824538261522,159.9203090032771
0.012,0.6017356730095141,5.710133413692864,12.62280653543858,165.53063590368455,0.8257028928743508,1.1359121654926505,6.659253219383858,72.53716009101882,21906.252519105758,28666.931823510546,4.9257218268475365,44.858358568171816,0.6225022044028983,3.4343939861266413,12.589704174978763,166.0375514829566,5.580835716279006,31.07339389733009,12.616031378748914,166.9462943969289,0.3626123026365497,0.9552013981352174,11.834952789918551,157.07615823678162
0.016,0.5983915830887967,5.801191112200347,12.62250126840968,165.4959344764139,0.7153585121869543,1.012655042995134,9.408578523006724,125.3626403182502,46088.74095622147,43761.22528050288,5.176066193516209,57.306127261669424,0.6719495259304232,3.8098968027858526,12.570599250104229,165.09617071695433,5.663521147503866,34.46091404691998,12.598965442774466,165.60871099478575,0.3679746271245885,1.1239868793967402,12.309580841493602,163.96740184611446
0.02,0.6306474484864175,5.8510040387957645,12.625192883357842,165.58795361050946,1.1307294389958853,1.2207600465668822,7.833512327555641,103.30361479317487,51496.47997933159,43689.64625927206,5.138676831366024,54.61821546017569,0.7271608948125085,3.985814459036103,12.59281396354605,165.520987518487,6.1244911288036965,36.07325083356753,12.60120784833381,165.53636610704996,0.321743421799028,1.0284950055607427,12.354208547705973,163.09537632908535
0.024,0.670821210528041,5.567379967902218,12.61174753587878,165.40606421592096,1.6398967397331266,2.390676463550805,9.409754719511826,110.3622750260627,22376.402986709192,25271.856270880413,4.640442871817049,40.497198152572544,0.6480797435041551,3.7742892884717754,12.602822652404374,166.21906729991713,6.370689232493971,32.42420601332304,12.466359402376437,163.48990931698103,0.2939468637547237,1.103012315613115,12.448505393635903,162.9527365362134
0.028,0.6574750035396041,5.589197704077371,12.59077874384966,164.97554054001083,1.46529384436102,2.450939068921849,9.432045938201975,107.2990583339834,22178.672400037285,30843.167847322373,4.337873739191274,30.754351386056364,0.6859817643814892,3.825896340522308,12.452851389551672,163.07057510613075,6.261510472615301,32.33406571584845,12.313639268975336,160.13117235608624,0.281419494919286,1.1332942095745369,12.43650552962522,163.17585139636478
0.032,0.7078064716347834,5.5778269538953245,12.590086716984706,164.9750902343919,1.7820960511730803,2.691196064251092,9.338367833855663,108.41969843652949,31940.55718600991,33492.83912434058,4.393515994538992,38.412374659195805,0.8691887705632877,3.8548763515960234,12.309443796779108,160.5125377552438,6.918673282628923,32.05220843530881,12.340214881856216,160.8217084455177,0.3340758008875037,1.1374625391788995,12.38879979369535,163.83818553686297
0.036000000000000004,0.6840685027285813,5.569445932780281,12.602137338809909,165.1889663141905,1.6665275363029157,2.9328836685586506,9.804131940394253,117.27628421840964,30792.458988494953,31132.020896116937,4.163230851589178,34.534788984409765,0.8899966005296216,3.7867752366338774,12.301192347924903,160.55246218119652,7.265454579710419,30.429863175761838,12.266996583874256,159.959424443275,0.4531856139581706,1.3698421374191425,12.198638681056048,161.07975305189728
0.04,0.6603305338223793,5.5610649116652375,12.614187960635112,165.40284239398912,1.5509590214327509,3.174571272866209,10.26989604693284,126.13287000028978,29644.360790979998,28771.202667893296,3.9329457086393633,30.65720330962373,0.9108044304959556,3.718674121671731,12.2929408990707,160.59238660714925,7.612235876791916,28.80751791621486,12.193778285892298,159.09714044103228,0.5722954270288375,1.6022217356593853,12.008477568416746,158.32132056693158
0.044,0.6596415692650102,5.577373900668587,12.618693193089689,165.52097270963836,1.530422322725601,3.279388074950345,10.82706339393596,134.97259621325207,50940.87317022216,83365.0379987297,5.154306206359288,28.297831083613723,0.939262913043838,3.791542692435218,12.36611893316095,163.39410443204068,7.792545024850424,29.777602145122323,12.274692475903327,161.2320375625404,0.700261358793071,1.847239414684384,11.707319851950633,156.6667131877209
0.048,0.7288192295785617,5.724706754600541,12.623747685953262,165.8146057036126,1.640727332800695,3.4870566948276016,11.251572174583869,145.4114545433293,79719.69958377336,102759.3933080074,7.880274293236698,106.04848893278606,1.0733126245300193,4.207633754024961,12.353839312611802,162.82043783383105,9.087828084435658,32.71917357651846,12.236318366954842,160.68968572129984,0.8050703244054698,2.021911860913893,11.494801343243807,150.46130821733382
0.052000000000000005,0.6660259995202967,5.761186559554041,12.619174721207834,165.5847725672989,1.4165202939632375,3.3709318379463875,10.622937319025073,130.84195390636512,51971.47254618912,72192.31655691937,7.596136318883567,96.20615610428203,0.901678234031787,4.287534311865944,12.423096633777925,163.18410449191987,7.764752764095213,33.03162663529429,12.325912424240535,161.4734780803937,0.6114598215830318,1.7918244597071527,11.683941875742594,151.7152524455042
0.056,0.6032327694620317,5.79766636450754,12.614601756462408,165.35493943098518,1.1923132551257802,3.2548069810651734,9.99430246346628,116.27245326940094,24223.24550860488,41625.23980583132,7.311998344530436,86.36382327577802,0.7300438435335549,4.367434869706925,12.492353954944049,163.54777115000866,6.441677443754769,33.34407969407011,12.41550648152623,162.2572704394876,0.4178493187605939,1.5617370585004124,11.87308240824138,152.9691966736746
0.06,0.7111761880835259,5.842845464319557,12.618596721665847,165.5243688489796,1.5755651313725143,3.217305625675344,10.49678239438139,130.38393807200714,56674.535510236026,82784.78711573376,8.384997009919829,117.81056793985071,1.0060850535614458,4.475108374561997,12.497968561709662,164.12811181327027,8.236565591578866,34.13944044390005,12.418949542621702,162.64369333118506,0.6584252596716426,1.8257059606014407,11.771711045735694,155.74690782409075
0.064,0.7177705547799196,5.885819159276734,12.6224886486996,165.6935244826577,1.5130588028074394,3.249973941286356,10.592668584869507,131.8044413110972,59637.67825439771,105601.90011395115,8.840314429873771,119.37601605859436,0.9991746197431856,4.507270228873231,12.536154857898824,165.7456486855609,8.161822261581495,34.232905994683705,12.4358994823117,163.8277472822661,0.6796906965887385,1.9945961727229784,11.637928658753111,154.91623099685725
0.068,0.7263369402939919,5.841464127959699,12.628881192869146,165.8397026372732,1.591728299273539,3.1298917539158464,10.754960222427966,136.1293486967474,50463.323456905055,84539.40114935666,9.699143480916044,150.27589410627814,1.0442308962016105,4.34025957019083,12.560962885648962,166.62808850298876,8.51950862014755,33.28786507246461,12.498445609141667,165.45896311649764,0.7325657006129268,1.891434904483063,11.80171123937487,157.00499444714913
0.07200000000000001,0.7218919074083212,5.744389473329308,12.69678999884275,167.63789723777427,1.42301822071896,2.5332334706308393,10.591705891544429,133.95691488731035,50043.469340265736,65841.27736871838,7.752940875011021,106.39411270958931,1.0706297489202243,4.123121218213946,12.576555878772739,167.3969898170751,8.779517244719706,32.529017729157744,12.547017468738325,166.7298569368065,0.7031346253615398,1.6886712354568116,11.845884564609374,158.2213677581243
0.076,0.7174468745226507,5.647314818698917,12.764698804816351,169.4360918382753,1.2543081421643805,1.936575187345832,10.428451560660893,131.7844810778733,49623.61522362642,47143.15358808008,5.806738269105996,62.512331312900486,1.0970286016388382,3.905982866237061,12.592148871896516,168.1658911311615,9.039525869291865,31.770170385850875,12.595589328334984,168.00075075711536,0.6737035501101529,1.48590756643056,11.89005788984388,159.43774106909947
0.08,0.7646537260221646,5.707004633331236,12.631810973417927,165.95775671860378,1.4652961177718091,2.2576269660365744,10.518055304759304,132.62575357574295,52743.23752633343,54903.946649009,7.666925646123125,111.48727402851694,1.1254931587289856,3.6816124781380792,12.51049259743671,167.62304127032297,9.207253773112818,30.492757160839485,12.486451323363768,165.81865445245572,0.7274620034842932,1.603861038697429,11.925536131191729,158.948491968244
0.084,0.6510165277827887,5.840770172905316,12.62748766701614,165.6981208651769,1.4962074387167428,2.921586616255924,11.544352663606386,157.5024895514555,48446.92079266925,63487.58605774363,12.017790531395054,262.0690326013957,0.8111003373900698,4.153683782888751,12.605578472193525,166.7284108795033,7.126368800710661,33.067919865785406,12.617655612289951,167.4330243230685,0.5310507854457731,1.4353884595772637,12.25926826400578,177.02373887638157
0.088,0.6979177021513148,5.814735372043868,12.61803518795084,165.4422190984483,1.7394062232533414,2.8614927061778777,11.106047407315858,144.93013009476817,70683.9996856252,70372.16637501058,6.872502121715755,103.86457968167598,0.9651096328962556,4.215463777648055,12.523805287277552,164.56951677546985,8.25967974145075,34.35802784700014,12.52453273387369,164.7225854123463,0.7364114007386554,1.5093550065181436,11.558817317150984,152.83741386702968
0.092,0.7483903461254824,5.877127695024845,12.629352133664767,165.8454466174157,2.013472639006117,3.364094032402277,11.25122272610145,147.38772507775977,88571.12755643661,121554.58388123724,9.052556730015118,148.12688732293202,1.1210650891920315,4.444632507990956,12.595565876543096,167.7079093571794,9.222397190717809,36.45717722054757,12.584583054521048,167.12398148132536,1.0036075051636075,2.058127652042805,11.323286856067917,151.59248804033743
0.096,0.6774632696019998,5.653949429612454,12.631663308277735,165.8650487275705,2.1755286526437603,3.7465216552130975,14.912144517339222,374.8150183618927,33455.07089602795,34080.45131166435,5.479691386318611,54.267273417248965,0.9495926810042392,3.6093696693824215,12.569070530951365,167.27525727725194,7.870567719258243,29.51752986560784,12.542031405833772,166.46237934837723,0.49697843055776,1.3657018362866835,12.146626780318169,158.4582272647104
0.1,0.6330378373883135,5.308108313510277,12.634389648445897,165.98498111125474,1.6649226827638266,4.392316793091164,22.661809348953398,846.0307552796436,7642.265606706074,14240.311175398469,5.681700130739281,52.34076675310523,0.581820758889021,2.196679043565432,13.18209871607944,194.6147604755685,4.706589648865778,18.93363300239346,13.77136602632152,226.2108342185652,0.4690204745190012,1.726490706856827,12.66289652368495,171.74169826477146
0.10400000000000001,0.6180465927664749,5.396841233677779,12.626152057479619,165.71457783656086,1.3265701433443815,3.9630878855333718,17.34818505232405,501.20881314706446,5255.2979211305565,11097.746801135007,8.607735169341092,101.58097423559454,0.5394044179287047,2.366645133268169,12.850111184074802,179.7724598505327,3.9418192290644383,19.296318420809158,13.167982332293162,195.52560959387102,0.44409565855984157,1.7764326238769421,12.613248133198892,169.52250784657465
0.108,0.6030553481446361,5.48557415384528,12.61791446651334,165.44417456186696,0.9882176039249366,3.533858977975579,12.034560755694708,156.3868710144853,2868.330235555039,7955.182426871544,11.533770207942904,150.82118171808386,0.4969880769683885,2.536611222970906,12.518123652070162,164.93015922549694,3.1770488092630984,19.65900383922486,12.564598638264805,164.84038496917685,0.4191708426006819,1.8263745408970573,12.563599742712835,167.30331742837785
0.112,0.5740482623618286,5.431000107541137,12.7519570769601,169.03377536437907,0.9995884642708814,3.156513607975851,12.224368039339844,162.8972708314725,5746.878061774044,11346.950689948311,5.813057257113495,48.93687752304628,0.4737700135605086,2.513506699034782,12.556534860479802,165.79613029041187,3.078448594878544,20.07590914795117,12.733368088049962,169.12510143855965,0.3574840031636977,1.7295504170473244,12.50886251095749,164.9363055320711
0.116,0.5672352892569726,5.594503423509034,12.618352651144486,165.49403453538278,0.7739416305842202,3.526790483502443,12.41544355651483,164.2616076593014,6940.083635608762,14950.267005160447,8.084297710876323,91.12736586146556,0.4562935675749239,2.736530048220433,12.51756108652902,164.71447628984464,3.6653189144972,22.034535016205325,12.546254963249329,164.90188333200794,0.3559237899244159,1.8581591498830343,12.462711767098517,163.9574416356392
0.12,0.6001210423709122,5.728002916517062,12.623346392788909,165.53004769476743,0.8844765827094718,4.0746222648237405,12.53604857248236,164.9014364020256,17582.420593103918,22166.443372065867,8.061132500766954,90.21868587431098,0.6187927648904454,3.1878084641046094,12.553812062132025,164.98588506152416,6.566039144487403,28.03569235694007,12.437370110713209,163.2021216980578,0.3987402931968486,2.0944980057002254,12.605977578601184,166.15388191076627
0.124,0.6348073061619722,5.576126553055322,12.62094120992513,165.50218813505808,1.1919002468722335,3.820205909042365,12.238297335981276,161.06240432150443,17370.635362715413,43354.04748056734,5.378638147445724,29.76892214160365,0.74487617224422,2.984359004761449,12.275247842842008,159.7034671828418,6.344974251601176,24.196098750028032,12.250022535849538,160.4123713514828,0.3714786508521441,2.2663302055955947,12.615430065740847,165.910241752303
