Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Root_amplitude,Amplitude_Root_mean_squared,Amplitude_Root_standard_squared,Amplitude_Peak,Amplitude_Skewness,Amplitude_Kurtosis,Amplitude_Crest_factor,Amplitude_Clearance_factor,Amplitude_Shape_factor,Amplitude_Impulse_factor,Amplitude_Max_Min_difference,Amplitude_Central_moment_3rd_order,Amplitude_Central_moment_4th_order,Amplitude_Central_moment_5th_order,Amplitude_Central_moment_6th_order,Amplitude_FM4,Amplitude_Median,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Root_amplitude,Rise-Time_Root_mean_squared,Rise-Time_Root_standard_squared,Rise-Time_Peak,Rise-Time_Skewness,Rise-Time_Kurtosis,Rise-Time_Crest_factor,Rise-Time_Clearance_factor,Rise-Time_Shape_factor,Rise-Time_Impulse_factor,Rise-Time_Max_Min_difference,Rise-Time_Central_moment_3rd_order,Rise-Time_Central_moment_4th_order,Rise-Time_Central_moment_5th_order,Rise-Time_Central_moment_6th_order,Rise-Time_FM4,Rise-Time_Median,Energy_Mean,Energy_Standard_deviation,Energy_Root_amplitude,Energy_Root_mean_squared,Energy_Root_standard_squared,Energy_Peak,Energy_Skewness,Energy_Kurtosis,Energy_Crest_factor,Energy_Clearance_factor,Energy_Shape_factor,Energy_Impulse_factor,Energy_Max_Min_difference,Energy_Central_moment_3rd_order,Energy_Central_moment_4th_order,Energy_Central_moment_5th_order,Energy_Central_moment_6th_order,Energy_FM4,Energy_Median,Counts_Mean,Counts_Standard_deviation,Counts_Root_amplitude,Counts_Root_mean_squared,Counts_Root_standard_squared,Counts_Peak,Counts_Skewness,Counts_Kurtosis,Counts_Crest_factor,Counts_Clearance_factor,Counts_Shape_factor,Counts_Impulse_factor,Counts_Max_Min_difference,Counts_Central_moment_3rd_order,Counts_Central_moment_4th_order,Counts_Central_moment_5th_order,Counts_Central_moment_6th_order,Counts_FM4,Counts_Median,Duration_Mean,Duration_Standard_deviation,Duration_Root_amplitude,Duration_Root_mean_squared,Duration_Root_standard_squared,Duration_Peak,Duration_Skewness,Duration_Kurtosis,Duration_Crest_factor,Duration_Clearance_factor,Duration_Shape_factor,Duration_Impulse_factor,Duration_Max_Min_difference,Duration_Central_moment_3rd_order,Duration_Central_moment_4th_order,Duration_Central_moment_5th_order,Duration_Central_moment_6th_order,Duration_FM4,Duration_Median,RMS_Mean,RMS_Standard_deviation,RMS_Root_amplitude,RMS_Root_mean_squared,RMS_Root_standard_squared,RMS_Peak,RMS_Skewness,RMS_Kurtosis,RMS_Crest_factor,RMS_Clearance_factor,RMS_Shape_factor,RMS_Impulse_factor,RMS_Max_Min_difference,RMS_Central_moment_3rd_order,RMS_Central_moment_4th_order,RMS_Central_moment_5th_order,RMS_Central_moment_6th_order,RMS_FM4,RMS_Median
500,78.38169014084508,9.80886075220257,78.0809467715798,78.99305728095065,941.3109156915158,100.0,0.4820364447895778,-0.552159865536078,1.2659340382830735,1.2807221753156095,1.007799871870675,1.275808161578408,38.1,454.9205782806313,22659.86552745826,243621.20287621135,7302710.798380151,2.4478401344639225,76.9,81.26830985915493,283.1609307940086,53.59137013471762,294.5923470076793,3510.472963861137,3233.2,10.074297919564414,106.44822863091736,10.975166302998762,60.33060904903912,3.6249350763936583,39.78426530099392,3228.7,228725604.2173052,703626296851.1334,2199719272405581.2,6.914526499045694e+18,109.44822863091736,42.8,4933054.718309859,28616770.23041475,774334.1174691463,29038845.832336225,346037784.86306244,268000000.0,7.963692692397022,64.5554609525874,9.229016936395194,346.1038251497146,5.886584984462808,54.3273925191369,267997790.0,1.8662780248159532e+23,4.530466543728772e+31,1.1190395425167341e+40,2.7995731319317766e+48,67.5554609525874,71250.0,59.59154929577465,136.61821764821238,44.10403895193485,149.04928762273596,1776.1272476937006,1574.0,9.74184275174611,103.69816723421314,10.56026516533248,35.6883414173329,2.501181616926082,26.41314110139447,1572.0,24840879.06466691,37169902345.42205,56136397973137.58,8.496495993923318e+16,106.69816723421316,36.0,453.2859154929577,1117.483505161785,333.55493401606776,1205.9177026202733,14370.167910640434,12886.9,9.86888601874268,105.34593938514304,10.68638429637342,38.63501536265454,2.6603908513433803,28.42995901601141,12874.1,13771825054.965466,168957363837251.16,2.09439881135512e+18,2.602411274007908e+22,108.345939385143,272.54999999999995,43.37323943661972,26.789247673544345,39.98215602291148,50.97942418408476,607.4899505341632,156.5,1.8946395581400943,4.545620229185498,3.069865980339136,3.914246142962346,1.1753658441532773,3.6082156194187367,150.4,36425.72067561769,3886306.178835245,367582134.210315,38667068174.96767,7.545620229185497,36.55
1000,79.16842105263159,9.88316232321038,78.84692765707521,79.78292918584579,347.7657257407636,93.9,-0.5172630485372787,-0.9389268077065848,1.17694350104983,1.1909151414040422,1.0077620359866173,1.186078978859194,33.2,-499.3433150605062,19664.238279156863,-176984.8426508635,4796715.2934531085,2.061073192293416,81.6,50.61578947368421,22.479072446632262,47.16610593110411,55.3829111017583,241.4085126916613,88.6,0.0573668358806186,-0.5210371744160107,1.5997714500274276,1.8784675616303512,1.0941825007106247,1.7504419257564727,87.1,651.6224787869971,632970.6343536406,-6109175.302803163,1086719146.1600523,2.4789628255839893,47.5,748805.7894736842,1552033.3854362112,395192.4569515153,1723228.870422584,7511380.502763789,7070000.0,3.5226527980091458,11.509339881739596,4.102763203048147,17.89001757406365,2.3013028139563345,9.441700504171203,7067920.0,1.316961312514551e+19,8.418832914369398e+25,5.311394455822661e+32,3.3577874432644296e+39,14.509339881739596,197000.0,49.1578947368421,28.438785890686123,43.29408275711639,56.79140038680801,247.5479751482528,112.0,0.0059634151177436,-0.4880030921438969,1.9721295695680063,2.586958606522047,1.1552854468408482,2.2783725910064243,110.0,137.16022743841046,1643097.3932367002,23901013.552636653,4642100203.960245,2.511996907856103,48.0,349.7,184.64864786370555,321.30693547673167,395.45570315510025,1723.7514466999005,798.8,0.3715216965035756,-0.0319297234560957,2.0199481095527543,2.486096351498915,1.1308427313557343,2.2842436374034887,742.0999999999999,2338958.824736841,3450314686.8108306,767286882082.6566,523191964278957.9,2.968070276543904,366.5,25.35263157894737,5.193352879154643,25.06470700085656,25.879081168103,112.80429956344749,35.1,-0.4610161517573049,-0.4912517443921707,1.3563078137125733,1.4003754362179657,1.0207650865558582,1.3844716628607017,19.6,-64.57429012975665,1824.939267576216,-5896.022041778957,148850.0880407019,2.508748255607829,26.1
1500,83.89999999999999,6.610597552415363,83.77009003684262,84.16002614068034,206.14912078396063,92.3,0.1129799511521436,-1.7021073577386898,1.0967201916704852,1.1018252452564616,1.0030992388638895,1.1001191895113231,16.5,32.638000000000694,2478.5725999999995,3659.529700000066,152929.70141,1.2978926422613102,83.1,39.73333333333333,14.819431688008674,38.48975802950706,42.40699627813002,103.8755024055239,67.9,0.9238614027638614,-0.5448491701032432,1.6011508939391008,1.7641056602108651,1.0672901747851518,1.7088926174496648,43.60000000000001,3006.7787407407477,118414.3606296298,2803368.694239924,85842363.31066626,2.4551508298967573,33.15,885333.3333333334,1009663.1165338708,568944.3159896685,1342845.7543590032,3289286.9014423173,2360000.0,0.6409556704560522,-1.5007441173175573,1.7574617131857615,4.14803335524114,1.5167685478452595,2.665662650602409,2315400.0,6.59716686087407e+17,1.5580512096062333e+24,1.712302440673384e+30,2.8483997787007345e+36,1.4992558826824425,311000.0,59.833333333333336,22.1164845508704,57.80859157767924,63.79002011809266,156.25299997120055,93.0,0.3220000817763839,-1.516590390368381,1.45790830333384,1.608757408923083,1.066128469940267,1.554317548746518,57.0,3483.407407407404,354915.91435185185,5400813.127572012,302949307.5396305,1.483409609631619,55.0,400.3999999999999,168.4323108353422,382.8357964542032,434.38416561073376,1064.0195580909217,638.2,0.3210742777826099,-1.6284196286157246,1.469206408807987,1.6670332448296663,1.0848755384883462,1.5939060939060945,408.50000000000006,1534199.1420000077,1103882604.5064344,122878003041.48584,48502412323828.96,1.3715803713842758,353.15,29.966666666666665,3.878860084555197,29.84662409309962,30.21666207023315,74.01540380218161,37.3,0.8341087871883193,-0.5582856914203047,1.2344182793355174,1.2497225777914212,1.0083424495072242,1.2447163515016686,11.199999999999996,48.67825925925925,552.727796296296,3295.554698971192,26850.14869386965,2.441714308579696,28.95
2000,85.96666666666665,10.077146862524575,85.68041496290412,86.5552809865849,149.91814433216547,100.0,0.6117741432248793,-1.499999999999998,1.1553310076539278,1.1671278674746806,1.0068470064356525,1.163241566498643,23.200000000000003,626.042592592596,15468.265251851888,158934.82418724374,2748107.051786314,1.5000000000000024,81.1,47.833333333333336,13.157085121290692,46.961656408301245,49.60984445315936,85.92677114846106,65.7,0.4671739943434445,-1.5000000000000009,1.324333924530496,1.3990136853091588,1.03713960529253,1.3735191637630662,31.300000000000004,1064.039407407407,44950.031118518535,460486.6988757201,12804054.774187492,1.4999999999999996,43.4,22045266.666666668,31009987.221467145,8604445.492232207,38047510.95512031,65900222.07580184,65900000.0,0.70710516108748,-1.5000000000000009,1.7320449707665146,7.658831711990298,1.7258811848554176,2.989303826369379,65809200.0,2.108573620562296e+22,1.38706753876465e+30,5.06911276191585e+37,2.445354660406148e+45,1.4999999999999991,145000.0,74.66666666666667,40.08601862107147,69.7767851761367,84.74668135095321,146.78555787270082,131.0,0.6673819480772132,-1.4999999999999998,1.5457832438004553,1.8774152416067649,1.1350001966645518,1.7544642857142856,90.0,42988.59259259256,3873137.851851851,172694729.46502045,11183572362.005482,1.5000000000000009,52.0,508.53333333333336,326.751427778909,461.48353402543086,604.4606245791919,1046.9565129459772,969.6,0.6929688228754314,-1.5000000000000004,1.6040747082161186,2.101050045149755,1.188635208270566,1.9066596748820133,718.3,24174983.020740736,17098626859.821695,6452695543098.868,3322770507005987.5,1.4999999999999996,304.7,24.23333333333333,1.913693345920976,24.196380101382783,24.308777564218783,42.10403781111735,26.9,0.6155602359275493,-1.499999999999997,1.1065961638315926,1.1117365443627951,1.0031132419897713,1.110041265474553,4.399999999999999,4.314074074074092,20.117807407407412,39.49774485596722,129.12505714128966,1.5000000000000029,23.3
2500,84.83888888888887,8.45499772919556,84.62033601239871,85.2860399474903,167.50852763518049,96.76666666666667,0.31314290196463085,-1.2238096680534813,1.133977630585431,1.1429329421524572,1.005227534876245,1.1399747005719174,21.033333333333335,403.9628641975331,10884.382731712987,104249.79095377293,1873155.8621964776,1.776190331946519,81.68333333333332,43.861111111111114,12.403929069800956,43.01149363694007,45.58440241997278,87.93050350487619,62.43333333333334,0.49054223422958826,-1.1803232536193693,1.3793344379293513,1.463371131452869,1.0397653209631526,1.4344729459889891,32.06666666666667,941.1380246913571,41526.97853541667,449413.91561248247,12522012.774130939,1.8196767463806314,41.28333333333333,14848794.444444444,20797559.365105927,5860611.445074561,25561280.139310695,44414249.682184935,44306666.66666667,0.7079905936903043,-1.300290096080351,1.7887346885378819,6.106933496496277,1.5811519753750474,2.8118520701261107,44235433.33333333,1.4057169718892682e+22,9.247117060109744e+29,3.3794085085925453e+37,1.6302364402759324e+45,1.699709903919649,202833.33333333334,65.88888888888889,31.49532587039962,62.197927884878155,73.30056511547355,139.0152698363139,109.66666666666667,0.18855449190379342,-1.09255732374683,1.4735706063461063,1.7263812508572929,1.1043104711868108,1.6317118226600984,75.33333333333333,27907.197530864178,2620185.8518518517,114409361.61179689,7481249650.104248,1.9074426762531709,52.0,467.12222222222226,253.54723542552068,432.744387410425,535.9588045745645,1023.7165364416851,803.7333333333333,0.1531903370499349,-1.2200745096378414,1.463746584399323,1.8199580866448908,1.1384683716211872,1.6805088265368335,575.3666666666667,15736901.134827157,11501848584.497776,4283784909847.6494,2219006454337811.5,1.7799254903621586,349.1166666666667,24.005555555555553,3.7876010235055744,23.701921421539556,24.447918602356644,48.25821685418105,28.3,-0.006098631019538336,-0.8922194989228833,1.1569891488744535,1.1975775796899393,1.0187237703658967,1.1802256702597516,10.666666666666668,-175.32395061728397,3585.175707021605,-50441.39317009603,828427.077109308,2.1077805010771167,23.900000000000002
3000,83.71111111111111,6.832848595866544,83.56025706189328,84.0167989083957,185.09891093819547,93.53333333333333,0.014511660704382368,-0.9476193361069648,1.112624253516934,1.118738016830234,1.0036080633168376,1.116707834645192,18.86666666666667,181.8831358024703,6300.500211574086,49564.75772030211,998204.6726066407,2.052380663893036,82.26666666666667,39.88888888888889,11.650773018311222,39.06133086557889,41.558960386786204,89.93423586129131,59.166666666666664,0.5139104741157321,-0.8606465072387376,1.4343349513282064,1.5277285775965794,1.0423910366337752,1.495426728214912,32.83333333333333,818.2366419753073,38103.92595231481,438341.1323492449,12239970.774074385,2.139353492761263,39.166666666666664,7652322.222222222,10585131.508744713,3116777.397916915,13075049.32350108,22928277.288568035,22713333.333333336,0.7088760262931284,-1.100580192160701,1.8454244063092489,4.555035281002256,1.4364227658946769,2.6344003138828427,22661666.666666664,7.028603232162402e+21,4.623558732572986e+29,1.6897042552692407e+37,8.151182201457173e+44,1.8994198078392992,260666.6666666667,57.111111111111114,22.904633119727773,54.61907059361962,61.854448879993896,131.244981799927,88.33333333333334,-0.29027296426962634,-0.6851146474936602,1.4013579688917572,1.575347260107821,1.07362074570907,1.5089593596059112,60.66666666666667,12825.802469135793,1367233.8518518517,56123993.75857334,3778926938.2030153,2.314885352506341,52.0,425.7111111111111,180.3430430721324,404.0052407954192,467.45698456993705,1000.476559937393,637.8666666666667,-0.3865881487755616,-0.9401490192756822,1.323418460582527,1.5388661281400267,1.0883015349718084,1.4543579781916538,432.43333333333334,7298819.248913579,5905070309.173855,2114874276596.4302,1115242401669635.2,2.0598509807243177,393.5333333333333,23.77777777777778,5.661508701090173,23.207462741696332,24.58705964049451,54.41239589724476,29.7,-0.6277574979666259,-0.28443899784576976,1.2073821339173145,1.2834186150170832,1.034334298742022,1.2504100750449498,16.933333333333337,-354.961975308642,7150.233606635803,-100922.28408504803,1656725.0291614747,2.7155610021542302,24.5
3500,82.58333333333333,5.210699462537529,82.50017811138787,82.74755786930109,202.6892942412105,90.3,-0.284119580555866,-0.6714290041604483,1.0912708764484371,1.0945430915080108,1.00198859175743,1.0934409687184663,16.700000000000003,-40.1965925925925,1716.6176914351863,-5120.275513168722,123253.48301680364,2.3285709958395526,82.85,35.91666666666667,10.897616966821486,35.11116809421771,37.533518353599625,91.93796821770644,55.9,0.5372787140018759,-0.5409697608581059,1.4893354647270618,1.5920860237402896,1.0450167523043978,1.556380510440835,33.599999999999994,695.3352592592574,34680.87336921294,427268.3490860073,11957928.774017831,2.459030239141895,37.05,455850.0,372703.6523834989,372943.3507592691,588818.5076914617,1442304.8949511335,1120000.0,0.7097614588959527,-0.9008702882410512,1.902114124080616,3.0031370655082354,1.2916935564143066,2.456948557639574,1087900.0,3.67454321225e+16,4.050362287606866e+22,1.9459359389651656e+28,1.550205153212867e+34,2.099129711758949,318500.0,48.333333333333336,14.313940369055926,47.040213302361074,50.40833264451424,123.47469376354006,67.0,-0.769100420443046,-0.2776719712404905,1.3291453314374082,1.424313269358349,1.042931020231329,1.386206896551724,46.0,-2255.5925925925944,114281.85185185188,-2161374.094650207,76604226.30178328,2.722328028759511,52.0,384.3,107.1388507187441,375.26609418041335,398.9551645653097,977.2365834331008,472.0,-0.926366634601058,-0.660223528913523,1.1830903367657313,1.2577741696351623,1.0381346983224295,1.228207129846474,289.5,-1139262.6370000006,308292033.8499334,-54036356654.78906,11478349001459.0,2.339776471086477,437.95,23.55,7.535416378674771,22.713004061853105,24.72620067863237,60.566574940308456,31.1,-1.2494163649137136,0.3233415032313438,1.2577751189601754,1.3692596503442274,1.0499448271181475,1.3205944798301483,23.200000000000003,-534.6,10715.29150625,-151403.17500000002,2485022.9812136414,3.323341503231344,25.1
4000,80.4,1.6000000000000014,80.39203901271992,80.41591882208397,113.725283028885,82.0,-1.3227266504323121e-14,-2.0,1.0196986019822858,1.0200014952603162,1.0001979952995517,1.0199004975124375,3.200000000000003,-5.46229728115577e-14,6.553600000000023,-2.327027459614328e-13,16.777216000000088,1.0,80.4,44.6,13.7,43.5218637258842,46.65672513153918,65.98257345693634,58.3,7.958312526475707e-16,-2.0,1.249551909947279,1.3395566046342506,1.0461149132632106,1.3071748878923768,27.4,1.8189894035458565e-12,35227.53609999999,6.402842700481415e-10,6611856.250608998,1.0,44.6,177500.0,9500.0,177372.7961644181,177754.0435545701,251382.1791615309,187000.0,0.0,-2.0,1.0520154493283942,1.0542766649890205,1.0014312312933529,1.0535211267605633,19000.0,0.0,8145062500000000.0,0.0,7.35091890625e+23,1.0,177500.0,50.5,8.5,50.13975692930729,51.210350516277465,72.42237223399962,59.0,0.0,-2.0,1.1521108409763092,1.1767109298751663,1.0140663468569795,1.1683168316831682,17.0,0.0,5220.0625,0.0,377149.515625,1.0,50.5,356.25,50.05000000000001,354.48334258690454,359.74861361789846,508.7613684233504,406.3,0.0,-2.0,1.1293997658919277,1.1461751546206778,1.0098206698046273,1.1404912280701756,100.10000000000002,0.0,6275037.525006256,0.0,15718984687.73449,1.0,356.25,15.75,8.149999999999999,14.613694235532575,17.73372493301957,25.079274311670183,23.9,-3.150131034344405e-16,-2.0,1.3477145997397897,1.635452310332877,1.1259507893980678,1.5174603174603174,16.299999999999997,-1.7053025658242404e-13,4411.948506249999,-1.8189894035458565e-11,293052.64965639054,1.0000000000000004,15.75
4500,78.5875,4.0625,78.46881948201708,78.822113683541,111.47130218617761,82.65,-1.0412724087297244e-14,-2.0,1.0504276594443287,1.055926074926177,1.0031925780464754,1.0540572938451962,8.125,-7.230882559383645e-13,4301.881576562494,-1.5296963695732302e-10,563355.617295284,1.0,78.5875,47.8375,12.1125,46.96998749128092,49.496907416215706,69.99919776353768,59.95,5.96873439485678e-16,-2.0,1.2168211529311121,1.287755327845257,1.0366168290405673,1.2623099235213677,24.225,1.3642420526593924e-12,27150.259701562492,4.802132025361061e-10,4998307.415962721,1.0,47.8375,206678.75,79821.25,175405.78848783523,236731.67697195456,334789.1482170647,286500.0,0.0,-2.0,1.1425589005743864,1.6535150994883248,1.1025719680922366,1.287226309781603,159642.5,0.0,1.7874318509591794e+21,0.0,1.511374218640032e+32,1.0,206678.75,46.125,14.125,43.14403125935356,49.72699430987987,70.32458976908184,60.25,0.0,-2.0,1.2174640141717408,1.6046573680957479,1.10355677295097,1.361086108610861,28.25,0.0,234795.296875,0.0,222158782.38671875,1.0,46.125,341.125,98.82500000000002,323.5109344642599,365.84745118816204,517.3864272299277,439.95,-4.74095355472198e-17,-2.0,1.1990662888389627,1.4460523916886838,1.0820856747109961,1.3125958090492504,197.65000000000003,-6.984919309616089e-10,907664379.8145062,-6.103515625e-05,54278237028332.73,1.0,341.125,19.75,7.949999999999999,18.78996291915967,21.447705098485134,30.331635432056252,27.7,-2.362598275758304e-16,-2.0,1.3107278430525293,1.5387023943286016,1.1010744746854155,1.4459692538432696,15.899999999999999,-1.2789769243681803e-13,4038.56900625,-1.3642420526593924e-11,259204.7152482656,1.0000000000000004,19.75
5000,76.775,6.524999999999999,76.54559995131424,77.22830854499803,109.2173213434702,83.3,-7.598181670271368e-15,-2.0,1.0811567169063716,1.0918506545920375,1.006187160793399,1.0882140901779547,13.049999999999997,-1.3915535390651712e-12,8597.209553124987,-3.057065711686846e-10,1126694.457374568,1.0,76.775,51.075,10.525,50.418111256677626,52.33708970089222,74.01582207013902,61.6,3.9791562632378533e-16,-2.0,1.1840903959149451,1.2359540510562632,1.027118744817924,1.2174449591503587,21.05,9.094947017729282e-13,19072.983303124995,3.2014213502407074e-10,3384758.5813164446,1.0,51.075,235857.5,150142.5,173438.78081125236,295709.31038933905,418196.11727259844,386000.0,0.0,-2.0,1.2331023518203783,2.2527535339876286,1.20371270489112,1.5209314928026427,300285.0,0.0,3.574855556855859e+21,0.0,3.0227484299291453e+32,1.0,235857.5,41.75,19.75,36.14830558939984,48.243638103482276,68.22680730416405,61.5,0.0,-2.0,1.2828171873671725,2.032603806316329,1.1930471990449607,1.553855385538554,39.5,0.0,464370.53125,0.0,443940415.2578125,1.0,41.75,326.0,147.60000000000002,292.5385263416152,371.9462887584257,526.0114860365051,473.6,-9.48190710944396e-17,-2.0,1.2687328117859975,1.74592962875669,1.154350679617365,1.4847003900283253,295.20000000000005,-1.3969838619232178e-09,1809053722.104006,-0.0001220703125,108540755071977.72,0.9999999999999999,326.0,23.75,7.75,22.96623160278677,25.161685263950694,35.58399655244232,31.5,-1.5750655171722025e-16,-2.0,1.273741086365269,1.4419524783243258,1.0761981599727632,1.3744781902262218,15.5,-8.526512829121202e-14,3665.1895062500007,-9.094947017729282e-12,225356.78084014068,1.0000000000000002,23.75
