CWT,EMD,FFT,Hilbert,SPWVD,STFT,Time
Amplitude_Kurtosis,Amplitude_Central_moment_3rd_order,Amplitude_Kurtosis,Amplitude_envelope_Central_moment_3rd_order,Amplitude_Kurtosis,envelope_Central_moment_3rd_order,Amplitude_Central_moment_3rd_order
Amplitude_Mean,Amplitude_Central_moment_4th_order,Amplitude_Mean,Amplitude_envelope_Central_moment_4th_order,Amplitude_Mean,envelope_Central_moment_4th_order,Amplitude_Central_moment_4th_order
Amplitude_Skewness,Amplitude_Central_moment_5th_order,Amplitude_P10,Amplitude_envelope_Central_moment_5th_order,Amplitude_Skewness,envelope_Central_moment_5th_order,Amplitude_Central_moment_5th_order
Amplitude_Standard_deviation,Amplitude_Central_moment_6th_order,Amplitude_P11,Amplitude_envelope_Central_moment_6th_order,Amplitude_Standard_deviation,envelope_Central_moment_6th_order,Amplitude_Central_moment_6th_order
Counts_Kurtosis,Amplitude_Clearance_factor,Amplitude_P12,Amplitude_envelope_Clearance_factor,Counts_Kurtosis,envelope_Clearance_factor,Amplitude_Clearance_factor
Counts_Mean,Amplitude_Crest_factor,Amplitude_P13,Amplitude_envelope_Crest_factor,Counts_Mean,envelope_Crest_factor,Amplitude_Crest_factor
Counts_Skewness,Amplitude_FM4,Amplitude_P14,Amplitude_envelope_FM4,Counts_Skewness,envelope_FM4,Amplitude_FM4
Counts_Standard_deviation,Amplitude_Impulse_factor,Amplitude_P5,Amplitude_envelope_Impulse_factor,Counts_Standard_deviation,envelope_Impulse_factor,Amplitude_Impulse_factor
Duration_Kurtosis,Amplitude_Kurtosis,Amplitude_P6,Amplitude_envelope_Kurtosis,Duration_Kurtosis,envelope_Kurtosis,Amplitude_Kurtosis
Duration_Mean,Amplitude_Max_Min_difference,Amplitude_P7,Amplitude_envelope_Max_Min_difference,Duration_Mean,envelope_Max_Min_difference,Amplitude_Max_Min_difference
Duration_Skewness,Amplitude_Mean,Amplitude_P8,Amplitude_envelope_Mean,Duration_Skewness,envelope_Mean,Amplitude_Mean
Duration_Standard_deviation,Amplitude_Median,Amplitude_P9,Amplitude_envelope_Median,Duration_Standard_deviation,envelope_Median,Amplitude_Median
Energy_Kurtosis,Amplitude_Peak,Amplitude_Skewness,Amplitude_envelope_Peak,Energy_Kurtosis,envelope_Peak,Amplitude_Peak
Energy_Mean,Amplitude_Root_amplitude,Amplitude_Variance,Amplitude_envelope_Root_amplitude,Energy_Mean,envelope_Root_amplitude,Amplitude_Root_amplitude
Energy_Skewness,Amplitude_Root_mean_squared,Counts_Kurtosis,Amplitude_envelope_Root_mean_squared,Energy_Skewness,envelope_Root_mean_squared,Amplitude_Root_mean_squared
Energy_Standard_deviation,Amplitude_Root_standard_squared,Counts_Mean,Amplitude_envelope_Root_standard_squared,Energy_Standard_deviation,envelope_Root_standard_squared,Amplitude_Root_standard_squared
Rise-Time_Kurtosis,Amplitude_Shape_factor,Counts_P10,Amplitude_envelope_Shape_factor,Rise-Time_Kurtosis,envelope_Shape_factor,Amplitude_Shape_factor
