Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation.11,Energy_Standard_deviation.12,Energy_Standard_deviation.13,Energy_Standard_deviation.14,Energy_Standard_deviation.15,Energy_Standard_deviation.16,Energy_Standard_deviation.17,Energy_Standard_deviation.18,Energy_Standard_deviation.19,Energy_Standard_deviation.20,Energy_Standard_deviation.21,Energy_Standard_deviation.22,Energy_Standard_deviation
1315609.4592775756,396612.63424878486,294510.2764188187,2512602.804984305,629756.2833069961,1571613.9796726776,2825459.371593827,1606213.8814563642,286690.4566908146,461537.6387861976,475559.6775073994,371033.41167691874,1315609.4592775756,396612.63424878486,294510.2764188187,2512602.804984305,629756.2833069961,1571613.9796726776,2825459.371593827,1606213.8814563642,286690.4566908146,461537.6387861976,475559.6775073994,371033.41167691874
1289848.1918731274,376529.0232202285,303217.55428645725,2414885.7122213906,637227.2526899131,1527747.611357656,2673074.702515316,1586354.1226452892,280388.2945128077,458950.0001708736,473930.9191144077,357833.6935175393,1289848.1918731274,376529.0232202285,303217.55428645725,2414885.7122213906,637227.2526899131,1527747.611357656,2673074.702515316,1586354.1226452892,280388.2945128077,458950.0001708736,473930.9191144077,357833.6935175393
1272133.315563643,366766.6263425928,318217.4124376652,2299958.4336074456,638855.8283097795,1476306.633959425,2523253.600855973,1560820.2207050496,273854.84448114265,452261.6816693285,472546.48835200246,348475.6388109565,1272133.315563643,366766.6263425928,318217.4124376652,2299958.4336074456,638855.8283097795,1476306.633959425,2523253.600855973,1560820.2207050496,273854.84448114265,452261.6816693285,472546.48835200246,348475.6388109565
1260420.439347525,329499.7568279217,336315.76712841704,2185779.8412038856,636848.7887945219,1422001.611833993,2378489.878296314,1533126.3321542616,266113.8948710003,441991.8760727148,473205.7441231883,342607.51883786893,1260420.439347525,329499.7568279217,336315.76712841704,2185779.8412038856,636848.7887945219,1422001.611833993,2378489.878296314,1533126.3321542616,266113.8948710003,441991.8760727148,473205.7441231883,342607.51883786893
1258107.3260615396,340509.4540839733,355208.3006624421,2105996.8278505453,633939.4231914215,1365752.058369826,2241253.555382,1510881.2783713131,258097.73260853047,427897.3216707203,474900.4250140818,340536.6762367318,1258107.3260615396,340509.4540839733,355208.3006624421,2105996.8278505453,633939.4231914215,1365752.058369826,2241253.555382,1510881.2783713131,258097.73260853047,427897.3216707203,474900.4250140818,340536.6762367318
1265824.9126345848,310723.9303482872,376171.6124406067,2086097.2864518384,629977.6987069608,1308231.0767757571,2107064.828275959,1503015.4474314507,250371.03807108576,411680.182856829,477986.15126947983,342216.5160939131,1265824.9126345848,310723.9303482872,376171.6124406067,2086097.2864518384,629977.6987069608,1308231.0767757571,2107064.828275959,1503015.4474314507,250371.03807108576,411680.182856829,477986.15126947983,342216.5160939131
1280775.059553647,285767.083777659,388241.58101540233,2125463.614022074,619960.0603844833,1242322.0426447112,1962748.193252402,1512029.6881070705,241455.95968429933,390977.0546144606,480049.8958290913,345570.5953301226,1280775.059553647,285767.083777659,388241.58101540233,2125463.614022074,619960.0603844833,1242322.0426447112,1962748.193252402,1512029.6881070705,241455.95968429933,390977.0546144606,480049.8958290913,345570.5953301226
1296355.5594466382,262701.4152738999,386511.2229683024,2213709.8041719813,607529.2615057976,1176453.039707973,1826508.842422659,1535540.5822995154,233900.27444799623,370308.61708725005,479778.2238472285,348719.8544124551,1296355.5594466382,262701.4152738999,386511.2229683024,2213709.8041719813,607529.2615057976,1176453.039707973,1826508.842422659,1535540.5822995154,233900.27444799623,370308.61708725005,479778.2238472285,348719.8544124551
1319174.8742923506,250724.69931259644,380369.1290112032,2384310.3088122155,592396.788031681,1106009.110111734,1692377.9391218887,1575286.9578528353,227575.01623319465,349610.77440548124,483055.05015592254,352058.2752056703,1319174.8742923506,250724.69931259644,380369.1290112032,2384310.3088122155,592396.788031681,1106009.110111734,1692377.9391218887,1575286.9578528353,227575.01623319465,349610.77440548124,483055.05015592254,352058.2752056703
1338685.5811332825,243671.85991276,375539.8545675615,2604830.5032638004,572501.7035806859,1036592.7286796932,1570697.898208299,1620109.027016858,223210.7942521858,331427.9517849503,488355.68428438494,353115.7480000826,1338685.5811332825,243671.85991276,375539.8545675615,2604830.5032638004,572501.7035806859,1036592.7286796932,1570697.898208299,1620109.027016858,223210.7942521858,331427.9517849503,488355.68428438494,353115.7480000826
