Duration_Central_moment_4th_order,Duration_Central_moment_4th_order.1,Duration_Central_moment_4th_order.2,Duration_Central_moment_4th_order.3,Duration_Central_moment_4th_order.4,Duration_Central_moment_4th_order.5,Duration_Central_moment_4th_order.6,Duration_Central_moment_4th_order.7,Duration_Central_moment_4th_order.8,Duration_Central_moment_4th_order.9,Duration_Central_moment_4th_order.10,Duration_Central_moment_4th_order
67556120787.87683,13732429747.750376,174187963771.60394,49648844854.33405,98193861690.84464,68538590687.97793,12043609987276.729,49537931412.30601,2800408011.5424576,5498529456.314409,2284883093.1000214,1784956934427.8755
966703036.8070503,7041408975.274196,87221897126.9035,1148194470.5298452,271692492.44212425,20804735777.9368,685672387.5983503,2736282007.7992573,50299644.82519165,93016941.33616446,5506035334.412957,1170870560.34518
669218045.9262745,83771.13941972583,255830482.20306435,17047087971.712858,774971066.9214252,116604891792.69765,2608277510.843384,248461376.11700383,13566188.520158542,198456793.5914949,189264716.4233701,302831716.19917387
2685117084.814798,287597.6812826657,149050160.76026994,436517519.5779752,223769000.6907144,212405047807.45847,11698863617.736307,11734407736.001783,354363021.978271,303896645.8468253,11152530.099826308,1755426567.0955338
1287854589.31613,491424.22314560553,42269839.317475565,8548079919.745909,198689528.0336844,106860262616.10931,7810914826.171413,32222535.61229677,828757964.137884,409336498.10215575,878109693.2852764,834867502.0600727
1195699078.627684,695250.7650085455,43.16270935934138,69347942.78365761,3443099831.989109,1315477424.7601898,3922966034.6065207,37529365.18406114,2382700664.153974,2260675721.584902,102031557131.27393,605052141.8937043
1137314794.5756085,899077.3068714853,104257968.31687774,3195049038.7640486,6687510135.944535,10315344.07565217,35017243.04162823,55188895.85725537,892233180.8260221,2115714893.13814,203185004569.26257,188390758.97515973
1048249077.8521748,1102903.8487344251,208515893.4710461,785424937.227822,9931920439.89996,6907930197.603418,25449394.73020233,736979326.7483934,562479503.9606907,1970754064.6913776,72064304.24790005,125406529.51837651
787684875.4010667,1306730.390597365,312773818.6252145,5847636120.529505,4966004551.230889,3508524998.96986,3229154502.0719094,82602606.9907874,232725827.0953592,1825793236.244616,53875857.18702824,155123798.34910965
762447787.8408322,1510556.9324603048,44431.42196452645,15951700401.02889,88662.5618186698,109119800.33630058,6432859609.413617,28815295.49575383,6553174.916881661,1680832407.7978537,130270671.12110962,200226737.32391417
