Energy_Central_moment_3rd_order,Energy_Central_moment_3rd_order.1,Energy_Central_moment_3rd_order.2,Energy_Central_moment_3rd_order.3,Energy_Central_moment_3rd_order.4,Energy_Central_moment_3rd_order.5,Energy_Central_moment_3rd_order.6,Energy_Central_moment_3rd_order.7,Energy_Central_moment_3rd_order.8,Energy_Central_moment_3rd_order.9,Energy_Central_moment_3rd_order.10,Energy_Central_moment_3rd_order
-5.532183200717746e+20,-7.205739658663629e+19,-4.948427594250423e+20,-9.35948211535345e+20,-2.080156372854748e+18,-5.910121224481617e+20,-9.12575138491556e+21,-8.156064881633699e+20,-3.104761788104341e+20,-2.0204883350276388e+20,-3.934568506283155e+20,-2.599492673224717e+20
-1.679557483785732e+19,-1.61345270503562e+20,-2.474200102393045e+20,-8.699319071821133e+19,-105190833101139.2,1.820078121610798e+21,-4.562432445339153e+20,-1.9382233939081937e+20,-1.1793535659115354e+16,-1.7900121415978848e+16,-8.10771617969365e+19,-4.142526326091259e+19
-8.017150753171892e+19,0.0,2738946433264504.0,-2.3221151281443137e+20,0.0,1.3837485962728932e+22,-7.034463623705381e+20,1.0852130913650788e+18,6086955861223425.0,-1.1936559432900752e+16,0.0,-6.633904355492828e+16
3.075151208959673e+19,1.3333333333333333,1369473216632252.0,3.589667462109645e+16,-4319088810715712.0,2.5854893803847062e+22,1.1677194820950606e+22,-1.5838115045377874e+21,2358762071982647.5,-5972997449822654.0,-1024.0,-1.1428154366518075e+20
-2.4666038686350344e+19,2.6666666666666665,0.0,8.522298779729523e+16,0.0,1.2927446901923531e+22,7.784871454018986e+21,-1.1720500296060742e+19,264747315881411.7,-9435466744556.469,-4096.0,8.354409980494991e+17
-9.143468976957298e+18,4.0,0.0,-9.118253131645331e+16,5.460183385713604e+18,0.0,3.892548087087367e+21,-1195134592941163.8,0.0,-8.484882830497109e+16,4.733778779250301e+19,2.3291971703437792e+17
1.3745819885441993e+19,5.333333333333333,2473336757241656.5,-9.787244703345468e+17,1.0920366771427207e+19,32768.0,2.247201557489658e+17,205134983267178.0,8.461150191740515e+16,-7.899169466250366e+16,9.467557558500604e+19,-2.4733112793362186e+18
4.787209157699377e+18,6.666666666666666,4946673514483313.0,5.859129140494299e+16,1.6380550157140812e+19,1.8794770412149087e+20,0.0,-5.843286239267808e+18,4.230575095870258e+16,-7.313456102003622e+16,-192.0,4.4831922140881766e+17
2.5214471376217e+18,8.0,7420010271724970.0,-7.081043481771554e+19,8.190275078570406e+18,9.397263119307093e+19,-16.46875,4.141940355469907e+16,-0.041015625,-6.72774273775688e+16,5120431651861337.0,-1.7026004652873705e+18
2.903884141436445e+18,9.333333333333332,0.0,7.809713373848585e+20,-128.0,-2441735348998265.0,-32.9375,46434672540044.59,0.0,-6.142029373510137e+16,119881145715900.14,-3.47557113121717e+18
