Energy_Central_moment_6th_order,Energy_Central_moment_6th_order.1,Energy_Central_moment_6th_order.2,Energy_Central_moment_6th_order.3,Energy_Central_moment_6th_order.4,Energy_Central_moment_6th_order.5,Energy_Central_moment_6th_order.6,Energy_Central_moment_6th_order.7,Energy_Central_moment_6th_order.8,Energy_Central_moment_6th_order.9,Energy_Central_moment_6th_order.10,Energy_Central_moment_6th_order
5.188285622582566e+44,2.3460986887658772e+42,8.356946073403284e+43,3.064818037118572e+44,1.3278938910384375e+39,2.772032119196255e+43,5.403437246865271e+46,6.451503031520311e+43,4.1301836071455335e+43,1.1625002778836066e+43,1.1208709309269307e+44,9.089598297772194e+43
4.329757742889658e+41,1.3280359307776261e+42,4.178473036705026e+43,2.961010179916141e+42,6.241518310413608e+29,3.2356712334380696e+43,8.895728683104235e+42,3.3615244523733225e+42,2.8813352053650933e+33,2.5192149073069925e+34,3.519895026669713e+42,2.2327756590455613e+41
1.897963643397661e+42,5.574439925521904e+36,6.767956036571533e+31,2.052090967436956e+42,9.434570717501292e+33,1.875011312043225e+45,4.275969539275441e+42,1.180449179780263e+38,3.012976305413409e+32,1.6900451833251788e+34,8.361803914768784e+38,9.755733858528328e+35
4.327667586981909e+42,5.109910798613165e+36,4.087444387766804e+34,2.688970220329206e+36,1.1408714246093466e+37,3.717665911752069e+45,9.528245562245275e+44,3.0877377434261957e+45,4.114515313882578e+31,8.608754593433651e+33,4.1390206868665e+37,5.122196074352991e+42
2.91756870340666e+42,4.645381671704426e+36,8.168120819497036e+34,5.87140722141326e+36,2.963474458903352e+35,1.858833968317524e+45,6.3521637246707556e+44,4.724792390912977e+40,1.4147676397217395e+30,3.170573536155137e+32,1.6017265795789668e+38,3.638747458106244e+39
2.231010319410685e+41,4.1808525447956864e+36,2.2989563833354376e+30,2.550268219289421e+35,8.13134350106956e+38,2.024882978662907e+39,3.1760818870962326e+44,2.9503824913430463e+32,1.1247659260196648e+34,4.148251548838865e+34,1.046319642497003e+41,3.7480884578498193e+40
1.40940005768549e+41,3.716323417886948e+36,3.193502324706665e+34,3.936865156177248e+38,1.625972352768021e+39,1.1474331151724883e+40,4.9521711759438936e+36,1.4112031177798184e+33,3.9310012306675055e+34,3.872049487424466e+34,2.0910375584144264e+41,2.626906925060984e+40
5.92159577310642e+39,3.251794290978208e+36,6.386774753774998e+34,1.2840108328730607e+35,2.438810355429087e+39,8.406119499072494e+42,7.298577803824547e+34,2.971649276241169e+39,1.965500654391948e+34,3.595847426010068e+34,1.1051840746481442e+36,1.4530371079422964e+39
1.370248734629259e+40,2.7872651640694686e+36,9.58004718284333e+34,3.5274483384800615e+41,1.2194387648923111e+39,4.203059749588871e+42,5.47397432322255e+34,1.8960233006677663e+34,7.811639044496823e+26,3.3196453645956687e+34,5.0159943120977614e+33,3.3406851787533587e+39
5.619880220781342e+40,2.322736037160729e+36,1.1230304265927455e+31,1.0126969898214976e+43,6.71743555351443e+34,1.0524708422686172e+32,3.6493708426205526e+34,8.656541950184023e+28,5.3502223690282565e+26,3.0434433031812703e+34,5.233134492404392e+30,2.749280615035622e+39
1.9873905964366395e+39,1.8582069102519903e+36,5.896409222491607e+31,5.5958315737783316e+44,1.509120034356589e+34,3.844046216635365e+44,1.8247673620185547e+34,1.5502631294402636e+35,2.1516091222520333e+44,2.7672412417668714e+34,2.183147782665629e+36,1.4289233423158023e+39
4.2645190877729414e+41,1.3936777833432508e+36,1.066978801839047e+32,3.537095603316959e+37,1.9897401184062208e+33,5.246149259405969e+29,1.638814165580973e+30,1.849506075426176e+35,1.349825907988899e+38,2.4910391803524725e+34,3.645718553918713e+28,9.703753810847724e+39
1.2065041597491647e+39,9.29148656434512e+35,5.723882430978191e+30,2.269012594062498e+31,6.489267131858247e+25,2.0833543574596136e+35,2.1386806839420748e+46,4.00261226893464e+33,2.0661664097800075e+40,2.2148371189380736e+34,1.835572281587512e+30,2.666550702443463e+40
2.478408545679796e+32,4.646195295257725e+35,1.2925019579674223e+28,5.5784566611289575e+44,1.246648459672032e+26,1.2233335842909296e+33,1.7109445474772788e+46,1.059764432902366e+33,3.519270066212778e+39,1.9386350575236752e+34,1.5789971275278034e+30,2.7335324488981443e+40
6.440003344647747e+34,9.040261703310038e+31,2.520699263418232e+37,1.1069321973871587e+37,8.316896080476867e+25,4.227999259778715e+30,1.2832084110124836e+46,9.882551045947284e+29,5.710741414612769e+36,1.6624329961092763e+34,1.597146579085533e+33,3.2138131573326616e+38
1.3555318544309999e+35,9.094240829115004e+32,1.5826296723598623e+40,2.2769962175490347e+40,4.167307564233413e+25,1.958915845955516e+32,8.554722745476879e+45,6.168016454107451e+37,9.89570113543999e+31,1.386230934694878e+34,1.2237975701114973e+37,6.2136150134785545e+38
4.775024538830094e+28,1.7284455487899e+33,3.1627386454563067e+40,4.4043965488043415e+44,1.7719047989958855e+23,6.662912720512578e+34,4.277361380828924e+45,2.63344402482536e+28,2.1664222683138453e+34,1.110028873280479e+34,8.589031262744904e+29,8.888357788532905e+38
4.156954345766727e+32,2.5474670146683e+33,4.7428476185527545e+40,4.460680120938348e+44,1.1868320802631517e+23,9.76072201442916e+32,1.618096808082405e+37,1.2970939494189397e+27,4.32294883549225e+34,8.338268118660801e+33,1.8612096549596328e+34,2.6342820048561804e+38
2.089684919362248e+35,3.3664884805467e+33,6.3229565916491955e+40,1.416487927043936e+40,6.017593615304175e+22,1.7434098782260446e+34,8.766801621070021e+40,6.862763563476714e+27,1.47376067019337e+35,5.576247504516816e+33,2.0095624294379348e+43,1.7700147299246314e+38
2.301104320012363e+34,4.1855099464251e+33,7.903065564745638e+40,3.139193622690272e+45,1.6686642797683443e+21,3.389212536307798e+34,1.753198514533196e+41,8.919428025323285e+27,2.12675899045492e+30,2.8142268903728274e+33,9.178032382747764e+32,4.010171873265374e+41
1.823267964295573e+31,5.0045314123034994e+33,9.483174537842085e+40,2.9595118552081503e+44,1.478993623836288e+25,1.154907759969441e+30,2.0224681107599723e+39,1.5505471048038014e+30,8.4030178589622e+29,5.220627622884087e+31,1.3773877416885932e+31,1.5185167617081202e+40
1.941487380398154e+29,5.823552878181899e+33,1.1063283510938526e+41,1.8721191030392968e+47,1.0993947760168237e+17,6.20553225558806e+28,5.575214518224186e+41,5.5396897524722726e+32,5.490518921034863e+38,7.492248233424577e+33,3.453617467980463e+34,1.5097567334447619e+38
6.852260250276979e+31,6.6425743440603e+33,9.981547118161784e+40,2.4895990468630016e+46,1.5601936319051158e+33,1.7765312027558149e+31,1.1130204355340772e+42,1.1662568780079389e+30,9.683249971654863e+38,1.4932290190620313e+34,8.822127901214271e+36,4.985726169039902e+37
6.205522377041784e+30,7.4615958099387e+33,8.899810725385042e+40,2.801123213011312e+37,3.1203872638102315e+33,7.713825920433688e+35,5.69361762712584e+41,3.2669960074428814e+30,1.7531383601470488e+37,1.8421623537040968e+34,9.338281514552958e+32,9.830373435655642e+37
1.5923119616904306e+37,8.2806172758171e+33,7.818074332608299e+40,4.2503084057491317e+46,4.680580895715347e+33,4.095899931316155e+28,2.5703089891090774e+40,9.144612662882832e+25,3.94424238783964e+40,2.1910956883461624e+34,1.6677770313803842e+32,5.963758373331982e+37
