Energy_Max_Min_difference,Energy_Max_Min_difference.1,Energy_Max_Min_difference.2,Energy_Max_Min_difference.3,Energy_Max_Min_difference.4,Energy_Max_Min_difference.5,Energy_Max_Min_difference.6,Energy_Max_Min_difference.7,Energy_Max_Min_difference.8,Energy_Max_Min_difference.9,Energy_Max_Min_difference.10,Energy_Max_Min_difference
121819080.40483372,37885835.76899236,82120334.52538502,102529785.71258156,11738807.164696096,58385411.26705809,234387933.21266973,77269805.09554073,66222350.30177295,42116945.58025392,61798855.8946722,93624120.60567813
33570637.87619381,23955491.030501723,41256351.922402665,35784465.86598761,205249.7339132584,37757010.81482592,37743847.73578972,38437849.65795029,892306.9784831258,1152306.570845317,32792370.714782503,25933504.801240616
36091980.97732614,2663157.606719688,392369.319420306,36079629.72136797,919355.9398654818,54925364.38972977,24613366.144131675,6545127.043815523,516883.65475983056,963572.6253188646,6138750.636606857,3076075.559675657
49957358.46548815,2476536.277607474,854883.6921450013,2797087.997079198,3300568.7134604445,72093717.96463361,61460176.685961545,178035399.608622,366919.0762523862,774838.6797924121,3719742.942889999,56040199.66370026
48346194.31796907,2289914.94849526,1317398.0648696965,2899412.279117846,1633040.1423785277,39603718.02817041,41990582.56889994,28052214.828740247,221624.6907563588,586104.7342659596,4660809.931918319,15276748.41734017
31626786.91643301,2103293.6193830464,229765.65820507373,1714243.4628842142,3554861.65892196,7113718.091707207,22520988.45183835,811577.4568554694,946688.3242162128,1101014.1862141355,11048238.737021318,24895860.390691344
25649049.02809721,1916672.2902708324,635548.0332326912,6708941.831107909,5476683.175465392,9498416.857999418,3051394.33477676,1139644.6834246495,1078679.5493247062,1051744.3864068256,17435667.542124316,21942023.92122516
16765501.114158168,1730050.9611586183,1041330.4082603088,1659526.3986607748,7398504.692008823,34832664.71239955,1292914.1921294974,10952704.32875826,569687.328781598,1002474.586599516,2033616.6956295213,14196506.100428686
20423143.30375336,1543429.6320464043,1447112.783287926,21185054.75223858,4336831.219551774,17672668.975781415,1023976.2834162364,1093857.1455394584,60695.10823848975,953204.7867922062,1702025.4511007064,18719939.8460427
23140052.728063308,1356808.3029341905,299292.09721488785,31700059.05234273,1275157.7470947232,512673.2391632771,755038.3747029756,164759.39424993578,56984.74831504247,903934.9869848964,444269.5239074258,15941874.145889971
12496975.256903484,1170186.9738219765,355280.3098927699,70146284.69528913,1149149.60153765,118467294.94308,486100.4659897147,2693857.579028349,71582876.29743811,854665.1871775867,4965185.005978028,13195287.536199782
27496514.680079035,983565.6447097624,411268.522570652,3394508.2665364067,742160.1810466987,325762.81208761164,217162.55727645385,3726594.4095803536,4471774.626224474,805395.387370277,210819.7457436373,18231607.076648258
12231287.007702544,796944.3155975486,279125.69059996214,347702.97153694124,44040.08485992743,3046522.941232384,122524769.7294153,1859622.0979177973,11399850.15576956,756125.5875629671,415761.8993157086,24880897.147919163
1028108.0748917712,610322.9864853346,92691.43205955465,99344930.57851756,53766.84090959636,1097268.6194406536,98758810.26368266,1547465.043782943,12513249.307327136,706855.7877556575,409970.8551808428,32467663.355529085
2494253.1966446266,423701.6573731203,3488892.9203689303,2985727.482470692,40840.86402960999,440620.6895753307,74992850.79795003,360170.26155142096,2427886.703663267,657585.9879483476,1618567.601836085,16469918.994520174
3516882.095588447,468259.1510704161,5106568.542434274,13631387.31026695,27914.88714962362,481984.00440119975,51226891.33221738,7138195.150043004,377218.80217747606,608316.188141038,6715724.369778564,15468545.74464292
275668.5850660757,512816.6447677119,6724244.164499618,68531963.20756602,14988.910269637252,1525541.891208162,27460931.866484743,238444.36298364124,929457.9430231282,559046.3883337281,281842.0246907764,15676627.233207377
1106860.8010006272,557374.1384650077,8341919.786564961,69730283.69647345,12628.025436392036,826450.9424089231,3694972.400752115,139021.62400529502,1481697.0838687802,509776.5885264183,2165260.9875499774,10696830.8566331
3759147.8003868335,601931.6321623034,9959595.408630304,9837818.55986502,10267.14060314682,1045262.941210806,9321563.970861088,204752.7949361193,1646055.1164294104,460506.78871910856,65896059.365261,10116878.473215386
2335990.842678099,646489.1258595992,11577271.030695649,80264076.13491186,7906.255769901603,1264074.9400126892,14948155.540970065,199034.6196175445,273925.21620006603,411236.9889117988,919749.7338869774,54287122.14625107
600069.3922219449,691046.619556895,13194946.652760992,56959273.90863694,37087.84446184557,204858.7628038081,8995267.423491552,495446.551319089,188711.5837099224,361967.18910448905,487324.1532516459,30291005.78651704
336639.7612140356,735604.1132541909,14812622.274826337,149885164.00006294,1384.274675584893,114928.93135684874,14058950.41563058,1382638.014596059,7027763.590274633,657543.0750908041,1177097.265130982,10156837.818724774
533122.446051322,780161.6069514866,14066148.26088467,138339021.19797644,269725.1467130416,428467.8046834266,19122633.40776961,467166.8812853893,7577298.165549532,953118.9610771192,3817904.494609445,8105057.152364934
352463.7828365568,824719.1006487824,13319674.246943006,3485395.218693417,538066.0187504982,2340492.8368379287,17372581.668897998,565264.0408928809,3261526.5644881725,977026.9437163672,1073049.0643259943,10065141.37335731
4037876.105545178,869276.5943460781,12573200.23300134,118337469.96936382,806406.8907879549,117423.46327748674,15622529.930026384,83769.59926493763,13572544.191556863,1000934.9263556148,1012341.1353526474,7981072.51491222
5204783.069088211,913834.088043374,11826726.219059676,37386274.89223968,626353.7236424789,940484.6724959714,573285.5097521227,1501701.0522368446,3365263.4257768653,1024842.9089948628,501078.618307952,9938754.671869136
329205.5143892364,4687829.698571612,11080252.20511801,8151713.107437623,1352055.6072091972,1058895.2471333502,370902.85552260815,78215432.13497141,1689660.0604931351,1048750.8916341106,451294.93526264594,12914139.774965998
2467775.19288458,4556939.9291654425,10333778.191176344,23620036.710530058,5964816.648518437,1177305.821770729,217849.10133133864,806976.0835258171,1066517.5557265268,1072658.8742733586,155934.7889055447,14003227.103370223
1257754.016018369,4426050.159759273,9587304.17723468,26879002.535372,61985264.297512665,1295716.3964081078,672975.9137986491,483609.523691872,1512384.8451168663,1096566.8569126064,5143344.922497025,98387339.66992354
3976071.712010362,4295160.390353103,8840830.163293013,125213340.06274869,96380929.70790774,3224606.989816725,363669.1974158248,340293.58957227704,211161.46764459545,1120474.8395518542,2224924.574797035,13476412.637017865
3498435.3288827776,4164270.620946933,8094356.149351348,3337507.197041832,285927.09583067,46363879.92306392,58474.2814534878,570011.1268583755,2257563.321812204,1144382.8221911022,12407057.365318634,14827084.310477763
3084630.220815024,4033380.8515407634,7347882.135409683,97332673.8608267,186334.4745399689,1265994.5995248635,69690.22852379692,4706866.955312417,1957858.184952275,1168290.80483035,493381.9333986717,16568096.603376908
4862859.4850963205,3902491.0821345937,5886556.319003079,222890032.2485716,4775.303633828364,579158.0538122396,130347.9581620862,376377.9632080304,1384675.8932384416,1192198.7874695978,7907408.543518823,14557819.025649656
3529221.84017762,3771601.312728424,5232682.164470887,4432488.55730442,2912776.893525706,697918.6593580379,191005.6878003755,25007559.64856556,378823.1930355594,1216106.7701088456,17492861.24645822,11727275.906300142
9181065.151296653,3640711.543322254,4578808.009938695,40192498.85007173,5439478.951910431,13490906.360341623,251663.4174386648,2236796.382879686,2315190.714625547,1240014.7527480936,1871646.194614256,10336011.940213304
3821128.244486596,3509821.7739160843,3924933.855406502,2710641.1523628705,1840688.9013273187,151846966.8044835,1301605.2265526792,412508.8593622748,4001176.9469001535,752326.442051739,361922.3199952595,7806492.961964995
4056194.5619167695,3378932.0045099147,3271059.700874309,2125834.02001301,2597503.921487595,62257770.91493459,2351547.035666694,1211288.1117527348,1452253.9257954154,264638.1313553844,874629.5545051761,9550232.78052534
9727050.849168524,3248042.235103745,2617185.546342117,61734326.00716402,4459146.535929323,63359565.77544178,2004186.408770808,6927241.369129166,2052171.2728849845,1138599.734832073,612715.1423069028,8751731.48265465
4536774.5219268855,3117152.465697576,1963311.3918099245,112620591.79517496,6372836.311456926,54643142.233609706,1656825.7818749207,1482304.2520960814,37912352.685654506,2012561.3383087623,734345.263749104,39769366.92028519
1405728.386164513,2986262.696291405,1309437.2372777322,128076541.69135857,7509157.725423848,7002585.593934759,1309465.1549790343,1809829.8260285773,15683055.127342606,2886522.941785451,139188.1057493667,7195598.685795177
2002478.2266390407,2855372.926885236,655563.08274554,7428366.376122994,8278540.284266813,141250582.70128816,962104.5280831476,73550957.31252353,30318160.306387257,3760484.54526214,433154.38899390574,6851850.417359133
1792458.9008448836,2724483.157479065,1688.9282133479137,33348016.27423381,8050426.248375582,22744897.702864457,614743.9011872611,2644927.384970773,1185911.1017602596,4634446.148738829,643919.337422149,8026743.141522372
4414221.576405721,2593593.388072896,264263.2542246642,59520321.73750839,7884816.091790847,34045762.93341081,267383.2742913746,26531618.622586425,193450.80022231728,5508407.752215518,86281.40394782086,8603462.497980854
961060.5726407032,2462703.618666726,526837.5802359805,2963718.557873913,10650284.804085476,16249167.278892323,507083.1602422916,2884532.749572992,395981.8400091423,6382369.355692207,147922.15295176033,10012320.307094932
1004804.5210316114,2331813.8492605565,789411.9062472967,8440055.06665133,8715645.039954748,10428831.10457029,746783.0461932085,71746832.96870232,218163.3890366073,7256330.959168896,338355.49979746004,8383852.681904735
1478841.1633854767,2200924.079854387,1051986.232258613,1180910.4591784868,9621465.366240136,6168330.544907933,986482.9321441256,4263838.600575184,297129.8658135182,8130292.562645585,965014.1496582596,6391362.9665515805
1724048.0388512337,2236228.528350613,1314560.5582699294,2964750.5677689165,30709019.609792206,1948419.040935024,1226182.8180950426,34146226.610147,268566.1903870858,9004254.166122274,56141193.63759827,7229616.760691982
6750653.68320328,2271532.97684684,1577134.8842812455,2931272.624536393,8861713.424182545,373512.5128603283,2246037.2961611734,12962093.413579855,463954.7084941058,874389.7656814707,37106973.58874202,7260214.882640228
4561842.592741894,2306837.425343067,1839709.2102925617,30391752.33647974,8848130.1180574,152445.21428440898,3265891.7742273044,54234088.34224576,581935.9997300244,11698057.39041532,2940582.2804124565,7925458.267485319
6189462.266282667,2342141.8738392936,2102283.536303878,5207828.511227338,11210434.637714196,4067858.311044824,4285746.252293435,37505498.97327668,337110.7773855645,67555371.73871294,43546.55854969035,8816766.161945017
792504.6095660101,2377446.3223355208,2364857.8623151947,2400694.870561216,10342320.292653542,7608112.543800399,5305600.7303595655,58540767.49031469,1572229.3903140663,38153183.56442104,293621.676399296,5901081.169374693
3805175.086380792,2412750.7708317474,2627432.1883265106,8990163.057573158,46301011.43991937,1209091.3653166816,6325455.208425696,790783.4631580884,620581.5833635922,8750995.390129153,36671.98511829215,5405021.601326037
1450475.0099666682,2448055.219327974,2890006.5143378265,4995056.258534217,12702798.42178022,861123.7491345182,7345309.6864918275,869748.4274618372,471685.9474267064,22550478.16708964,38849.85045395188,6408067.135934506
677707.3013327129,2483359.667824201,3152580.8403491434,3228576.5219908534,12597489.098313903,70956969.26595822,8365164.164557958,3817616.3421083046,77649.74173647306,36349960.94405012,196263.6054982612,6106970.681177218
922811.956812244,2518664.1163204275,3415155.16636046,47685344.389345735,13285690.69063685,1185076.0184850418,9385018.64262409,8272544.271630193,368137.6928560367,50149443.7210106,618068.1294461021,6272583.702742609
1079361.542967922,2553968.564816654,3677729.492371775,29442133.2776561,15205674.898157904,459578.7915048722,10404873.12069022,12727472.20115208,46698.10822380682,63948926.49797107,175290.6106220162,5422386.39631084
494056.2319287506,2589273.013312881,3940303.818383092,3078951.308158286,19456299.75454216,1584783.5543204658,11424727.59875635,9738886.114347547,85486.79062735499,77748409.27493155,334724.9891815123,5609793.557091387
494552.7430158611,2570686.950895322,4202878.144394408,1548099.187408452,299908073.9266497,561730.5895567127,12444582.076822482,12027859.869929608,547425.3688425141,91547892.05189204,101732.87453512724,4819353.784032822
875142.8089526994,2552100.888477763,4465452.470405724,79274846.02008104,56324244.50102919,1113723.7101898836,10682551.089093143,6507586.495705042,128144.42606481595,105347374.82885252,1636021.4448633683,6108039.3954013735
566571.0166094666,2533514.826060204,4728026.796417041,1871193.731922972,19846973.363264102,468738.7883825984,8920520.101363806,4482303.780864138,284737.1912220363,119146857.605813,64944.684689728485,5300205.571331814
7200388.679880619,2514928.763642645,4593036.294617477,77631819.33029729,19216690.20571176,3119452.555501191,7158489.113634469,6545596.245859398,141677.82919357493,132946340.38277347,45000.9492074594,5942382.811851216
4226528.086250445,2496342.701225086,4458045.792817912,5407024.777928781,16804575.946667545,2193670.807504508,5396458.125905131,1345844.7128177064,2456.2107969482176,146745823.15973395,26141.346009863144,6324058.024423778
474591.4308246984,2477756.638807528,4323055.291018348,2092489.2861335613,15960777.68374785,914841.7689543716,3634427.138175793,6262315.299905037,17814.28052070462,160545305.93669444,47617.18759069208,5310587.067756312
620287.2048382617,2459170.576389968,4188064.789218784,16534723.00816671,13230265.46658857,1015247.4579527264,1872396.150446456,11422069.61396142,40547.31746648727,54840947.24487037,64306.32931086832,6034861.031330218
637225.9573819007,2440584.513972409,4053074.28741922,1154945.5367181832,14162347.10297475,1463010.3335255005,4175505.067776244,2869910.995503904,316074.9084181213,27972232.6684122,1385554.2599666065,6765474.114206154
1724106.0235804704,2421998.45155485,3918083.785619656,3033552.702304963,13160988.766483732,2130330.930077835,1190353.0488319765,8088983.125836193,306771.6399869586,1103518.091954023,1299350.2415274945,6532665.425503658
