Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
-289807.4399463779,-320836.2987841477,-698047.6114221663,-397224.297290732,-118106.84528255455,-1592164.263871628,-1817594.771857312,-835348.1410161474,-210560.54104178905,836729.4691532918,-920306.1689802709,-173186.83402700495
-41613.91962366696,868102.9348788684,-295892.8007004077,-20539.19182336298,-181370.5952084047,-2753517.3061226844,1807714.109558789,38320.375855117934,-121537.47865200724,-59036.520704923045,940729.7728270371,100030.96258344014
-1523540.399884295,-4189511.575968316,106262.01002135091,-972073.6231822652,225066.48055745,-6412480.324610621,921880.207024998,46816.95710179233,-23178.06118804881,-105420.17019957853,-51726.807765589096,-18048.123502739985
-1425454.5771792189,-3744458.398938097,90143.25526125716,-68640.17301933673,-53716.49761102628,-10071443.343098557,-8155877.230897226,-159590.29751554332,-65599.64119973905,-151803.819694234,1860696.484881108,-11944.188479033131
-636548.5055268236,-3299405.2219078783,74024.50050116342,-102545.7657459158,1044650.7347072688,553403.161193693,-5202954.143177794,-61841.93060278536,-133286.60639187382,-198187.4691888895,3449926.932944116,58190.90712452554
-140964.4130602054,-2854352.0448776595,203892.0580344429,-214796.8347764017,535031.8473062741,11178249.66548594,-2250031.055458363,4080.109667510998,-43833.110411776666,142632.2833784422,876925.1697533075,-97407.0151394708
-507946.53753679566,-2409298.8678474408,144405.90763893473,-114878.79143185022,25412.95990527933,6750703.460403917,702892.032261069,11960.823706405528,-163928.31250803312,129797.83642200122,-1696076.593437501,272529.3156108877
-500905.20918717823,-1964245.6908172225,84919.75724342657,-224999.1441040405,-484205.9274957154,-2382446.573178296,1021753.2314732928,-520272.40726354177,-10863.9736838674,116963.38946556023,839686.400358346,56413.144353425785
-538068.3962226578,-1519192.5137870037,25433.60684791843,396301.17045225593,-1181806.014892914,-1175792.8317825857,7793282.3032115875,445672.8928417043,142200.36514029832,104128.94250911924,8418.191203474451,70345.01310135754
-354174.7612157297,-1074139.336756785,18379.61791294125,-2781321.657913473,-1879406.102290113,30860.90961312453,14564811.374949882,-34434.62647666203,437413.6536002677,91294.49555267829,-7712.96689219918,137242.60579513718
-244989.28632703327,-629086.1597265662,36047.9273217057,3776190.812161806,432705.0587013999,-404771.59000472346,21336340.44668817,-9984.02363606177,398241.4436714319,78460.04859623729,-9364.707023565405,-355081.2927700718
-1104186.4941087072,-184032.9826963474,53716.23673047015,396124.3759399808,-87173.38109604146,-823.4540299879153,28107869.51842647,106.31491924266456,-991964.8484793856,65625.6016397963,623.34192920068,-424256.2366413203
