Energy_Root_amplitude,Energy_Root_amplitude.1,Energy_Root_amplitude.2,Energy_Root_amplitude.3,Energy_Root_amplitude.4,Energy_Root_amplitude.5,Energy_Root_amplitude.6,Energy_Root_amplitude.7,Energy_Root_amplitude.8,Energy_Root_amplitude.9,Energy_Root_amplitude.10,Energy_Root_amplitude
1522509.6374694202,1250229.6507412563,1335080.2099932472,2322746.333158884,579164.177818143,3661447.169818283,3387837.786141641,811133.7470495331,1764119.7455424606,4638124.518865648,8536421.318109527,878835.7929750261
598437.3893887451,8372121.163674539,709347.9853132506,2573621.484536644,173482.8483995249,14119057.843415122,3212503.397781109,1527116.3634898188,134170.6101029338,278959.8298007008,6900495.269794038,1468977.11316949
3251195.458976742,4080889.289011675,83615.760633254,1261593.822082773,430244.146683184,24392853.863350622,5583436.545262235,59587.96156194445,205013.6533115628,258939.24261425785,3069157.370645611,353278.5080739056
5122555.330901129,3835923.135352833,370114.2346743823,564359.6758995713,1401440.5658193894,34666649.883286126,27302985.57979184,134284.31072106262,167054.91627391402,238918.6554278149,958049.8604164156,531783.9763074213
5541560.89901815,3590956.9816939915,656612.7087155104,1279222.9219858611,848128.2720634898,22777203.535255693,18517357.154090863,54783.29962124026,107659.97709010584,218898.06824137192,2996891.9763819184,1668197.3581088318
4952201.034692541,3345990.8280351497,186168.80934849216,607622.1626953076,1549940.100752835,10887757.187225258,9731728.728389896,14442.262581310448,472327.2073686819,514260.3117264256,3829704.177286183,3195565.031419448
3899093.171948308,3101024.674376308,245037.3028754028,1245944.949924033,2251751.9294421803,5774154.374659583,946100.3026889276,21888.4072712546,443765.1322530388,491312.8339925729,4662516.378190448,2592309.334682643
2307020.0586970416,2856058.5207174663,303905.7964023134,412988.9533656199,2953563.758131525,7639849.544766495,906500.4550631108,897199.3574910017,292163.74021667446,468365.3562587203,795120.917941901,1780080.902099609
2525470.322592745,2611092.3670586245,362774.289929224,2926180.924527316,2388621.843212437,3889799.6683312,7706816.505073965,368639.3048249984,140562.34818031007,445417.8785248676,66503.99585643782,1903628.775578734
3699531.699619647,2366126.213399783,149079.55517676324,11138929.805415338,1823679.9282933488,139749.7918959043,14507132.55508482,37637.52587098831,436949.1743010272,422470.4007910149,79693.45452892013,1952342.6008465595
1150999.3110892142,2121160.059740941,169746.2363453057,12653319.96725745,431784.5140680498,523800.9575386719,21307448.60509568,12072.67608586415,6176545.72037855,399522.9230571622,67832.54741952846,1508983.492719215
5298233.791025488,1876193.9060820988,190412.9175138481,590496.7280351056,262453.2086533287,8257.226840122406,28107764.65510653,4260.076353040764,681239.0626256744,376575.4453233096,31792.77217561315,2016612.123160733
130977.4215791287,1631227.752423257,115790.94105757402,759477.2170029103,7810.96626737345,11248.021987411505,26485502.878986143,4984.770162521043,4240091.21561425,353627.9675894569,39497.07350863172,2219814.733410019
