Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
8956032.844880985,5501545.907254766,7731356.046318493,9778077.681514531,1542955.1373979335,8881532.791273288,22795818.113574512,7297740.9001178015,8038640.742622277,9582745.692354744,14778498.633137671,6012854.501220727
3731276.2234383817,9334299.962213516,3959682.519290491,6567920.893305483,195970.6207459012,15411270.330453329,7260924.329819431,6048461.482180085,253350.72989008305,475654.6549000255,9180294.717218136,3932676.9350836617
7332389.310553157,4396033.365970936,188008.99226248896,5412640.430048824,511819.066381864,25084210.141892847,8360988.522983798,637100.788212963,222505.274728864,415256.681782413,3069811.1517244657,607922.8843953996
8807790.366767509,4127235.4606090286,425427.2028084771,914440.2896040656,1433043.940195112,34757149.953332365,27924637.497942667,8378940.96109108,171475.02567799878,354858.70866480056,2630838.896463236,4004245.759583123
8067456.175645226,3858437.555247121,662845.4133544653,1303848.479661144,1325895.992972057,23243822.453457065,19046837.663160004,1439086.4001905096,161828.75218855994,294460.7355471881,4163265.923289107,2455539.241668273
6175757.721798353,3589639.649885214,234029.98900167327,719757.2554651124,1944079.720761052,11730494.953581762,10169037.828377336,82224.58696819085,475369.3694067765,517935.4456429909,5122595.50406207,4178045.331775968
5218251.447851198,3320841.7445233064,353157.815740946,1975259.4543991173,2562263.448550045,8253906.827217721,1291237.9935946693,133838.85545321694,458175.37842573697,494809.5183102608,6081925.084835033,3610370.254350958
3165121.9533164767,3052043.8391614,472285.6424802187,567300.6786398366,3180447.17633904,10806293.607850073,1209084.9610670807,2321729.9907841086,301788.9923082303,471683.5909775307,1318701.0529807506,2344728.9628613573
3419648.656207812,2783245.933799492,591413.4692194915,5615457.106259157,2582528.243670949,5487272.305703077,7933833.531675681,582142.2547232358,145402.60619072363,448557.6636448005,125407.2858635354,2585850.0466274754
4680716.733102247,2514448.0284375846,150770.52171577563,12369127.67724951,1984609.3110028573,168251.0035560823,14658582.10228428,53914.88086979648,438340.6434966614,425431.73631207045,100679.05765973196,2590627.711910272
2034151.20073794,2245650.123075677,171443.5710987302,20014138.8382214,600503.4308959153,7588562.783806077,21383330.67289288,182092.50401138616,13972759.99874197,402305.8089793404,295650.1663155839,2236974.7535270136
6869359.495089948,1976852.2177137705,192116.62048168475,1199836.315893903,285057.9086248036,39914.38896880384,28108079.24350148,136505.9950112772,1831650.4908140304,379179.8816466103,41256.80806372278,3023681.275343719
1390996.2558857847,1708054.312351863,125849.55079983707,779805.0151447481,15305.105511133825,262851.4877494454,42941991.040476486,87982.447440597,4479165.059004347,356053.9543138802,60646.13311497507,3409178.815709441
80010.2995421183,1439256.4069899558,225892.91883967168,12471883.329882592,19106.19740767349,171885.90383874392,34602645.00798777,69181.57419976061,1946350.533327228,332928.02698115003,88520.94934666566,2655051.785243902
230601.6590760135,1170458.5016280487,1845295.3062434143,1500895.0572940724,15415.450506371688,68343.55438170428,26263298.975499045,27104.30051565881,1069767.8953047693,309802.09964842,120453.617335266,1290284.4972687955
148752.87690705407,1321256.1852034857,2778310.953843978,4004176.523166088,11724.703605069884,287373.7650553333,17923952.943010323,495887.16850685055,165982.10330222442,286676.17231568985,447650.2817127188,1777207.2873918412
24208.54973517045,1472053.8687789226,3711326.6014445415,20579271.54897288,8033.956703768084,491306.6749475564,9584606.910521604,18964.37353463661,341362.19723822305,263550.24498295976,82321.48812603217,1676961.7711149878
86479.64470653779,1622851.5523543595,4644342.249045105,18550008.24816559,6474.900513522502,223008.8115451779,1245260.8780328855,8183.938953990058,516742.2911742216,240424.31765022967,190870.0444972812,1632732.4309999563
160347.9574578881,1773649.2359297965,5577357.896645669,52164230.10779575,4915.84432327692,346878.9985337594,3970168.095800675,18272.53419306413,556615.4738914914,217298.3903174996,5064935.437138452,1424755.3136223992
160003.21813915364,1924446.9195052327,6510373.544246232,33196435.37872176,3356.7881330313376,470749.1855223408,6695075.3135684645,18396.86551958612,94440.50112046124,194172.46298476943,189946.9997846705,2041869.922710279
