Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
8951342.690699466,5492182.7572481735,7699778.947939565,9770005.936711326,1538428.2008335905,8737656.303569786,22723240.8056705,7249773.494982657,8035882.605383369,9546145.756261732,14749815.537998736,6010359.8538997695
3731044.16179843,9293844.902893202,3927439.0813153055,6567888.7781628845,74223.92733669397,15163291.05580955,7032296.340560871,6048340.090488499,222295.37471290465,471976.7366630685,9131967.947244449,3931404.543196191
7172360.674940615,1331578.8033598438,155099.21469104526,5324636.071705974,459677.9699327409,24214636.10285241,8310009.98587621,635378.3021706893,221294.7689434396,387245.0447505645,3069375.3183034286,607654.9173746989
8691677.075991798,1238268.1388037368,406899.1235629467,911860.499143944,1432036.826486783,33265981.14989527,26707059.85289354,8377420.997323032,158430.96763491616,302513.35283806047,1859871.471445,4004227.9454972334
8042304.094354295,1144957.4742476298,658699.0324348481,1299809.6875474737,816520.0711892638,18411420.09787444,18165760.326840807,1437757.0180084673,91778.13242512642,217781.6609255564,2330404.96595916,2454849.646251441
6174148.724528959,1051646.8096915227,114882.82910253688,686959.11564278,1592137.4513580902,3556859.045853604,9624460.800788077,82123.29393777787,473344.1621081064,497908.7844090073,4085525.107568302,4176909.7030911
5193470.755478026,958336.145135416,273543.99699616816,1971916.016333418,2367754.8315269165,4749208.428999708,1083161.274735342,133303.33051087428,427845.9836831893,475622.2456009528,5840645.249177445,3600069.602887542
3125234.5433223187,865025.4805793089,432205.1648897994,520773.890606728,3143372.211695743,10540395.147479638,646457.0960647487,2262685.743170398,229096.7689012171,453335.70679289824,1016808.3478147608,2344050.226941619
3377051.870032539,771714.8160232019,590866.3327834307,5601455.515715056,1890475.542621552,5352895.827130504,511988.1417081183,374520.06264065416,30347.55411924488,431049.1679848437,125124.42369305932,2584893.04281146
4667297.866438476,678404.151467095,149646.04860744392,12052367.789414711,637578.8735473616,165396.50678136878,377519.1873514878,41485.79128589828,28492.37415752124,408762.6291767892,100383.17983094312,2586989.835479067
2019344.288884036,585093.486910988,167050.13769346732,19654672.126131915,416378.0766226572,7577759.898788801,243050.23299485736,181818.588953856,13967083.651750142,386476.0903687347,295501.8157385758,2208613.439115586
6780034.812522009,491782.822354881,184454.2267794907,1132560.2252083614,271401.57128843444,39905.893928259095,108581.27863822693,136505.95361066415,1539788.7062452915,364189.5515606801,41252.09881261997,2993769.379984898
