Rise-Time_Central_moment_6th_order,Rise-Time_Central_moment_6th_order.1,Rise-Time_Central_moment_6th_order.2,Rise-Time_Central_moment_6th_order.3,Rise-Time_Central_moment_6th_order.4,Rise-Time_Central_moment_6th_order.5,Rise-Time_Central_moment_6th_order.6,Rise-Time_Central_moment_6th_order.7,Rise-Time_Central_moment_6th_order.8,Rise-Time_Central_moment_6th_order.9,Rise-Time_Central_moment_6th_order.10,Rise-Time_Central_moment_6th_order
8274531669070142.0,5618101215228.759,3962862136906237.0,188350663815147.7,13382557346445.611,511167192167875.6,1.0878419564164013e+17,11413105966166.81,656647486170.7607,447541011775556.5,20591299904.41152,1.736493054127147e+19
1009878202.73009,5868348485.255066,1981431116494226.8,4825083216.214425,6340851.00870334,401662032.8281755,587606679.4775248,15277884496736.96,870608890.4585599,64371.848094643625,1884886519.3294044,316974477542.921
5957776869.566626,21996676.94198377,96082216.45977138,1745127321.0006022,6906110.5618269285,238102997.93215337,47410608.70098037,56762469.12096845,3164373544.401111,31849492.96568499,28705565.51273703,3693427986.838179
440658864355.7392,20879111.602108967,113385700.86487076,98759937.85932404,664046944.5096189,74543963.03613126,2783423.13695649,280909090240.40173,185366976.0981981,63634614.08327534,142586.65468265212,96566159868.95056
135963818235.30733,19761546.26223416,130689185.26997016,1815387122.969595,0.559475782634354,565965880.5358517,2234223.615801072,13999374.536762198,3992621399.4086127,95419735.20086569,1534018326168.9053,42920831591.65689
211045881392.8381,18643980.922359355,310569.679629203,630397.8132501955,18373863067776.195,1057387798.0355722,1685024.0946456543,8224653.633332444,8798696.650152452,351170703981.8842,6926736254687032.0,1244657604996.0093
90139423326.571,17526415.58248455,89603016274.26363,25491252.79522392,36747726135551.84,55196.19644651871,1135824.573490237,19300996.315583527,152652303.82798958,327767917206.7961,1.3851938491047894e+16,461169050608.5016
281688511893.4924,16408850.242609745,179205721978.84763,191573912.07887107,55121589203327.47,341528930.288438,445968.3974100388,18621390.610698946,86646961.3725394,304365130431.70795,407823.8264199103,313426781567.94824
299595549.4652789,15291284.90273494,268808427683.43164,81271623.35145774,27560842736677.133,319950178.6629058,156008122.5552387,4202743.486657705,20641618.91708924,280962343656.6197,49508918252.8985,1995735658289.3308
259070106338.39813,14173719.562860137,6619102.23155515,5817729222.379279,96270026.79425836,298371427.03737354,311570276.7130673,21841873.36971482,123378181.43995604,257559556881.5316,4791530548.359037,942212620437.821
99300326.65566358,13056154.22298533,51511150.46048553,7496793424.07569,450691864.4601381,25673164879.24356,467132430.870896,181295052.26686016,806357547.8235184,234156770106.44348,72936468446.2962,631964193196.8738
994461719.6527412,11938588.883110523,96403198.68941592,14316823.462374656,25264868.6540312,314311773624.96387,622694585.0287247,43446.15631287619,6252631.868384658,210753983331.3553,14728791436.75827,1678006934480.8594
93082143.35802968,10821023.54323572,89911489.58386053,87692430.95904398,1987299.4865640013,87378265416.38492,1398862274164.785,1843780988.6496704,7562488944.770622,187351196556.2672,744987591712.1655,725834242424.6855
188535619.1453989,9703458.203360911,114394075.07995003,805046555003.519,7210901.098188343,2575233377120.536,1120398063446.0894,68431184.34642757,130328204.56586124,163948409781.17905,14645383210.66125,382151040201.411
164825027.676,8585892.86348611,6582760252.122233,233328364702317.5,5074813.960499084,78049483671.9522,841933852727.394,654298098.7456127,24410903405.304874,140545623006.0909,14113461896.598692,1331272273490.828
17006262298.611618,16064039.342988629,5647714233.644172,9010986336680.695,2938726.822809824,1835356.528727837,563469642008.6986,96282698.46817304,2438730.349894127,117142836231.00276,7664602000.211666,3394826604818.3604
923559620665.604,23542185.822491147,4712668215.166111,148090066.90414762,802639.6851205636,3647989487.145254,285005431290.0032,670820517.4538305,170119514.54865894,93740049455.9146,77020547484.613,3362968423103.7603
18167731.92118742,31020332.301993668,3777622196.688049,264830205.9249608,535099.2412900764,1601736434.8037078,6541220571.307843,133723892.925394,337800298.7474237,70337262680.82648,35193455728.30913,9876846863862.969
134095707.1421056,38498478.78149619,2842576178.209988,300185.3099802819,267558.7974595891,872626908.3924612,3620669308.2580137,552051565118.9197,514356772.6068556,46934475905.73834,245370396910.23364,4115401594685.207
