Energy_Variance,Energy_Variance.1,Energy_Variance.2,Energy_Variance.3,Energy_Variance.4,Energy_Variance.5,Energy_Variance.6,Energy_Variance.7,Energy_Variance.8,Energy_Variance.9,Energy_Variance.10,Energy_Variance
7349516826.097063,3418327117.241647,49859111502.34819,18368782653.85013,45426658.210562654,3270847253.202452,164981238008.61493,154078518.9226511,11154109819.885675,1816006431.09378,50673289687.06257,14164410249.207563
4682138330.718078,27036006778.40674,527234.0132549949,363020691.8636763,3809542.668400752,225309248624.4744,228766138.80863583,7376221101.296188,3945248.071991747,72778084.35770282,8573103750.786929,27277950.301734988
1633209937.4948149,20513083.123076748,17893842.538682617,866393454.3434299,51849484.25249419,6775822.828147448,205394800.81676704,140683158.8816526,28712840.710762493,37006893.74231227,3977498087.558268,630480279.255085
9786343965.176851,949.4802011794098,7774076.391142376,337280271.9806704,740642771.9545739,598608462140.1234,156266873616.6639,9919734887.918022,5349725.527151202,7710563.27615172,6607207.463632478,259132794.5412149
29847779300.95852,1146.3071646596302,106132202.74701428,332217900.8492974,82916892.61822318,7613521.739098191,2665970.5465152776,487153.11185333447,7164173.151527382,2379709.565715682,141778719.28322095,2627728285.573755
2297533238.25794,657.2965826414517,794451.1853736383,14750288.468842136,1582866.1331146315,146471094.39700165,329275.70225071616,21350654.668964256,63488994.296603695,35071085.853893995,92725.16260215432,1394170437.5446987
3925714765.470952,657.2965826414517,81291.05505695964,7217609459.778411,229110.45265492995,51818.88100712726,95950356.93349934,226291112.2613638,108093835.82956104,930286.0532853162,2260480537.2652283,1689930949.7224145
1318810113.4861107,392.8677644226679,34879893.99231829,242055541.6029957,3088919786.30422,10966589028.732992,266518.7744859377,8169759085.906824,726088.3734552388,930286.0532853162,31753641.66854421,533163231.2346234
2994256684.272772,392.8680672679018,3073208.56453359,94393410716.96388,673510821.5159894,11127165.592833435,3695323.542751428,3886405.073447195,1305368.6848394033,1821709.4213087829,73166434.45205754,211970022.75185108
5422006023.267999,392.8680672679018,176673.28946966372,3658045824.063008,13459636.033013484,18603013.74201933,3645275.1180869495,133608.81990756595,63654.75620585504,1513579.747676893,2554805.439118286,159534789.6057703
935718202.6399212,524.5552335386651,1990705.304317238,343190136249.8976,415920.6286207813,847137475.220892,7727195.916724017,130001.61935784384,1625293778.5563464,4105135.3725086777,885877.1940549288,125893031.17220384
6697734610.487501,524.5552335386648,29306016.050823025,11018275.08939757,43291045.685469165,126079.60520437705,21984087.76350211,246397.7654789897,5347412.698375378,4952222.303759768,568488.3988861124,100982386.12005542
6447321.665131567,2038.886256266736,91822.75620387604,228104.79287158203,52720.59764560383,64025066.83069147,324073033328.4168,54041.19590041784,1134993861.3959591,1457234.9856825029,1362069.133463587,220030724.37222824
5796734.241628318,643.3403370553021,29640.930839082983,1854840423.508004,143600.67843071514,62180987.4587142,597583.8226302386,966476.05882269,2056911368.2288103,270482.8685158456,1877849.0517503475,262922816.90589735
1056869.2509720589,9306367.69395544,261529.47266876808,90147172.7804861,24183.52812114801,12285678.57688894,12579709.184321852,447444.121434064,550965108.9448806,30847.27238966092,971381.5677330662,98494731.96986233
27075.369697811315,151770.2286022,165.63190197650968,1011136835.4415524,11981.424948170565,10433544.677461004,149055176.29705435,688365.4641129458,9219466.48001662,30847.2723896609,6125160.070076264,210319994.72040597
231298.44108909828,151770.2286022,165.6350995158821,126743037008.59358,2915.4707334509944,117808190.98428492,149055176.29705435,3515790.043915188,706993.0658013595,30847.272389660928,2346679.5620706026,90672266.94654515
8859744.265289508,151770.2286022,165.6350995158821,178562343406.39767,430.37480587687713,2301626.104484907,1524195735.7815022,16354.86572981385,140436599.81879717,30847.272389660902,18911615.95440008,32727811.8976258
466449.16296081454,151770.22860220005,165.63509951588222,744216878543.2268,359.10647210272793,2363.9363329324983,70010.11650369603,128194.23541507496,69601714.77173823,30847.27238966092,33222628249.25099,38506274.33034972
3717298.026324083,151648.9403677552,1936.320625865324,37598065747.77557,4367.801045258826,107255148.27885376,28976807052.22161,207539.9488445425,29284362.46051304,30847.272389660924,4765542.444448352,50191116.1396253
1737652.1006447496,18872.07954319586,118026.6207803731,201322329334.90613,46454.364522909,12259303.202222385,1094929.5833920846,176886.9412794222,10695.978356482705,779150.0998316171,17003.547070935427,70921303.13481554
98986.923127688,18872.07954319586,1070179.801659474,149134927556.37485,7457.169542830005,916999.515858794,4321.469362257246,146361.9970840116,5554907970.830301,5271977.290484762,71710.60414779703,19082758.199417587
1974931.6450797908,18872.07954319585,229.14224927047,255496027072.2912,7445.6294294879635,20719172.40470948,45683165025.07303,452287.96964172873,6809963646.969588,174356400.11704627,19354620.32453115,24354696.60183724
11796935.390343163,18872.07954319585,27964009.945298985,493635.8369648956,7445.6294294879635,176180978.19947043,210112433.81377283,119038.38009927364,27736797.25739278,115300.79722066763,168946552.73263097,42532371.10039518
49894818.14156781,313801.0751862409,675613616.9237206,254634586247.77667,294059.28218794044,7174363.155930399,1446875317.3970706,125482.6927197748,15020140116.299309,115300.79722066772,327580.16366734053,34248298.29350264
13354957.73783482,2097494.6865442023,675613616.9237202,11030658138.684715,43231132.12099201,1690533.5171877882,8047594.761802735,288212.6684839062,559169800.8755186,115300.79722066768,15689.922128064918,47727661.78695138
48528.75110173708,2268972239.841687,675613616.9237206,881824711.8536243,7668300.92975493,153998508.40203357,60172305.36918391,196581803.4771432,207939225.1728992,115300.79722066772,16878934.215839613,33715489.41605171
7247530.321216393,671.0344190289811,675613616.9237206,8735090060.826824,1127803.5003162515,8746893.362799952,68789.65443408935,512350.29948949104,16444659.160050122,115300.79722066772,5534027.473855526,73978460.44753096
3990850.141283353,568.43653856302,675613616.9237206,122453417.52849428,12077767.38936692,15974773.991464302,29818029.35017701,213652.00591957863,163426893.4267237,115300.79722066774,891837082.5040957,60405206.31738997
1352101.5208709566,797.1542718015581,681812091.0489576,722848223.7609489,1215036359.214853,8945211511.399446,3688253.397261232,270649.58994653623,17299130.512412224,115300.79722066772,7206649875.847116,137030212.39290574
7132624.63219373,644.5100399939016,6196342312.769096,272599010.46165043,3169519.948404542,8486873589.55333,1732419.2802615669,271120.0029715709,161768831.42141503,115300.79722066772,19213738.16672527,199055915.79575223
10600013.234562457,644.5100399939016,6199503135.453455,107749059638.74132,4176851.6681101504,1504593.9829204853,1571961.4681791018,451049.5335110909,108732.21251212306,309796.7145007233,3288882.811998012,154262935.83521667
2303026.7476452817,644.5100399939018,50476947.25397163,1713828486406.912,2340.295280301832,8287363.433294154,92619.91589937646,617108.139516952,64136528.94032928,289062.3704561666,4147081217.520993,143287196.91824073
3839197.5639005178,254.8617929340364,56588.005666625206,42348291.613244414,978940301.2720588,14360765.931061456,412177.6184501722,402490.15151532827,14158699.24534776,289062.3704561668,25575112654.50164,125402976.99166326
2185602.365449792,67484385.45473953,2069.2475383067617,1047988210.9116054,675359927.7908481,401230.9420934245,2264.9388047340144,403683.7123308404,230503178.0546001,14309840.490230178,477773614.3049146,141176024.77749622
580469.7677158433,67484453.63700876,3068.223750410596,5472269.711197583,927520.7321682712,179306191153.32422,32611.818629733145,4877563.16194894,1084279859.8732848,1749370.8080731833,653294.0530159025,81702420.28784171
2347982.722056341,67484453.63700876,3068.2237504105933,31520183.243940413,345300771.9509077,76551566477.36874,375889440.8829865,35300524.48894519,32652128.71536115,948060.4184339516,2495468.854536284,125099174.56204475
