Counts_envelope_Central_moment_5th_order,Counts_envelope_Central_moment_5th_order.1,Counts_envelope_Central_moment_5th_order.2,Counts_envelope_Central_moment_5th_order.3,Counts_envelope_Central_moment_5th_order.4,Counts_envelope_Central_moment_5th_order.5,Counts_envelope_Central_moment_5th_order.6,Counts_envelope_Central_moment_5th_order.7,Counts_envelope_Central_moment_5th_order.8,Counts_envelope_Central_moment_5th_order.9,Counts_envelope_Central_moment_5th_order.10,Counts_envelope_Central_moment_5th_order
44163570582.98642,571769959.4683269,88346908082.59538,12208236783.444317,3778139755.202642,10960016103.27634,58697734999819.766,6052806950.646171,177859296.4536187,12827865.329314116,6976834.006564986,8253429469551.735
93524897.44856024,1537570.145826267,44171163248.13663,116571946.62360184,-274185.9623996,-17176458.220371123,101693724.46894382,31758732.7412044,-1058646.095777209,-96423.9621981754,-3940415.233858985,62940415.68053147
37321686.96827681,0.0,-4581586.322121272,2485162026.6022835,0.0,399793479.3932813,2157646.157856868,518407.1704221,-5821428.800893941,-1883401.5350963776,0.0,782425.4264711968
1406699.4382841105,-1.4684549872375405e-13,-2290793.161060636,-2782786.0300065456,53856.05625350808,816763417.0069337,8221563.283259362,822161345.8508749,-5168673.312124701,-3670379.10799458,6.50146603220492e-13,27896344.97312316
-13351538.404106751,-2.936909974475081e-13,0.0,-14757123.891457053,-1.629814505577087e-09,408381708.5034669,5139626.6451091375,322666.8734106208,-14211548.72081186,-5457356.680892782,0.0,-43594927.40270717
-33370256.41230376,-4.405364961712621e-13,0.0,1855297.1016945296,-204380972.68231863,1.979060471057892e-09,2057690.006958912,-497136.88651366986,2.60770320892334e-08,-45715636.21849149,1134698096.9358962,-59948669.14359234
-29996351.64841684,-5.873819948950162e-13,-438585.7442996395,39676908.64890931,-408761945.3646373,-1.3096723705530167e-10,-1024246.6311913125,461139.039898006,-11027313.729249395,-42662041.93629415,2269396193.8717923,-22170297.088807363
-15393567.64196566,-7.34227493618771e-13,-877171.488599279,2372911.218285029,-613142918.046956,83586111.73701783,0.0,50828789.38131473,-5513656.864624698,-39608447.6540968,9.194034422677078e-16,-13893304.86695506
-28343327.041458342,-8.810729923425242e-13,-1315757.2328989184,56777440.18692589,-306571459.023478,39568090.85648311,3.259629011154175e-09,16855.319990514545,-1.0550138540565968e-10,-36554853.371899456,2724331.837923944,-3091281.700612403
-24417562.628679875,-1.0279184910662784e-12,2.3283064365386963e-09,79757550.02484958,7.617018127348274e-12,-4449930.024051605,6.51925802230835e-09,226868.4719491036,0.0,-33501259.08970211,-2546031.0766576,-1800220.841962834
-14515441.8912429,-1.1747639897900324e-12,34673.81482577472,2102133483.716129,118801.76763102792,65973279.88060973,9.778887033462524e-09,894415.7163236294,9418519524.609852,-30447664.80750477,580746.0980702889,-14043526.678968595
-79948618.44391482,-1.3216094885137865e-12,69347.6296515471,7323575.82074415,23296933.846052296,248746.52504745868,1.30385160446167e-08,1848834.7220401936,40053.12588385087,-27394070.525307424,-787239.8204582618,-8043342.669982374
