Duration_envelope_Central_moment_6th_order,Duration_envelope_Central_moment_6th_order.1,Duration_envelope_Central_moment_6th_order.2,Duration_envelope_Central_moment_6th_order.3,Duration_envelope_Central_moment_6th_order.4,Duration_envelope_Central_moment_6th_order.5,Duration_envelope_Central_moment_6th_order.6,Duration_envelope_Central_moment_6th_order.7,Duration_envelope_Central_moment_6th_order.8,Duration_envelope_Central_moment_6th_order.9,Duration_envelope_Central_moment_6th_order.10,Duration_envelope_Central_moment_6th_order
5.272023063500141e+18,3.7130803687795496e+16,4.948780039903133e+18,1.514925255985027e+18,1.3721529297608077e+18,2.9237835146974074e+17,2.5699642437090484e+22,1.82068133331275e+18,2711860830453554.0,1500976386399542.5,1752057082426158.2,2.7309713028104286e+21
1273698539326044.8,214920997964607.9,2.4744201808425405e+18,1871360641643070.5,78868227551.26605,598745454672813.6,971351146332607.6,982280460997520.6,1828773338970.8784,73316387331.49641,1889208603762480.5,830871339461737.0
581471770815571.2,67645316504727.29,60321781948026.33,1.7660747580850013e+17,167152528954.54718,6444589397585039.0,36692919364214.28,79939088046775.6,19249473486777.938,11494563056864.96,123188522695.28197,54471432625931.7
3906752822217373.0,62026810966741.88,30165164670284.688,10740319693620.576,14138748534856.203,1.2290433340497264e+16,262337728946455.25,2.077880953077489e+17,3207238446559.3125,22915809726398.426,12264.802350940165,1.159753432099748e+16
264631955725131.0,56408305428756.47,8547392543.046295,364306487157045.3,59651059911039.91,6145471833088025.0,176243234721552.06,9351562220073.824,328465441581.2728,34337056395931.89,2194252003236.8704,714199170736940.8
209144417135758.9,50789799890771.055,1091169686231.5854,44344536615.03369,781938114964904.1,510325678786.31067,90148740496648.9,2842522771860.815,153194977411861.56,54451717519540.34,1.0142283492611187e+17,700406386269879.2
180826014034245.3,45171294352785.64,2453470210089.124,1363606246452567.2,1504225170018768.5,2394535263887.8057,4054246271745.7134,10776043552.28622,61261135880931.945,50874013812907.62,2.028434756002205e+17,241980480363478.44
425755204795540.7,39552788814800.24,3815770733946.663,142036376687902.84,2226512225072632.8,1734223003652436.2,8634936522.772884,731834960839101.4,30673783067311.64,47296310106274.88,87414637.65092137,137618768258132.52
159406349730646.2,33934283276814.82,5178071257804.202,2390255032286314.0,1113258096737980.2,880221268171692.4,52063791131930.67,2362189361716.072,86430253691.33095,43718606399642.16,34463366468821.49,107130803365754.28
173233774758288.44,28315777738829.41,10752297954027.545,1162945189357111.8,3968403327.839072,26219532690948.6,104118947327338.56,6900471064480.316,2726059960.863893,40140902693009.42,13440784927937.889,184528490659927.6
129433668123834.98,22697272200844.0,5594831102420.553,1.966578194205064e+16,3637357066.451804,2635663691549037.0,156174103522746.47,2486795178141.802,1.821022689921117e+17,36563198986376.695,26037286390167.07,159289731387241.4
