Energy_envelope_Central_moment_3rd_order,Energy_envelope_Central_moment_3rd_order.1,Energy_envelope_Central_moment_3rd_order.2,Energy_envelope_Central_moment_3rd_order.3,Energy_envelope_Central_moment_3rd_order.4,Energy_envelope_Central_moment_3rd_order.5,Energy_envelope_Central_moment_3rd_order.6,Energy_envelope_Central_moment_3rd_order.7,Energy_envelope_Central_moment_3rd_order.8,Energy_envelope_Central_moment_3rd_order.9,Energy_envelope_Central_moment_3rd_order.10,Energy_envelope_Central_moment_3rd_order
1.8934719900041488e+22,1.887579618459071e+21,1.6351987339075957e+22,1.1163404656943265e+22,6.97797382570981e+18,2.532094813163024e+21,2.3458404273830584e+23,2.5325819207277347e+21,6.81972544207625e+21,3.656719340926825e+21,8.845177344121351e+21,6.275299499681444e+21
5.8887893394603016e+20,1.996042348601368e+20,8.175663153607634e+21,2.209873544817392e+21,4.037756686264582e+16,2.579220432055807e+21,1.871462738894369e+21,7.397567712978761e+20,1.4901248565653578e+18,4646390224555497.0,7.588891471721795e+20,3.094776874646161e+20
6.305775053796867e+20,0.0,-6.610318606902423e+17,6.63365940221999e+20,0.0,2.347793474350439e+21,8.302559216753998e+19,-1.7164186910778632e+19,-2.923923148699494e+17,8.027080861083549e+16,0.0,7.859204948160454e+17
7.778419538912919e+20,0.0,-3.3051593034512115e+17,-7.1485214993286056e+16,1.254462858581273e+18,2.1163665166450712e+21,8.552131608398435e+20,2.122356554442402e+22,8.777163878677522e+16,1.5589522699711546e+17,212.0,1.136760628577392e+21
8.636405086337742e+20,0.0,0.0,4.2048772040357816e+16,0.0,1.0581832583225356e+21,5.698842841468742e+20,2.829056229058306e+19,-7365865892698261.0,2.3151964538339546e+17,0.0,7.114814104974983e+18
6.303405217655563e+19,0.0,-56.0,-4.9547530427481216e+17,-3.89169173122916e+18,40960.0,2.845554074539049e+20,-6353289128892708.0,24.0,-6455636074922093.0,7.094551127947247e+19,-1.109036391896322e+19
1.1064266129997069e+20,0.0,1.046292382403058e+17,-2.8981289393381755e+18,-7.78338346245832e+18,0.0,-7.734692390643357e+17,1.2461812413103502e+16,-4.012518057197679e+17,-4584930376533246.0,1.4189102255894494e+20,2.9612734779093533e+19
1.7784173097930387e+19,0.0,2.0925847648061165e+17,-6.7949844480515656e+16,-1.167507519368748e+19,2.876082167898129e+21,10240.0,6.898980216375214e+18,-2.00625902859884e+17,-2714224678144398.5,-4608.0,1.4987530982561162e+18
3.460697820371213e+19,0.0,3.138877147209175e+17,4.928068760739223e+20,-5.83753759684374e+18,1.4414176655973566e+21,-90624.0,3.660358653074384e+16,0.0,-843518979755551.0,1.887117952505544e+18,7.30110108901304e+18
3.4164475828447453e+19,0.0,0.0,5.3173511922803737e+20,-184.0,6.75316329658462e+18,-191488.0,5931591510023113.0,0.0,1027186718633296.0,-916164244738701.2,7.60029094289595e+18
