Energy_envelope_Peak,Energy_envelope_Peak.1,Energy_envelope_Peak.2,Energy_envelope_Peak.3,Energy_envelope_Peak.4,Energy_envelope_Peak.5,Energy_envelope_Peak.6,Energy_envelope_Peak.7,Energy_envelope_Peak.8,Energy_envelope_Peak.9,Energy_envelope_Peak.10,Energy_envelope_Peak
158108747.2738312,45837431.48616962,124691446.37352934,106119757.1007462,14510823.01056843,56875397.31375585,268118872.53478867,78808059.80096461,75013944.04682764,53572196.772004336,72896923.49282585,104069172.29662488
44546600.24676057,25611795.356766425,64262860.252144985,43125962.54430501,8487211.49079205,50205455.34342428,42893109.23486119,38945219.81004746,5312899.090840286,4937338.569404197,31934168.693041623,27941463.708819263
37037321.81579101,19644981.17197288,3834274.13076062,34886116.29549571,9484571.204743104,65653732.099926114,16672560.431963312,10828034.036962727,2442695.504277432,5020296.12336267,11129912.032469196,8588118.122219682
52869328.06851665,18328377.64921324,3762737.90969146,5146100.890765902,9855734.5145251,81102008.85642794,66128861.412622616,190300863.87118515,1672161.444192862,5103253.677321143,5456868.558050543,61071094.78946853
53243523.392296165,17011774.126453605,3691201.6886223,5828604.588107055,6376207.79001995,47655298.48890315,45678258.83695738,30097545.538849816,1523367.4731022066,5186211.231279616,4746490.901097159,23092880.011484403
30303331.08180557,15695170.603693966,2692960.9173094067,4995229.058270062,8322382.157230317,14208588.121378364,25227656.261292152,8607394.819727585,1454133.1350975707,3324292.086163161,12225115.948424092,27937955.997137666
29109419.11934178,14378567.080934327,3170514.6814454948,9090446.994970318,10268556.524440683,8540445.474294692,4777053.685626925,9282631.286755783,2217975.3735731454,3295498.922921741,19703740.99575103,24545960.77530956
16065135.151433945,13061963.55817469,3648068.445581583,8866557.992725331,12214730.891651051,41302773.12154451,9258528.470219674,15171599.202328868,2625257.8921038043,3266705.7596803205,6708341.833073048,15088519.705801016
20702967.00213041,11745360.035415052,4125622.209717671,27993631.036827125,8946290.65582609,24312590.720563687,14257454.635124205,9686140.850501366,3032540.410634463,3237912.5964389006,8446421.415170273,16897330.152818024
24805576.133084524,10428756.512655417,3175989.874231833,37861107.06876908,5677850.42000113,7322408.319582868,19256380.80002873,9054825.295546884,3988015.120295394,3209119.43319748,1643738.2929916612,16868022.22080021
15635975.868429216,9112152.989895778,3057783.156646996,88212982.18260494,6985680.630392225,118002268.2428388,24255306.96493326,9587136.037228012,91829424.482776,3180326.26995606,7070673.418083091,17204833.11238356
28188627.64196662,7795549.467136141,2939576.439062159,5493709.028185722,6790436.512751114,3692694.141836474,29254233.12983779,10826377.011442045,9741998.100391744,3151533.1067146403,954354.6138589428,18601412.73427052
22193980.544666234,6478945.944376502,2533699.843796154,5556202.847803673,7211916.171308254,6613523.567928218,155030394.63718542,9142409.20849618,15107731.059747966,3122739.94347322,952595.5636135044,23809379.98907956
8485886.23041248,5162342.421616865,2406052.404719968,99577523.79756483,7606046.596412143,4294305.912965909,127290915.51929228,8524869.711616911,13368050.661947887,3093946.7802318,1123084.8341789783,38231889.73910449
8535949.64725251,3845738.898857227,2145527.604582895,15214902.95953072,7640047.913200965,5521938.09162018,99551436.40139914,7524606.756825988,4938050.765205137,3065153.6169903795,2076378.927502361,20048557.65570406
8597588.71908118,3707053.762987869,2834716.77485805,27500307.613197133,7674049.229989787,6076961.996985106,71811957.28350598,10929805.885954428,4384117.214002078,3036360.45374896,6768919.119623796,16264099.76286449
5025163.239731214,3568368.6271185097,3523905.945133205,67679496.8070951,7708050.546778609,5157509.902331533,44072478.16561283,7261000.989501269,4024805.797990224,3007567.29050754,700335.7179502244,15290699.324768482
4803360.536262944,3429683.491249151,4213095.115408361,91026045.98496948,7792151.095418089,5686771.038762057,16332999.047719693,7082638.280466276,3665494.381978367,2978774.1272661192,2500431.585725052,10803728.566976257
6094133.522991163,3290998.3553797924,4902284.285683516,150997263.548021,7876251.644057569,6002300.197107063,17503443.962731555,7021277.076450103,4831273.185472034,2949980.9640247,77502062.14069688,10625813.281823134
5307089.246239412,3152313.2195104337,5591473.455958672,68611322.2121098,7960352.192697049,6317829.355452068,18673888.877743416,6869426.060600778,3746550.945511053,2921187.800783279,1354525.546752347,54817458.30351937
3894071.017114167,3013628.0836410746,6280662.626233826,75221663.37476693,8767330.620783504,5170087.460797068,11495213.046843097,6794543.002527937,3231492.0214639567,2892394.637541859,962621.7099409108,31844810.114377413
3596770.46574243,2874942.947771716,6969851.796508982,99097242.17767724,8881496.600175219,5345445.661084319,15450516.59088529,7272134.446834935,9073821.311047915,2673796.489386243,465355.6772833653,8889679.660799295
3444730.253027386,2736257.8119023573,9022886.69650652,174174907.8583296,9637540.40948042,6239820.580669293,19405820.134927485,6705440.716650345,8546736.001761416,2455198.341230627,4368759.231320675,8175678.798420808
3020569.0204071403,2597572.6760329986,11075921.59650406,9321940.87984671,10393584.21878562,7943267.650635364,19287546.76356621,6632766.506953049,4266565.197603241,2337238.099067536,1270063.1602894678,11589582.84055352
7247691.808992567,2458887.54016364,13128956.4965016,124000223.94229728,11149628.02809082,6643147.834557883,19169273.392204937,6266801.753887317,17606099.63719616,2219277.856904444,1277470.8799278787,8729176.925374731
7224707.394189836,2320202.4042942813,15181991.396499138,41111324.86507146,12100195.129906436,8145582.291910583,3105566.9060521964,6889097.607532591,6304255.889397334,2101317.6147413524,663267.069764963,11506877.938340034
3240126.023857579,6169213.925257715,17235026.29649668,18543546.73602677,11671366.074897932,9278577.61828167,2142857.8073395304,76636051.90740502,5022831.802153562,1983357.3725782607,566020.5070536414,15491790.23587676
4796751.91708004,6368361.927307394,19288061.19649421,28325523.45880864,12954894.88614487,10411572.944652757,1710615.069064278,6481276.306422051,4103230.303859327,1865397.130415169,681199.500820686,14925867.359070538
3678099.571772992,6567509.929357073,21341096.09649176,27980087.202519376,26737938.30456626,11544568.271023843,1803460.504750723,6303624.540627209,4694048.892057718,1747436.8882520776,6770214.789001149,103027715.3401454
5483068.077903072,6766657.931406752,23394130.996489298,160100620.50786456,89694396.59278162,18794126.92162756,1501267.7046233255,6037864.349858332,3329562.2844487834,1629476.646088986,8846321.231169816,12980763.475878224
4862548.959778226,6965805.933456431,25447165.89648684,14321869.14565604,9303086.917855913,48887623.565328464,1632469.0134700306,6081036.8674318455,3924159.805455271,1511516.4039258943,14429702.82040744,15505580.382754436
4456438.327162664,7164953.93550611,27500200.796484377,103027947.53607988,9577509.872661129,6175558.416794091,1445474.540224279,9316694.004790507,5244521.40807154,1393556.1617628029,807932.6704971705,21408929.77015788
5281420.08804876,7364101.93755579,10335280.141693808,244106613.50671744,9961457.37264402,6976342.856443796,1408314.9862949797,5794756.892082298,3808849.269828864,1275595.9195997112,8964566.098481413,14707199.936703274
4295722.25693862,7563249.939605469,9612316.580024663,4876455.566403412,12317690.49763155,8744155.264300132,1371155.4323656796,27230376.320390545,3252815.5829215376,1157635.6774366195,22046228.039907247,12155864.93356426
9400201.09504187,7762397.941655148,8889353.018355519,39307162.95691124,12580909.450540837,22440104.670124702,1333995.87843638,6962947.36746342,3859072.9716951824,1039675.4352735282,2179020.4475309327,11911387.348882588
4953180.37063962,7961545.943704827,8166389.456686376,2752328.157376658,9624718.1237816,162154849.68884015,1864195.478309197,5703469.740612347,5488984.845873868,1682261.9193273275,1023986.4908328416,9666120.693274364
4438375.527055217,8160693.945754506,7443425.895017231,3222733.065514363,12396188.222854257,68124117.09459913,2394395.078182014,5949767.643899771,3202517.973997091,2324848.403381127,1175039.1972667836,10868432.684715074
9952786.27846842,8359841.947804185,6720462.333348086,70320669.55266818,12225526.755993385,64601763.030520745,2437814.0135705746,9614246.550884431,2272809.449067738,3323271.2977150995,764000.6442350311,10472048.357514078
5120483.376933491,8558989.949853864,5997498.771678942,110164411.87035036,11821889.833335469,70841412.09773095,2481232.948959135,6137680.537197889,42999535.83543276,4321694.192049071,829441.14807419,43789052.99086395
1864058.8846463128,8758137.951903543,5274535.210009798,147004383.64265245,13447679.139974607,17645937.4765794,2524651.884347696,6026382.479707846,18555711.62701654,5320117.086383044,320765.27648107865,7599830.825763435
2327111.7133535906,8957285.953953221,4551571.648340654,8353773.699255474,12815172.253940074,147096937.37560353,2568070.8197362563,75479537.73738515,38279414.85715058,6318539.980717016,481249.96769200335,9662593.58126956
2141715.3510362487,9156433.9560029,3828608.086671509,33091601.78786284,11910159.256075775,33485907.74867401,2611489.7551248167,6396864.639799283,5564922.602371394,7316962.875050989,814225.7019161724,10748133.452055972
4855413.680422125,9355581.95805258,3766754.522727837,62500393.55403945,15739940.50861439,48814745.70599309,2654908.690513377,28715673.98975847,4122576.40576627,8315385.769384961,590089.0377216963,8891062.474151323
1410962.2245504735,9554729.960102258,3704900.958784165,3351657.565604357,16414745.373284684,21434852.71373937,2257338.43538389,6547278.007861104,2696469.42729886,9313808.663718931,829971.8663550633,9870964.468076132
1614508.3404177632,9753877.962151935,3643047.394840493,8841670.90646032,13031454.291145189,14033178.06068346,1859768.180254403,73895353.50501283,2046205.8660901936,10312231.558052905,1508457.863759942,9649460.27194412
1668883.3741155064,9953025.964201616,3581193.8308968204,2683221.3089185376,13923862.067892471,9678435.793782828,1462197.925124916,5766323.980472592,2059607.4453274773,11310654.452386878,3948032.955110929,7785070.716616878
1950833.834132477,9389713.29855905,3519340.2669531484,5224200.596010672,45651801.786213264,5740199.723544292,1064627.669995429,38403649.22383129,1906952.8623365648,12309077.34672085,55100017.88183753,7284232.218148936
7531059.413980629,8826400.632916484,3457486.703009476,12068209.92428281,12877907.681338595,5123847.417525451,2077711.235561157,15714522.675858248,2476003.5592169217,5121777.676322004,38400559.41682688,6942504.688561772
5682865.852754402,8263087.967273917,3395633.139065804,54568630.04098044,12829740.990504673,3394671.6205971874,3090794.801126885,68329449.63463315,2190106.1000604443,8277750.347737172,3372657.7043725606,8945544.424454302
7323367.22980602,7699775.30163135,3333779.575122132,15394333.693857793,13981804.482455518,2014159.1175961609,4103878.366692613,54038726.48898787,1939853.781852224,66425200.592482924,731225.9591834538,7378624.894823668
