Energy_envelope_Root_amplitude,Energy_envelope_Root_amplitude.1,Energy_envelope_Root_amplitude.2,Energy_envelope_Root_amplitude.3,Energy_envelope_Root_amplitude.4,Energy_envelope_Root_amplitude.5,Energy_envelope_Root_amplitude.6,Energy_envelope_Root_amplitude.7,Energy_envelope_Root_amplitude.8,Energy_envelope_Root_amplitude.9,Energy_envelope_Root_amplitude.10,Energy_envelope_Root_amplitude
8832941.771642778,3463867.2574682515,6271067.780528536,6038934.700016445,6728680.643774051,7937805.256278226,7893787.201516163,11280146.610651731,4002691.3534435336,11145586.286340795,14458007.148690753,4594734.487305165
10276847.53788196,12539371.65800272,4378478.166025506,4636196.089705157,7044932.743784646,22174991.62073224,8940792.555575324,11044348.560594702,1977427.766950011,4627229.328806845,9258157.24027624,5369674.749691923
11002093.193474092,7170871.561773298,2485888.551522477,4241124.856758102,7827717.319623136,41029878.36270623,7858121.638588018,8261125.927834185,1593222.3331601017,4352452.959370167,10858681.86625734,5273305.35998505
12637343.45273535,6732032.425092567,2838398.830587089,3712851.331585704,7995035.597701329,59884765.10468023,48943518.32919963,10381426.65839685,753492.5854262804,4077676.58993349,5062056.812085754,7381173.363667851
10762819.312330997,6293193.288411835,3190909.1096517006,4842951.351708626,5565143.047944881,34094583.30738288,33785857.42717835,8923018.484963683,1065027.1881754634,3802900.220496813,4562348.738059708,10897063.786060464
9468331.434080536,5854354.151731104,2275940.0482895947,4449879.444469772,6791214.865407928,8304401.510085532,18628196.52515708,8483296.419812923,1041371.1936144432,2956976.6054277285,6768877.063260965,11095583.22481959
7609310.236497785,5415515.015050372,2343430.7310418324,4778242.695900592,8017286.682870975,7117004.234094451,3470535.623135804,8423976.99260149,1271032.1215369506,2890057.7615716425,8975405.388462223,9399337.248131985
4611451.99506413,4976675.878369641,2410921.4137940705,6781887.682147549,9243358.50033402,7015107.915923522,6235810.520547918,8183562.813440788,1294714.791982614,2823138.9177155565,4746118.728619625,6842688.393299845
4600676.167802299,4537836.741688909,2478412.096546308,9975412.450049922,7276111.1296805935,4715550.527672319,8151659.7516014045,8904194.056814646,1318397.4624282776,2756220.07385947,1794684.8790626903,6185263.698342449
7577805.170660603,4098997.6050081775,1786332.961748927,18748846.8503111,5308863.759027166,2415993.139421116,10067508.982654892,8592304.55454332,2432845.754393343,2689301.230003384,1017539.9821085032,6071484.054895293
4956891.989154893,3660158.468327446,2008598.119551744,18862778.34183089,6270420.8789372025,2689846.3904549903,11983358.213708378,8260439.391306309,19233578.74467108,2622382.386147298,909859.3534023394,4449812.436617984
10612666.467302678,3221319.3316467144,2230863.277354561,3260648.975863843,6435032.275716911,2959678.1018577777,13899207.444761865,8033153.606503312,7271642.380558654,2555463.542291212,726441.4706536308,5045493.233665062
10590155.33983772,2782480.194965983,1165798.062665047,3575423.475679696,6775363.990564917,3742064.5332391113,38261778.61957662,7766692.103984642,8286957.967740496,2488544.698435126,651568.4199295763,5525123.935800881
7482199.849171794,2343641.058285252,1324887.1948509198,7472398.221041986,7060985.931404527,3830604.1908406937,32100891.336097263,7538743.962847098,5046809.760362108,2421625.85457904,585217.525588983,5298547.719550636
6583854.277449353,1904801.92160452,1235064.5633558163,8462010.377147704,7127448.5089304,4380724.036476641,25940004.05261791,7347868.543848058,3704515.395961684,2354707.0107229534,572774.6806599812,3169781.5174725777
5604710.516564206,1895959.8113380184,1510349.9842112642,14658283.7073868,7193911.086456274,5358072.588161356,19779116.76913856,7194273.41303099,3717517.908248723,2287788.166866868,453565.8008342435,3189322.7520692446
4611940.775642177,1887117.7010715168,1785635.4050667118,31661574.3876267,7260373.663982146,4776394.660029953,13618229.485659204,7077572.770783489,3402735.375085633,2220869.3230107813,364301.3991863606,3232311.797388708
4131457.233109399,1878275.5908050155,2060920.82592216,24082198.92562005,7302731.278296127,4962130.188019532,7457342.202179851,6931483.858052207,3087952.8419225425,2153950.479154696,368285.24043625046,2858637.0834366386
