Energy_envelope_Root_mean_squared,Energy_envelope_Root_mean_squared.1,Energy_envelope_Root_mean_squared.2,Energy_envelope_Root_mean_squared.3,Energy_envelope_Root_mean_squared.4,Energy_envelope_Root_mean_squared.5,Energy_envelope_Root_mean_squared.6,Energy_envelope_Root_mean_squared.7,Energy_envelope_Root_mean_squared.8,Energy_envelope_Root_mean_squared.9,Energy_envelope_Root_mean_squared.10,Energy_envelope_Root_mean_squared
17966956.501725335,9901328.343865853,18529562.781533085,15857520.405902231,7136108.025269007,13353916.73665037,40455440.8326342,14364990.819541091,13541601.262754746,18545559.701905742,26794511.412234705,11439237.132556863
12199104.648187906,15044939.563929727,10705477.837578136,12625668.592224687,7208032.5654430175,30117724.803902965,14469114.82217151,13095212.90350847,2882765.419579448,4635765.05256991,13225398.241247728,7677359.317951356
14887679.940043896,13904179.6575777,2881392.893623188,7541723.288814584,8062983.423828284,46251208.21839111,9246224.909932047,8684233.626049709,1883867.211027875,4411366.2775682565,10863699.478821134,5419756.688711794
17317988.586007085,12975215.120389745,3063259.2537758145,3973358.7188898255,8101320.404534366,62384691.63287925,51105718.505259015,16561675.230923092,1053563.1347625554,4186967.502566603,5084249.405967913,9655996.96184857
15512804.419606822,12046250.583201785,3245125.6139284405,4910706.488049535,5647332.093611236,36408836.755611785,35313189.6109099,9050624.637521932,1156281.9446986867,3962568.7275649495,4567810.260386356,11574403.56765764
12037986.025979258,11117286.046013828,2328003.299294383,4549098.563398385,7058604.474824717,10432981.878344323,19520660.716560792,8484615.172828596,1140352.2217226252,2981816.9775377098,8318733.831173927,12566349.756669637
10269478.108147835,10188321.508825868,2507939.090754252,5764266.102416975,8469876.856038198,7309217.345622192,3728131.822211684,8426241.008129392,1703514.1444688204,2925434.9741411507,12069657.401961496,10805987.364915626
6147300.134950882,9259356.97163791,2687874.882214121,7036672.77065583,9881149.23725168,17827928.23422684,7079019.178968667,8756429.764658364,1929439.079905131,2869052.970744592,5232213.044259959,7607504.715966214
6466117.342200218,8330392.434449952,2867810.67367399,13494498.46449657,7604288.958183236,11007500.337168772,10533573.377924856,8931225.341613468,2155364.015341441,2812670.9673480326,2042450.9350700213,7211237.752630475
9861744.306890786,7401427.897261994,2314843.6349160024,22995231.46088504,5327428.679114793,4187072.4401107,13988127.576881044,8599075.146690516,2957360.721144548,2756288.963951473,1053368.4133259149,7182874.7225209465
6018334.176104212,6472463.360074036,2364022.797287369,37122516.120926976,6285966.177203239,11923795.790789368,17442681.775837235,8266154.782846282,32410473.585379265,2699906.960554914,1089258.534287299,5478447.442541685
14151345.643504744,5543498.822886078,2413201.959658736,3718896.371999488,6440314.547299569,3007251.773850064,20897235.974793423,8036663.441925948,7544510.340424682,2643524.957158355,737771.6970971436,6755356.575494265
11084465.841010028,4614534.28569812,1575090.981583397,4038828.398557548,6785315.271432028,3774803.465965545,79798028.38726889,7768306.316495842,10656525.4707495,2587142.953761796,668290.7137573045,7494892.724441492
7495516.939763945,3685569.7485101614,1916495.0621806,16566397.980385125,7077353.544273119,3839860.473750088,65709427.55592683,7539996.092831002,5653547.285729625,2530760.950365237,605390.1132410542,6660421.232770956
6602767.27804072,2756605.211322204,1590415.2596999744,11068105.732167264,7145048.115918843,4399613.142133478,51620826.724584766,7348390.633622196,4023249.901266129,2474378.946968678,599133.697658414,3783019.123956096
