Energy_envelope_Root_standard_squared,Energy_envelope_Root_standard_squared.1,Energy_envelope_Root_standard_squared.2,Energy_envelope_Root_standard_squared.3,Energy_envelope_Root_standard_squared.4,Energy_envelope_Root_standard_squared.5,Energy_envelope_Root_standard_squared.6,Energy_envelope_Root_standard_squared.7,Energy_envelope_Root_standard_squared.8,Energy_envelope_Root_standard_squared.9,Energy_envelope_Root_standard_squared.10,Energy_envelope_Root_standard_squared
316850729.1545198,84015556.97642533,243718346.7844312,187628711.7668956,60970933.69488889,104297423.864508,482082215.39558256,229839853.11265743,139419318.1180454,82938264.34848395,144292859.88153017,203669826.77223715
192884780.51510423,36852425.14263869,125080668.58222874,64378530.523909226,14416065.130886037,73773057.98312682,63069409.31233209,83850275.13679847,9986192.346028432,8029380.603003291,54529713.88952242,56416838.70294811
303650282.1056307,19663479.44541848,6442990.380026269,56938762.18717571,11402780.511167413,90913256.75289536,22648533.076344863,83296242.75924304,3262953.72421336,7994632.887045494,15363591.140494373,34277551.00052291
572542236.3729364,18349725.197963625,5516145.517424093,9732701.426318737,16202640.809068732,108053455.52266388,88517701.0084216,332473309.9681722,1824824.878390282,7959885.171087696,7190214.464407174,195757329.31742567
666870184.2007018,17035970.95050877,4589300.6548219165,9821412.97609907,7986533.638009855,61403959.99550557,62055807.55836477,210706627.8750882,2002739.0760926723,7925137.455129899,6459859.220585363,243613013.5081532
724782736.3500462,15722216.703053914,3292293.839111428,9098197.12679677,11029239.93070336,14754464.46834727,35593914.10830792,76831458.13884729,1612701.5778424272,5164658.503966779,18012180.612798557,520252950.59106976
518176332.7695993,14408462.455599058,3850593.823838179,17292798.307250924,14071946.223396864,10336794.300511578,9132020.65825108,58983687.05690574,3407028.288937641,5067002.009451418,29564502.00501175,544926132.5471656
300841105.8736077,13094708.208144205,4408893.80856493,18617286.208495166,17114652.516090367,56376859.18218064,10011244.931196742,41071296.16794056,3227586.65564222,4969345.514936057,7399466.648417852,406129615.7753425
278718910.9687469,11780953.960689347,4967193.793291681,44756188.1407622,12324387.203334946,33727405.79006297,14896722.331313508,25261320.013440087,3048145.022346798,4871689.020420696,41255486.61020386,403184939.5320148
484531895.6164039,10467199.713234492,3273683.263271244,51418900.70488074,7534121.890579524,11077952.3979453,19782199.73143028,31004406.362960685,4182339.640672096,4774032.525905334,25845119.046814986,441206289.2245426
89063212.55098993,9153445.465779636,3726735.833162477,123121457.2470344,15397409.67454132,216278066.6038209,24667677.13154704,134054503.15865842,155435170.9062561,4676376.031389972,18128875.0561475,315665080.0831411
489194641.5372097,7839691.21832478,4179788.403053711,9839274.951930996,17039470.657186188,59235990.18969675,29553154.531663805,173859612.74106547,19960898.124518964,4578719.536874611,9731877.075083837,429058218.06837
197664341.21460748,6525936.970869925,2728137.6066459776,6995455.989353716,19191769.763672907,45611123.820545815,211125738.2259861,155754057.33661482,23828715.35655383,4481063.04235925,8047285.835837191,485551059.04824114
103046321.24787608,5212182.723415069,3319466.820151673,148174368.10582548,24516671.843617424,29494527.95035424,173084284.6029262,169272492.46192664,37501390.16259472,4383406.547843888,12421566.59433169,431798760.7953129
84556678.38430211,3898428.4759602128,3180830.519399949,15652665.236210337,19776478.93307215,60644482.04150471,135042830.97986633,146967812.67244393,8046499.802532258,4285750.053328527,13583300.425975263,239975841.2371616
130685051.37324847,3788462.552456561,3787669.457594975,51158578.96991481,15036286.022526875,7672892.650638653,97001377.35680644,167695365.46553814,7510569.332144408,4188093.558813166,12771138.495368958,264262293.72338933
110103356.3478085,3678496.628952909,4394508.395790001,117105833.81001064,10296093.1119816,11743286.539613178,58959923.73374656,125018377.4695967,8492665.16262341,4090437.0642978046,7884245.837572523,268804008.0744285
56524722.07948136,3568530.705449257,5001347.333985027,135411310.80292517,12916916.779992197,16526152.60823514,20918470.110686664,152498809.71025118,9474760.99310241,3992780.5697824433,8328368.399072678,227909047.54060164
83811981.25679646,3458564.781945605,5608186.272180053,212092588.79630512,15537740.448002793,14247873.653434332,22395814.600038067,148525873.7879376,8758723.348566657,3895124.075267082,109541191.90846184,201224255.83362472
55473502.171090215,3348598.858441953,6215025.21037508,71029293.82494357,18158564.11601339,11969594.698633526,23873159.08938947,149796491.6620596,8000845.927014523,3797467.580751721,3774126.551744488,250450439.7553076
33375148.71798604,3238632.9349383013,6821864.148570105,117183748.38497566,37091807.850479685,7043222.179473424,27683885.16800929,148421903.28267732,4751026.124029627,3699811.086236359,3176276.753049674,237011429.23992792
62877937.58528106,3128667.011434649,7428703.086765132,143152490.61355072,11536194.547394209,8885089.54682529,26014973.204085425,139939697.6431826,13940311.191492872,3385200.0882087443,888032.406150957,194519407.4521165
12537468.710641108,3018701.0879309974,9440689.046176124,226795126.4690525,21180906.646018192,26138544.20817856,24346061.24016156,133030157.17782028,14653834.41903586,3070589.090181129,6437388.8458362445,179295163.70002165
10473367.564093828,2908735.1644273456,11452675.005587118,9737958.831321694,30825618.744642176,15766580.492892196,29677734.134680346,117396368.6959994,7967499.924337762,2930626.520273209,4830034.912511528,173683977.92055982
13413889.146685189,2798769.2409236934,13464660.964998111,167632285.05833924,40470330.84326616,8034135.893811659,35009407.02919914,110552941.47868855,25380395.4531892,2790663.9503652905,6058104.506126244,161863346.98717636
40827648.45814985,2688803.3174200417,15476646.924409105,61807940.06567308,16367810.98351551,9923482.92510953,8502573.561329745,116172536.65001725,10115928.920842754,2650701.380457371,4884129.4484240655,184907133.89859965
37359187.42367172,7276497.09287654,17488632.883820094,34283037.46934874,14107116.609726064,10570917.698101643,4336065.773866287,171208857.70509765,12351058.073708044,2510738.810549452,1348815.1636386595,183380712.8239009
57126307.37628025,7426630.171825246,19500618.84323109,40724712.90006071,15298883.361422278,11218352.471093755,1778286.252870215,129347927.66074388,7521280.744176593,2370776.2406415325,1559653.585337411,184517093.5084452
67637965.80708167,7576763.250773952,21512604.80264208,37563973.19300351,41240782.59621596,11865787.244085869,1806802.3899630173,121963322.58204572,9022162.577728,2230813.670733613,8316043.14338112,225673128.2034772
54843605.93069256,7726896.32972266,23524590.762053072,223597059.60517684,130570797.2029448,20799972.18962353,2355912.5122489952,118006177.32754296,5903703.312787883,2090851.100825694,9577844.207753964,207774591.8970442
65591975.862248704,7877029.408671366,25536576.721464068,28025201.04369599,20985422.23984117,75955697.13958651,1702467.8651148805,127297518.01273318,4924954.766267024,1950888.530917775,17790677.01793288,194919985.36572284
94519591.86282736,8027162.487620072,27548562.68087506,153564831.81297678,17991621.420046315,51754901.6171951,1977646.4134647904,128630487.32149456,8028195.745907902,1810925.961009856,2415110.8564162315,222712482.1014869
96845096.28982952,8177295.566568779,13266571.154522002,419551275.46717286,13301831.799365686,33363647.19895988,1763625.5496246335,123111156.57338303,7692393.117454563,1670963.391101936,12572114.089446137,234070006.72964972
82191871.52614747,8327428.645517485,12258490.572345585,31179318.26868161,23480423.623185527,44081551.90895914,1549604.6857844768,126956567.6915562,5173282.494523182,1531000.8211940168,37498432.96317777,211386691.3983388
73920772.33694565,8477561.724466192,11250409.990169166,93438056.70469709,20076497.339455217,58362983.75802434,1335583.82194432,117995866.34564154,7048841.915696987,1391038.2512860976,3945239.292007784,185308273.41776013
68244646.43405321,8627694.803414898,10242329.407992749,8802102.990260294,15064476.67207641,227295814.9599307,2797750.874528154,86218347.80288143,8731601.943806192,1858974.131647696,2379693.8836252475,152191268.87957504
63206210.46429888,8777827.882363604,9234248.82581633,14397525.54107892,49539430.65514967,100900628.36728863,4259917.927111988,75353765.0525029,7466787.364173056,2326910.012009293,5352887.383406961,167658147.10158342
56343702.23093044,8927960.96131231,8226168.243639911,101242079.37738173,126320506.66554612,95030653.5836429,4036366.797015867,126258915.74578202,3877540.551181005,3584763.82726282,2677048.432178096,166361095.801031
44793476.15770847,9078094.04026102,7218087.661463493,205215912.22405067,124262270.04126416,181307291.3051861,3812815.666919746,113313651.29146056,69691584.1686779,4842617.642516347,2247652.058214524,179647525.74710536
41604422.18955115,9228227.119209724,6210007.0792870745,282339381.0672136,179198670.1730933,148865581.7356898,3589264.5368236247,104184213.14265844,19004113.05727084,6100471.457769873,547383.7830879595,139307963.87196586
45290604.442869045,9378360.198158432,5201926.497110656,13823601.380257756,182063598.7736328,330084750.9674354,3365713.406727504,166662596.55440158,53688496.09133221,7358325.273023399,1538501.4172923614,132931381.0926066
45583730.771079086,9528493.277107138,4193845.9149342384,58364144.54510113,194051758.79107705,410473227.8427333,3142162.276631383,105738799.32117128,13515415.869546752,8616179.088276926,1497587.0850008188,118995657.2316872
27465265.960436635,9678626.356055845,4221219.873784046,89243965.99702367,266225612.0194304,266414532.66933465,2918611.146535262,109325873.16156876,28335017.749403995,9874032.903530452,2883451.029264848,128500284.37317072
22059550.15438848,9828759.435004553,4248593.832633853,14084676.072410615,285111814.44336027,317026068.59208894,2531091.105929583,85330214.19278882,36648505.78272523,11131886.71878398,2168065.632695601,118756577.74810754
31142451.634667944,9978892.513953255,4275967.79148366,29338210.474213105,262696384.4481921,249171790.1287485,2143571.065323904,126597300.8309213,5453062.061430862,12389740.534037506,4264486.48126954,118700400.61234088
29239601.09929015,10129025.592901964,4303341.750333468,26808997.50944713,264078447.39047447,166445636.09497565,1756051.0247182243,13625886.229591977,6969749.295387469,13647594.349291032,7734203.014581613,118298880.49290574
30374213.325545102,9578625.417007783,4330715.709183275,55292705.45297841,277183510.5522855,27958103.112479407,1368530.9841125454,53762185.67066343,12303297.632454516,14905448.16454456,77231408.52917136,101111783.37551634
32249635.37605592,9028225.241113609,4358089.668033082,103020080.22729656,282613284.7365492,63994519.92500439,2446983.9546747124,31815773.21117572,19761540.47227164,6535460.304896118,53878159.8869243,100850047.0171284
28850286.24957361,8477825.065219428,4385463.626882889,425273757.75897473,307720896.7951398,30043619.22474805,3525436.925236879,89960631.2660529,30747507.67929174,11592288.912347566,9877970.157437956,109831405.06416072
26082867.392450217,7927424.889325252,4412837.585732697,75482630.88938436,339665548.4561864,4070158.129545781,4603889.895799046,63257595.54612582,21215680.03965944,91778963.9857632,5054032.211472091,106423045.28541815
20417478.54405688,7377024.713431073,4440211.544582505,47418608.92450696,319665770.9538597,50458573.72413611,5682342.866361212,85708811.56522372,9834135.67593185,53313505.37914533,2973461.685313622,108881776.36179005
21058242.57604267,6826624.537536895,4467585.503432312,64027944.584844485,380612579.61774224,26531039.19226621,6760795.836923379,35056344.845400184,3686553.825268899,14848046.77252744,1549134.5439455505,114723905.15146634
19973073.139943063,6276224.361642716,4494959.462282119,52201287.94555082,396293159.8377269,54865092.05987722,7839248.807485547,4781189.96998565,18501102.69454936,34731117.61539711,1290167.8668011313,114123786.75139816
19995383.70500418,5725824.185748539,4522333.421131927,58903926.60850287,375667644.9402052,125864463.7055209,8917701.778047713,6120683.275973159,5018134.743626317,54614188.45826679,3089254.827699673,103392937.43230918
19964693.728294007,5175424.0098543605,4549707.379981734,81071962.96245001,383179464.11997575,44374659.12573903,9996154.74860988,30307752.860986628,11504626.865860978,74497259.30113646,6180870.712066519,105222725.38423446
20243088.877360795,4625023.833960183,4577081.338831541,70461713.60911182,461685887.2256982,45861808.05987439,11074607.719172047,54494822.44600009,4038997.193218139,94380330.14400612,921803.2951422852,105819556.7609667
20051284.44823783,4074623.658066005,4604455.297681348,31073199.358242925,511533441.38826334,34136052.5464989,12153060.689734211,69283989.78980206,5953555.716679695,114263400.9868758,626345.5104660419,109414730.44264336
18673773.874033373,4057435.307010867,4631829.256531156,22423816.45732752,703631606.6074226,35963479.860717654,13231513.66029638,84563424.19468689,5313362.810030486,134146471.82974549,417788.0965901815,109010708.16955608
18268090.469419803,4040246.95595573,4659203.215380963,171390044.87740776,553275408.5650257,28531827.67098764,11442762.336200166,15694170.572712138,2279911.093314352,154029542.67261514,2609303.910948211,98494016.06643768
19228814.033759084,4023058.604900592,4686577.17423077,17567405.564940702,496017006.5165698,26600699.41239009,9654011.012103954,21666681.44194856,2584655.017248308,173912613.5154848,367661.78801085264,91263532.0730091
20271542.636629667,4005870.253845454,5044795.881433724,123172996.44692552,427728077.34004295,18342403.77786922,7865259.68800774,13413240.10563128,4570984.134968361,193795684.35835448,433749.75735575886,93399852.37166011
18513383.907952324,3988681.902790317,5403014.588636679,20734022.41821784,393569182.5279222,14523892.46764722,6076508.363911527,10633103.700078135,2180563.46963225,213678755.2012241,939076.756700317,78347501.26915546
18480278.460959308,3971493.5517351786,5761233.295839633,18285937.60852048,387562491.1540373,20085627.393862624,4287757.039815314,17307174.927852497,2157046.427337347,233561826.04409385,1421290.9347856783,80236544.02204686
19106906.219532024,3954305.200680041,6119452.003042587,29010071.462790903,348478784.83528733,12263789.528760135,2499005.715719101,22563601.63649452,3025917.696018562,66342473.302091934,2398129.000240261,85417922.97473736
19041221.74309467,3937116.849624904,6477670.710245541,10479722.625173304,369285779.2251704,13437358.489401896,8275613.829794723,11235834.42956135,12924839.727680216,43333886.85561901,3543575.724169334,80715826.0743959
20395196.156635605,3919928.4985697656,6835889.417448496,16278823.915608896,342474165.27503,33719954.971545674,4031825.168942146,36137109.82293686,1399442.6925843034,20325300.40914609,3952094.44684171,80478733.71950124
11415004.670908162,3902740.147514628,7194108.12465145,26705630.26294764,428959376.47435695,44981342.23183369,11694926.941795662,36536446.71974616,5305538.882849328,17789181.47017092,8173226.365460723,79217423.85500932
18110955.64903247,3885551.7964594895,7552326.831854404,12404852.018174622,451842847.4627582,38545733.487515055,10117943.435630474,39221916.59011416,1998938.334801289,15253062.531195749,5475450.0274089845,79853237.28278655
16169093.702810273,3868363.4454043526,7910545.539057358,2245840.892047295,346125155.6404006,18991068.472386457,9863198.735174725,38204507.88677565,2027811.0547783244,12716943.592220576,3282769.552862373,76921025.52024317
15320854.221680522,3851175.094349215,3485154.25808678,848634.7669991119,307469380.74882823,178792946.26282787,9608454.034718975,36704300.21162427,4898137.179248477,10180824.653245406,6535941.374874181,68258658.06489328
17297166.04856593,3833986.743294077,8135257.59276544,2520155.429863669,275445294.0242388,48788587.08974109,13047869.450113922,48672106.82343238,5300205.201622438,9495080.653077956,8874412.924978713,70975123.16757856
34699971.085751295,3816798.392238939,12785360.9274441,5387122.289519135,256587247.5306069,36053969.593249455,10061518.500723694,51465603.963946864,3537083.036824511,8809336.652910508,12015130.40912111,75574000.30294722
23176510.35374811,3799610.041183802,10876195.245191388,25652098.049053334,274678511.7628849,33008498.853632003,7075167.551333466,73201346.4952975,3281823.25428657,11509370.031086463,12441909.307552677,86927510.22011417
15856481.967900114,3782421.690128664,26562650.3813031,17658191.525610786,298604929.4689324,304811398.79985905,4088816.6019432377,97948028.07815184,3972601.722646373,61844691.71431598,12872461.786026,91563415.81028348
12822375.0421009,3765233.339073526,52144718.19782954,11789674.688237805,334002271.16080964,100685506.1723117,1102465.6525530082,83478645.86469454,2645451.9951107814,112180013.39754549,9402902.373471506,96510364.27515312
12684184.641003007,3748044.988018389,10270875.603147885,15760213.647470308,319918832.10715413,128720988.79904132,2172738.857126172,51281023.1021275,9254488.360118246,162515335.08077502,9619226.336670456,99046418.692412
16431250.21728548,3730856.636963251,8496327.842727058,12924594.303829838,264006388.6310952,65264701.177534975,3243012.061699336,42122460.293461,5282524.33772879,212850656.76400453,6826504.711704515,96070033.15150142
18185965.50488517,3713668.285908113,6721780.082306229,7601315.405082871,214345221.2893652,19986857.39092962,6495892.667170104,90766532.6935496,12261250.723380964,107131530.88403648,30865094.187369674,96317529.50216272
12994633.148174668,3696479.934852976,4947232.321885401,29776727.976925243,349128179.74169403,5879701.206768772,27065564.898657784,71063488.08038355,16881527.47255768,28444080.21754033,7885189.629247518,100004835.76752728
10604510.203794489,3679291.5837978376,4004373.173060194,9587769.51244186,166755587.12730587,9986756.72674456,7374744.159924248,69220560.15625203,21558248.14220681,25403011.94492939,36652464.12138179,96242981.78812972
10728883.542967508,3662103.2327427,3817976.495376647,16741292.377192805,177997709.0440665,12163878.434372608,7707767.606321309,134684160.6738592,16514526.832816971,22361943.67231845,35197554.75877092,105088589.14220911
12196478.639012588,3644914.8816875615,3631579.8176931,4661505.237070556,175239250.75882247,19004771.87313604,8040791.05271837,144986687.49622172,10646815.158506142,20143366.92246531,6586770.959273796,88356624.5269799
11640829.19146598,3627726.5306324246,3445183.140009553,2109810.4064797508,188091119.4755397,108052345.8542289,10687936.502740216,129904521.14524518,9910945.55582321,17924790.172612164,23463270.682387512,96832010.06291816
11938467.330033485,3610538.179577287,3258786.462326006,3661794.114169046,196202407.33218777,13643615.86009603,13335081.95276206,131880416.1560559,15369429.603121568,15373506.474975243,19419887.276201263,104331776.67519568
11469606.108155958,3593349.828522149,3072389.784642459,2560408.284229572,184239198.03359663,2626180.6853125743,15982227.402783906,120782057.88242953,17898178.552525755,16380165.54372056,59542537.43906511,119034892.79021429
10325663.821718628,3576161.477467012,2885993.106958912,4421234.417605305,149537267.98593307,4912317.536564426,13686903.763278462,116306450.15186436,17211343.696953487,13274674.887596028,96474362.82719088,124204346.84033656
10957917.77784356,3558973.126411874,2846281.4626429626,10054934.005337875,143443937.58443016,14548239.089344762,11391580.12377302,116121238.05750392,18603168.63939896,10169184.231471496,41543982.8012747,124604473.3564909
11321004.717170663,3541784.775356736,2866874.021696019,9154361.628216894,147086523.5404911,35121589.42854526,9096256.484267578,120342281.99105404,17284159.160198346,28313974.385574907,12731989.549672892,123027784.29836936
9856820.067374123,3503337.385676508,2887466.580749075,9109650.21304626,136414971.07892376,28508326.80318268,6800932.844762133,130820098.31153478,15173442.3100115,46458764.53967832,9332099.66863682,110745109.8530969
10397185.706767684,3464889.99599628,2908059.139802132,14983769.35463847,160296159.75445694,35967799.288407825,5909488.092350837,132711069.29421815,16842723.69082557,16927260.60268079,4974853.328554269,117680345.59348494
11372613.113734508,3426442.6063160514,2928651.698855188,24392633.692315213,243877532.6778432,29854664.354517423,5018043.33993954,142303201.90367654,13260578.787132896,17266189.620513264,4694277.604115855,123669991.09565078
