Energy_envelope_Standard_deviation,Energy_envelope_Standard_deviation.1,Energy_envelope_Standard_deviation.2,Energy_envelope_Standard_deviation.3,Energy_envelope_Standard_deviation.4,Energy_envelope_Standard_deviation.5,Energy_envelope_Standard_deviation.6,Energy_envelope_Standard_deviation.7,Energy_envelope_Standard_deviation.8,Energy_envelope_Standard_deviation.9,Energy_envelope_Standard_deviation.10,Energy_envelope_Standard_deviation
14515963.90962722,8477155.10222687,16003642.548558576,13558855.19712059,1906959.7178474783,9474927.46477623,37461532.04731819,7937793.070302137,12060252.367861178,12795776.268336613,19209276.16905366,9839853.840515038
5698033.026935457,6865917.242776861,8580609.082727242,10316012.399083532,1244425.2768609016,16845172.102155782,9815511.485923773,6101229.303191462,1688726.7453741245,229926.5375531508,8033595.630304835,4809859.063566206
8310909.924949979,9396128.459025605,1157575.616895911,5627280.052397812,1577387.798017622,15645279.752069034,4101524.8592633433,1997551.0726633305,789770.2879428046,457283.6242969148,269557.28521880694,1027906.680899898
9647596.332801124,8746741.138893547,819829.9067516708,1149454.7317452908,1078628.2435600506,14445387.401982283,12098001.41997004,12289797.702953184,601665.6508048356,684640.7110406788,387399.807668136,5642241.115572231
9221380.379547369,8097353.818761489,482084.19660743047,663985.0534280234,783488.8650336675,9780788.25080629,8427262.795390053,1323280.1111293316,363903.43696485215,911997.7977844428,182320.68714480105,3148475.403838285
5928201.575191355,7447966.498629432,399490.46122928953,757086.6688059017,1455800.7077669138,5116189.099630299,4756524.170810065,121594.02837597454,378389.3512775022,312856.3622268634,3421320.228083519,4651952.332510171
5552381.047376164,6798579.178497374,657984.454325181,2488674.3120676964,2128112.55050016,1358603.4492042968,1085785.5462300768,160199.914473354,848077.5039693178,338873.06333369814,6660319.769022237,4287715.751160178
3269619.021312996,6149191.858365316,916478.4474210724,1527052.5569424736,2800424.3932334064,13900796.215714466,2725014.012676859,2480665.797007096,1105164.6282778084,364889.76444053295,1792900.8780990453,2672280.902766109
3680882.0321870646,5499804.538233259,1174972.4405169638,7582703.801835651,1581606.5666688215,8318225.285459981,5176451.353705301,567452.2991211092,1362251.752586299,390906.4655473677,841231.6686550324,2978635.277534987
5007355.993439825,4850417.218101202,1191103.7596506304,10886198.921621095,362788.7401042371,2735654.355205497,7627888.694733743,278756.85014543374,1363987.6655744163,416923.1666542025,220438.85563385967,3088656.331566601
2823447.575034851,4201029.897969143,962573.7764270888,26886805.778508447,362413.1518464552,11174403.262766566,10079326.035762183,247834.82495245428,22359955.24728433,442939.86776103725,544905.2586896274,2643786.107900051
7408935.858842946,3551642.5778370854,734043.7932035472,1412054.600327018,213327.9048699522,430879.3147147135,12530763.376790628,196301.1992022125,1627183.5981015034,468956.568867872,105158.30087258156,3731962.488135477
2731639.8417675337,2902255.257705028,881608.5420047982,1515612.8955711175,300106.35474123707,412661.653332137,56421071.72402169,129482.767125779,5324212.988102649,494973.2699747068,120639.99549798378,4213460.398075868
364764.90432551847,2252867.937572971,1033941.4135287236,13727244.612007303,392901.49383275385,216955.9163445905,46076632.10638794,112011.32773986516,2165981.67328974,520989.9710815416,126326.96938185794,3346387.33019166
406986.21325643663,1603480.6174409129,790772.5669907604,5769473.179503704,408927.9313024834,333545.91971940844,35732192.488754205,71482.92912010937,1237985.012329174,547006.6721883763,146734.4975748691,1697106.594139289
428520.58576628217,1501409.9849166165,1024992.7640618472,7035636.624245973,424954.368772213,696269.7294444628,25387752.871120464,289262.5456525269,435212.2269371244,573023.3732952111,469253.3717516165,2250563.1261391984
220407.7463464819,1399339.35239232,1259212.9611329343,20988346.17891319,440980.80624194257,335472.78354192857,15043313.253486725,43344.314899729885,483492.0739100335,599040.0744020459,130233.24424851804,2203875.098190032
105781.5797146146,1297268.719868024,1493433.1582040212,27348415.36203917,462021.2629811858,371277.0546474733,4698873.635852976,50893.599412412776,531771.9208829426,625056.7755088806,264273.4278901049,1939624.786617606
233388.255945419,1195198.0873437277,1727653.355275108,1028683.7692480832,483061.719720429,473504.6710549246,5938546.109405607,48294.05302001764,682232.3393092976,651073.4766157155,8049857.101513906,1751753.4537988645
196957.9445990024,1093127.454819431,1961873.5523461949,26867032.53723704,504102.1764596722,575732.2874623758,7178218.582958237,44805.73960206683,609036.521636268,677090.1777225502,221021.07031032973,2447931.780290995
90478.25752242807,991056.8222951348,2196093.7494172817,22802285.939206555,650349.0514640379,193539.2710082056,2269732.6323379306,61312.7981586661,782105.4376407666,703106.878829385,117482.6540057326,2132144.5211325577
117205.18768153436,888986.1897708385,2430313.946488369,30463543.483768903,759620.6611567107,189728.5920675689,4813411.707829995,76823.71597916979,2344758.9078012174,695291.5326653407,152295.40061131885,1718703.3338992954
203859.6749131824,786915.5572465421,3480710.3948444994,59118374.893558,932382.3552695026,546853.1549351931,7357090.783322059,48833.652675567646,2090059.36438773,687476.1865012964,1180718.8700697038,1589443.4134719495
166618.55356231332,684844.9247222457,4531106.84320063,3253023.314392808,1105144.0493822943,1620803.1073536016,5786123.317920167,43262.49776040221,645168.1887533296,634999.8570744846,184928.7899498565,1604161.3124417209
1552673.4287184812,582774.2921979494,5581503.291556761,48768866.8863084,1277905.7434950864,1062374.589616497,4215155.852518274,50590.45255468775,5970585.733241824,582523.5276476728,108691.74029701538,1461008.8961124285
563160.949068875,480703.6596736532,6631899.73991289,13149307.646356666,2034341.2407147123,1238845.023908636,850805.4678858502,127485.86567758414,1552893.3082657023,530047.1982208611,72522.81904866449,1684404.2292077236
69928.04377723303,1155344.8312009496,7682296.188269021,5365047.408016462,1873677.4535896173,2292952.301853586,611847.5233430727,4408018.7389272805,959543.4393092184,477570.86879404937,114186.51736674472,1651214.8623709271
253237.60259852605,1306985.024910744,8732692.636625152,9299505.348363338,2408463.2149345065,3347059.5797985364,612357.9087671426,95471.83271882082,638096.9169400138,425094.5393672376,150980.97858213715,1828127.166370573
