Rise-Time_envelope_Central_moment_6th_order,Rise-Time_envelope_Central_moment_6th_order.1,Rise-Time_envelope_Central_moment_6th_order.2,Rise-Time_envelope_Central_moment_6th_order.3,Rise-Time_envelope_Central_moment_6th_order.4,Rise-Time_envelope_Central_moment_6th_order.5,Rise-Time_envelope_Central_moment_6th_order.6,Rise-Time_envelope_Central_moment_6th_order.7,Rise-Time_envelope_Central_moment_6th_order.8,Rise-Time_envelope_Central_moment_6th_order.9,Rise-Time_envelope_Central_moment_6th_order.10,Rise-Time_envelope_Central_moment_6th_order
3.282894656605107e+17,53108455465465.41,8.432759095736298e+16,2289820431442920.0,214193664789508.7,6690836441719274.0,7.847094423145957e+18,246972038862474.16,18306053041233.93,1.1745917455120518e+16,1016418318034.1093,1.352726312674242e+21
5300876037.411819,227067522676.33057,4.216380028692714e+16,46003033883.36698,4780569.56973549,119116108.498805,358102822.5088075,417635903840640.56,20233683255.07951,21049975.0146658,13460087.282400338,2878854745952.8843
218783737259.1085,1.5325215456601826e-05,9616491299.419914,18315027208.629845,40936243.13197834,5468102566.648269,57738786.795636505,1554217991.515385,87308950.47316621,14141875.718050528,2351898.3254811577,7042392314.037709
14711307140467.422,52464.2010004229,8261252442.657845,750297851.7977358,60525564.32167103,10817089024.797731,7446134.028794759,5376371025699.618,211689441.4618261,7233776.421435256,815949953.6316757,723060904727.7963
3034676349640.1104,104928.40198552058,6906013585.895775,2137456569.156101,66.3685275136886,5408544550.897752,6334618.312821074,211869013.75740623,10119038155.170242,325677.12481998303,0.0257252624890681,1013366719284.3224
6048897035217.631,157392.60297061826,1572436854.5037725,425762.1083495076,18625231109040.48,76.99777290009538,5223102.596847389,2039756.7055436857,37942840.88717285,251031216964.16776,4876920652263167.0,19166554532407.566
1796285344928.149,209856.803955716,17674107731.86238,538524627.5122843,37250462218014.59,7935577.654109959,4111586.880873705,333688904.6067542,64278262.84270993,234425030332.8402,9753841304526334.0,7180027888769.21
1996583565272.775,262321.00494081364,33775778609.221,701250668.9662594,55875693326988.71,598520244.7271652,103549.30614550694,187162844.90536743,552820042.8549657,217818843701.51263,241896043604.29663,5392592985475.518
905124876.849944,314785.2059259113,49877449486.5796,102303669.07193184,27937941203645.49,737682964.5970414,77669.95273050404,117411980.93167554,1041361822.8672214,201212657070.18512,1002984952464.2836,38013754180177.26
13491864792450.871,367249.406911009,770116171.297257,123002547.84667304,189080302.26706925,876845684.4669174,51790.59931550114,140348474.61243516,944740.9114096686,184606470438.8576,241657771381.4225,21797940936123.21
556803982.3741136,419713.60789610667,644534940.1973726,173735535605.60452,49687319108.84597,91380410347.3854,25911.24590049824,5297631836.927963,1168304039.1981258,168000283807.53003,556667307355.9885,10434986203059.969
2446206612.8770456,472177.80888120434,518953709.0974881,107428332.3588826,381966733.7294055,27369617384206.7,31.89248549533231,1443608.2154951189,17942534.58317816,151394097176.20245,576333099221.3938,97899773050697.23
466553612.89071006,524642.0098663021,34189614.49395113,1443674351.6911716,14626522.488311484,175170876760.75833,2456809065690.079,535165924.0667011,619356028.6314566,134787910544.87492,13478866627317.506,20883434361568.15
7025695679.873278,577106.2108513998,14464493.180014929,5865765593663.864,849049.1733693125,12759779397731.695,1965972784119.3984,1755632702.4521697,6235015.591092064,118181723913.54736,217539571361.16068,11377464840331.188
492617142.772719,629570.4118364975,43036446239.412544,3266601931173.656,935796.0873004284,2226519189759.3,1475136502548.7173,308656967.1087699,19474564209.07719,101575537282.21982,271999116740.4821,28333738414749.867
