Amplitude_Skewness,Amplitude_Skewness.1,Amplitude_Skewness.2,Amplitude_Skewness.3,Amplitude_Skewness.4,Amplitude_Skewness.5,Amplitude_Skewness.6,Amplitude_Skewness.7,Amplitude_Skewness.8,Amplitude_Skewness.9,Amplitude_Skewness.10,Amplitude_Skewness
-3.208621126618579,-1.9674230627722349,-1.457960230360816,-4.1088657511434405,-3.849557912087433,-4.3108294302872565,-3.5772320698993827,-3.4447260594615217,-4.174464135275924,-3.815268102716688,-3.0429580334258706,-4.172648667056025
-3.1916272200144333,-1.9219530878400064,-1.399928631642176,-4.083825577776316,-3.834434783841732,-4.287237187049735,-3.5295904279679817,-3.440234512468749,-4.154676536995442,-3.8064770106058297,-3.021809755971063,-4.165475456110121
-3.1720426317746524,-1.8712531062123263,-1.3355668402708205,-4.059898574047533,-3.819628248506988,-4.264025328140382,-3.477788369683309,-3.435152454872349,-4.13412696617074,-3.79722838429896,-2.9971419102427594,-4.160021340057582
-3.149324936584474,-1.8146725739368512,-1.264213953801724,-4.03649164963098,-3.804862344285199,-4.2404560502022735,-3.4207137058158064,-3.4292295506418977,-4.112075251747458,-3.78709740116088,-2.9682039415924706,-4.156040101028659
-3.1228899521614726,-1.751582162009632,-1.1852866909842696,-4.012708698481534,-3.7897666884058814,-4.215557927911075,-3.357128443353241,-3.4222185606585453,-4.087649898861786,-3.775636886374198,-2.9341412010131656,-4.153252379344222
-3.092114328308182,-1.6813855644357296,-1.0983024985728091,-3.9873193547663472,-3.77388783063003,-4.188093557155569,-3.2856689139648334,-3.4138954162886272,-4.059839774084679,-3.762383846406295,-2.8939975421313355,-4.151358557181536
-3.056304220550928,-1.603504819177462,-1.0028836416116929,-3.958725766128338,-3.7566839106332592,-4.156513118193135,-3.204813817973437,-3.404048347454097,-4.027445752547654,-3.746834935857264,-2.846666543101506,-4.150034724082417
-3.014637953364049,-1.5173476106884305,-0.8987399105102982,-3.924913739014738,-3.7375076438900905,-4.118879972323077,-3.112846014393722,-3.392444366958682,-3.9890083346046574,-3.7283943642315536,-2.7908221002464733,-4.148916539191895
-2.9660920946596754,-1.422280700646768,-0.7856694237125144,-3.88335820119841,-3.7155768948606296,-4.072758969124829,-3.007809188501946,-3.378786132068836,-3.942707228149502,-3.706302501375186,-2.724839367506956,-4.147558670085068
-2.909362207607305,-1.317620236277918,-0.6635910946072681,-3.830884539547581,-3.689925559555253,-4.015065811687487,-2.8874782509354024,-3.3626648967573365,-3.886231583714084,-3.679549250171783,-2.646706792328067,-4.1453789735254265
