Duration_Standard_deviation,Duration_Standard_deviation.1,Duration_Standard_deviation.2,Duration_Standard_deviation.3,Duration_Standard_deviation.4,Duration_Standard_deviation.5,Duration_Standard_deviation.6,Duration_Standard_deviation.7,Duration_Standard_deviation.8,Duration_Standard_deviation.9,Duration_Standard_deviation.10,Duration_Standard_deviation
28.41228998626661,43.45370379395896,76.69793618153558,46.12572045688326,104.83421082419426,63.06168911265864,66.69810886611862,148.5466546896264,50.28090025210912,104.14490207907066,76.05306564114409,69.27137015066884
86.94556579630549,135.4758120214407,239.3039963894309,142.4958341442901,317.9362279925344,192.4582135545808,204.3315649416655,449.6298359001781,153.0725817368613,320.3196616290521,230.9670092955521,210.5832903622528
149.48994196867176,237.5467749568664,419.67069748089006,247.40452032536635,541.4501227364378,329.9208287187336,351.7886351545632,764.1027457246445,261.8458466637889,554.3965386993077,394.003950723348,359.32699980326544
218.01283874198955,353.67097236660834,624.532609840007,364.48344246851616,781.6420481176766,479.5889353553735,513.8655163573486,1100.5167570202996,379.9596591568504,815.3159855941475,569.9431443722715,519.528817740479
294.1936892130673,487.7682438392171,860.3461572035416,497.0919453482027,1043.3455761144207,644.9049719856325,694.7499961877062,1465.2793743417633,510.2192660774879,1111.675239384973,762.5962271377045,694.2839367865402
379.2657764436989,643.4188675621745,1132.7809332247664,648.073942893462,1329.411936173317,828.2836769883122,897.6636886592611,1861.872087527407,654.6265948986378,1451.3282476270406,974.4090095509016,885.3845347115953
473.89210699797,823.6197247539777,1446.2452361012868,819.5567192265386,1640.3179123033617,1030.8669173015437,1124.5793611116856,2290.3014767464406,814.1989899333624,1841.090014221708,1206.1709531605463,1093.0572698998208
578.0836985646375,1030.36829872473,1803.477750886845,1012.8070968110522,1973.9633532614096,1252.3820569046725,1376.0345002983768,2746.823500155481,988.8707480284528,2286.556967954955,1456.856626667471,1315.8338152440726
691.1677084363187,1264.8377439660803,2205.229706677685,1228.148803461565,2325.6780020756387,1491.1134904149978,1651.0519553058832,3223.967087871224,1177.4840741187984,2792.040076143708,1723.6134034620093,1550.5593300795267
811.8072395489012,1527.300975252028,2649.7958265964485,1464.9444377889304,2688.437512820893,1743.9904387501954,1947.1700944505365,3710.858536207264,1377.8701658136952,3360.5924028349623,2001.8985921754563,1792.54225849305
938.0721920102228,1816.9061584802469,3133.0965532704736,1721.63618910078,3053.281637609069,2006.781060852161,2260.4650272551003,4193.827963232851,1587.013311050716,3994.1009840980087,2285.7612534486734,2035.8374869194456
1067.5557716039038,2131.5649480242228,3649.2367585963216,1995.844304088581,3409.9085752320843,2274.37831935732,2584.868766567281,4657.258209735539,1801.2809935572593,4693.402033306823,2568.249372163996,2273.6412461090704
1197.5283262717498,2467.4836445537417,4189.734288011724,2284.503543227525,3747.40485237177,2541.1505251474127,2913.689085562986,5084.6214128068,2016.497550297543,5458.379141651637,2841.9147688321777,2498.771772175246
1325.1173572310695,2820.43167074994,4744.666459541571,2584.0263706824426,4055.061480902408,2801.331746054043,3239.995328647975,5459.637867227716,2227.064319958014,6288.003220763015,3099.3810155824744,2704.2069465295262
1447.4986800011584,3184.6947684747565,5302.822576351446,2890.4618985902243,4323.209741920391,3049.416051481038,3556.7133069880665,5767.472758078704,2429.3316940794098,7180.203004975282,3333.900813520803,2883.62507980709
1562.081748388474,3552.011397843878,5850.65374369196,3199.442633398933,4543.958002191063,3280.511871737689,3856.94522384019,5995.891303531843,2618.20291455653,8130.229092393766,3538.7902497484715,3031.9133877013383
1666.6722080729537,3915.5211999225735,6374.527828941721,3497.66406439663,4707.499356774063,3490.611041931558,4136.5882163867145,6136.2932231227305,2787.409585402685,9130.691331898504,3705.530090842789,3145.588082940478
1759.5728753914589,4267.929573380785,6860.841676029065,3772.57633081802,4797.890178133192,3676.5081736325824,4385.903676078717,6184.516883457369,2931.3997369279346,10177.56575696299,3829.583465536116,3223.114044887294
1838.251154616731,4604.229539501272,7297.802970893272,4017.288479522867,4814.141034667659,3825.8388478771526,4597.992416985404,6140.1973311736665,3052.899947423952,11264.583433780326,3903.377545844909,3265.037340638695
1899.3972688792849,4922.5868498684895,7678.262660696818,4230.800396717613,4759.3663913967375,3929.93389655618,4771.484706318244,6006.178253515393,3148.048857732213,12382.143417119272,3922.398439589934,3273.941145844314
1944.0498873856263,5217.964910096803,7994.888171116939,4414.110385949019,4644.3698890068845,3984.4870794659705,4908.86098191343,5791.800553596488,3215.3611616711964,13520.302392550224,3893.134744058218,3254.1676523863352
1974.6734792043785,5485.860268054128,8245.896819595577,4535.3332706831625,4469.291215615702,3981.792298983875,5010.777548704536,5516.940159575654,3260.423276601928,14667.334939226448,3812.685894348995,3211.321071224955
