Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
361099171.9511419,3609178139.2105184,23454377833.30029,32092591754.21427,12459267381.737309,2899224359.767149,5137754569.937152,59649830222.6369,481413531.4990317,21659269599.01222,1540500990.958796,2438795605.917836
1116749630.338204,11297738984.12185,73578295456.8816,99985036974.819,37768198857.03935,8955048417.881212,16056475330.491644,180520493831.5852,1517935912.139114,68274819967.81474,4796309100.249222,7414566611.260236
1942124292.0410235,19886817439.742573,129744345754.98135,175157605223.0198,64305863239.34367,15555136606.31851,28228692567.9363,306844093149.00385,2693956530.192348,121087161298.3058,8405099611.922093,12664123838.567308
2867678263.9144235,29719032571.67796,194149362408.5451,260481357772.212,92835025655.16626,22940404497.326183,42148897707.57166,442205967100.5901,4063057680.930738,182422523746.90976,12518123194.177048,18344156522.98396
3921966696.1919966,41133399101.51712,268952310235.6345,358720685755.2863,123947773757.32072,31335557538.320538,58307215370.60051,589346963087.7974,5681393894.793739,254691412190.56564,17288532390.057495,24580561226.21148
5129667057.818151,54442764198.857376,356111827155.0251,472330207729.0828,157997851492.33167,40934434103.94274,77162455696.80432,749847075081.5917,7605241736.170132,340267409425.94586,22862755122.88429,31454930288.258453
6509867989.618078,69912883237.79715,457228125271.06433,603264083441.3246,195050083076.51675,51968966783.11728,99114643589.5656,923893484986.0112,9888571632.235126,441364062251.2418,29371270894.30346,38994113670.8615
8074629777.949328,87774771723.29504,573400838371.595,752812984676.3387,234850808924.46344,64650977808.94498,124467647895.6888,1110151078557.0576,12580661347.437351,559927235420.5626,36921885615.43424,47163611185.613815
9828079058.057056,108189682489.24364,705108107725.2285,921621076732.0094,276821721395.2492,79009749030.82062,153418507152.5016,1305752836928.031,15724385698.885164,697533061991.7256,45595182860.16664,55865321337.58493
11770524554.143656,131193853555.0699,852123441705.4084,1109511974277.506,320077903536.5516,95042658372.62502,186056924318.6121,1506389868255.4714,19353679108.02239,855292738530.4082,55439907674.36013,64939855800.2568
13895872824.22868,156735632799.58597,1013458278155.5836,1315192581210.9812,363469227503.9302,112669277948.76736,222332941077.7369,1706513983244.2637,23499369217.455315,1033810189234.4376,66470651400.71578,74173309167.88419
16182344711.91559,184686292184.4727,1187428178497.14,1536655571068.4463,405645745940.8339,131718281236.1515,262129423130.19937,1899648841346.3584,28185139633.864056,1233153824965.6614,78677081868.07558,83308052270.74934
18601670286.550854,214938558926.843,1371630803783.2366,1770990227262.5554,445238872970.2653,151986481151.48337,305188636100.72266,2078768734945.3464,33425448900.712803,1452860458581.5225,92036704998.93803,92056889168.08072
21119038175.48432,247196817824.16965,1563137197693.863,2015437303463.327,480797136580.33295,173177346828.67126,351092132774.26404,2236729343041.1875,39213765948.24427,1691979691755.384,106475913065.77287,100119585545.802
23694399342.836086,281095209067.14624,1758432079689.5825,2270418030396.479,510842761310.3728,194912532456.11057,399384508549.5002,2366719015882.568,45536453590.94707,1949340456960.624,121898542282.9711,107200746050.0054
26284315274.20836,316158822079.29034,1953508247913.5469,2531469330811.539,534077140553.3264,216765917256.81137,449555819403.5509,2462701931598.507,52363735960.12881,2228107201678.0645,138278048698.5684,113027788772.28702
28875843145.44942,351882676732.2461,2144197391118.744,2793663308215.34,549667837139.1848,238297256004.61844,501268239323.1504,2519825237290.734,59658619261.36304,2528805997550.0767,155592226031.34506,117367889786.33649
31535975418.35492,387753051240.682,2326449397901.0605,3052335624657.437,557000337581.9896,259251564915.96896,554241921957.5106,2534909447750.363,67375454054.71846,2848041521568.6245,174149188989.7766,120042706330.14024
34197322943.62281,423335718196.4765,2496492330877.7905,3303370636736.552,555561765446.015,279404192265.1558,607825086086.5261,2506529389966.396,75479733669.10487,3183094837269.769,193875999680.3365,120940082493.87093
36815230589.42573,458420086228.27167,2651548689355.371,3550541233340.408,545288619543.0733,298424391969.7524,661427545135.4684,2435028249320.2227,84029195646.7924,3531122002883.042,214587382006.6256,120022193827.10304
39435039012.50276,492700287441.9294,2788615861822.787,3815041318920.737,526568954658.1794,316060704496.6055,714742533287.9818,2322626099514.5327,93028342103.67503,3891001884772.344,236172886765.0053,117352271413.6228
42113694752.9428,526020904092.7514,2905475049998.3555,4089639476040.665,500954744189.4841,332336406893.18494,767346507736.9698,2173665211838.2307,102378681306.71487,4262773685072.957,258610582496.27612,113164157600.0602
44772048584.68054,558322018497.3785,3004270888717.9634,4369201513037.634,469468805004.7528,347167884589.28546,818926745856.9752,1995368817266.8955,111995627150.03624,4641384605819.441,281846554943.2439,107608303121.5284
47351674284.54829,589384141252.851,3085626115655.1416,4652070919904.084,434083892666.47375,360380659385.5682,869066802174.8425,1797173768093.475,121806889493.67352,5022513702678.658,305825446906.7259,101078516930.34612
49797795510.918205,618900593124.0236,3147686383125.3667,4932982874393.378,396815685373.6794,372207141917.03217,917151978052.7864,1593410604510.1416,131737726758.07748,5403069374154.249,330639198867.3079,94157899065.12224
52065956960.38277,646525076483.7379,3189623761897.59,5206784041366.388,358831249607.0244,383197502250.4549,962572393459.5552,1399076374420.181,141708788124.14978,5779061881119.588,356234347302.1896,87185150435.92726
54128528324.70287,672147276575.8867,3211568092288.9204,5469715663758.571,322838607949.96844,394481803404.22754,1004856177471.9113,1227064497444.692,151639501985.4955,6146279244499.863,382449391275.6636,80645914427.34169
55971132451.93191,695725049118.3439,3214594666448.4204,5718922250076.016,291399293671.7518,406049464728.54895,1043700972238.0322,1085483541995.1888,161472636839.37265,6500197286617.091,409137315506.31805,75086949160.33505
57573805507.89061,717262328270.9368,3200448048185.178,5950585464555.899,266588656968.1308,417552637478.4323,1079001902292.2422,975809158335.6456,171096937675.33777,6836590989770.499,436057151999.498,71062673506.99379
58961005946.77674,736867059314.9457,3171970142490.244,6162567295247.76,247499080165.8596,428913800808.5534,1110627086445.5986,897493063199.686,180441825583.0258,7152055703843.365,463004083899.30176,68102422849.49191
60118748567.690254,754861788709.984,3130740318448.676,6352089237795.106,233400537428.86707,440188553006.6132,1138676823890.102,842753425182.8915,189484760173.7054,7442654946454.74,489744619976.7805,65756884379.21019
61015238159.97415,771784051929.3147,3082121778546.3525,6518285174270.159,221573832249.9524,451306734699.4905,1163152562083.0298,803847542737.7313,198207896507.5372,7703434447306.985,516313728148.601,63695880762.805305
61663960986.96623,790312692475.434,3055585492084.343,6662855648143.363,210195123963.6528,462202927130.81726,1184256836833.4067,773402944291.101,206584328577.1737,7932313653036.224,542562372937.8684,61673349501.441696
62058832973.654015,810632503416.7194,3041199575570.629,6785866051976.691,198704269348.8328,472724253968.3423,1202323662476.1345,745671558871.7789,214592034173.41663,8128602170201.887,568299016981.8752,59498879142.8962
62243419726.920334,830287666339.2241,3025893944151.3213,6886909818709.956,187369447812.62155,482829624751.1937,1219325193761.3154,715907244754.1088,222200191114.28595,8294327749117.009,593422123051.9359,57093859600.75258
62306431821.62273,848324889138.7964,3005903026429.3345,6970044785120.427,175373633952.27496,492493365016.6596,1236855577977.2185,682226029418.7803,229380277818.1815,8431436411188.82,617818485619.9517,54485286722.97558
62189864542.69812,864643079734.7649,2979865613836.109,7034649070693.724,163040480715.36307,502302936602.8576,1253220390515.6577,644928032191.3239,236145567212.06128,8544553079411.702,641524564890.3577,51697598025.18693
61944657567.69696,879416819877.0791,2947706248693.431,7087572759948.628,151182959550.99484,511616811723.28577,1267773055465.4092,605697708186.8423,242522912262.082,8641157308884.005,664487881219.0519,48802478792.10609
61670932361.393616,892848028142.9379,2909850497035.167,7129003064741.823,140480853357.85834,519438033365.11786,1280439854079.079,566717887626.5812,248504533853.10568,8741810258646.342,686609018897.0289,45908990185.58749
61669013916.11049,905711174053.2396,2866487609302.5176,7167619101575.53,131314396996.30966,525947964566.63367,1290964286757.558,529777381141.6903,254043346391.1684,8827743519876.467,708001843072.5078,43143113925.88446
61858001166.414894,918065909876.048,2817344050733.351,7210395384789.494,123981758148.69952,531251101260.0082,1299133063730.1428,496440301976.7901,259088223569.29657,8882180046532.65,728193952854.3887,40571392917.607895
61902512805.43589,929948533916.232,2763104370600.6875,7267540711730.148,119027802821.8574,534410363588.4574,1304721742652.776,467365059221.3638,263686291118.4033,8903992967075.936,747223495664.611,38181551329.75487
61798706527.83356,941940638939.1508,2704759666566.531,7330107242299.969,115669128056.80748,535000537859.4211,1307588527875.177,441825030364.25183,267804414375.3821,8891798988946.65,764908021138.6292,35895511159.68924
61565016962.26897,952602685560.6044,2643263222768.892,7387253441900.443,112722284381.83331,532725445935.9125,1307703369138.1782,418141588876.4286,271517940244.6697,8844639703035.621,781039194982.7039,33641548051.81005
61224192640.02057,961943234013.6736,2579919641805.357,7439615334239.149,108991347751.36353,527603101462.2794,1305347376500.264,394065182163.828,274809995920.8504,8762203732591.196,795579387613.2915,31387349592.668903
60824455641.47137,970390547250.7393,2516375222340.373,7488296367646.177,103864399769.12537,519723013598.7709,1300789124056.7678,367777991592.4377,277752008097.6812,8644889256386.145,808399647762.1447,29122207197.72093
60490965513.85003,978034071503.4994,2455906154735.6787,7534904388053.881,97662973055.49698,509602389141.42944,1294613387331.0732,339500450277.3993,280388693470.7232,8494400561932.847,819625114030.0101,26871910410.848804
60254031532.74439,984885556450.644,2402302692066.689,7581640970255.949,91105303481.1541,497921716480.0927,1288106172745.5562,311419321088.6493,282766360502.0949,8312388347155.228,829400922706.6637,24711111937.279007
59919290475.07271,990700171639.7432,2354166511915.789,7626992153908.513,85542891874.7298,484939928374.05634,1281717706611.064,287756473781.3629,284898845089.9038,8100275151975.475,837752072604.1598,22748264110.896328
59490122360.948,995403457659.3484,2308297761516.085,7675146069261.317,82097164906.60722,471620272568.4991,1274296679370.4165,274169474600.6641,286727221041.8532,7860000997847.407,844725891220.3547,21123520922.844486
58986345968.35232,998877937903.1146,2261765412334.164,7725802862922.29,81172893571.33424,459969547640.6768,1265497219308.984,273951921133.98703,288270145569.9305,7594149308530.431,850525909458.4845,19907834502.42293
58437991573.12777,1001002104132.4336,2213596844411.268,7776476111201.488,82660171041.45746,448556421742.9102,1255054171415.2705,285886217146.4982,289574453505.8057,7305280665693.393,855124864547.3636,19073908191.745228
57899112736.4355,1001797630561.916,2163530893045.4944,7826730075625.028,85338043432.61229,436685941699.7809,1242831278694.7651,304779942045.5988,290637296367.51385,6995908226817.854,858579327621.1913,18495396519.571945
57406180287.32143,1001263992254.2212,2111496160150.9,7877109757555.817,88021672937.57797,425125185392.84656,1228845990615.6123,324612345049.8292,291471347139.1248,6668798275037.668,861012157432.3342,18038528922.51592
56952739669.21702,999581541308.145,2057714617268.644,7929009980951.083,89779138086.89195,414190006678.9334,1213190761225.7854,338916936335.3671,292100023324.9558,6327173080247.671,862557202998.7816,17547341850.03468
56536040029.26087,996970837897.4872,2002786694284.584,7984724322994.791,89967429237.28325,403808837508.59216,1195955641390.4004,343318774949.6618,292554651161.1082,5974348715111.12,863228306441.2214,16919604036.86399
56164518307.895134,993620549205.2416,1947626024730.7568,8045507761662.441,88255211329.35458,395318735225.61096,1177457315381.964,335767257471.3416,292849629475.06964,5614081801504.171,863234878061.1018,16054690634.189253
55855719125.22373,989797542662.8531,1893259288513.5105,8113020804252.927,84400346953.58876,387994399046.5313,1157937778424.685,316235241552.9448,293013599387.09,5250325959136.181,862737191937.3168,14901394893.88164
55680935714.51945,986147120138.218,1841042152813.0708,8187578791862.953,78372057317.80052,382080708286.1174,1137560155161.3552,286404414899.5236,293076380921.35614,4887176720424.598,861965869009.6835,13502598648.453869
55550467568.89719,982717249095.3188,1792507172659.3071,8270076759525.012,70547920305.28618,377977270647.2468,1116657174032.8115,250191015012.8978,293071327252.1521,4528446798532.367,861140462373.9371,11966289747.039211
55399495180.10709,979379918097.5426,1747053426327.9036,8361436164096.135,61922913504.3833,376146737018.0246,1095679237721.4026,214279641713.1916,293040637934.46674,4178127546714.577,860523594370.0977,10538429063.663176
55236134259.48959,976134074854.061,1706261732529.9387,8464776597600.71,54611446319.790886,377059792166.10736,1075090337438.2236,191147022921.63303,293022117355.12573,3841400280311.2393,860316198805.267,9644588168.986006
55062036989.56275,973286490313.9408,1670311302920.4373,8581301285655.68,53145996704.02843,381236339357.8819,1055021020723.4122,209362487951.25912,293000757351.26013,3525536445836.667,860685107722.2684,10224979763.50376
54853777157.46106,970472584537.8528,1637262733366.5444,8710349249281.621,60565188932.651024,389627359104.5672,1035411167196.62,273631412147.9044,292993561899.8075,3229375709096.125,861593048487.296,12095472602.073898
54602926357.63226,967627830896.2882,1606477461038.355,8854464739922.29,73546320390.11386,403402968794.8046,1016158764803.5378,344879558441.04565,293008602974.9571,2951336982828.476,863126245408.5972,14293805918.675964
54209492862.7036,963163778789.3268,1575215544082.0476,9014929337265.658,87356407036.62091,423325428519.5006,995626402987.5192,411240259456.23706,292434749208.9467,2686864522271.085,865303362976.085,16527694115.133995
53762741917.81108,958536326681.4778,1545342116616.216,9193910652474.691,99699978666.5979,448740455838.0364,975417360382.3528,469849945087.6717,291817249428.2824,2441386418275.189,867842267694.0507,18592837503.670437
53237514859.68928,953729842958.398,1516615255253.3262,9394724600328.557,109998511533.85349,477729402986.1734,955522542117.0408,518040777489.9678,291111482443.8816,2214531705814.7227,870656323343.672,20343645040.18621
52621987787.19748,948824821663.1874,1489472303067.6267,9627586836736.754,117774035539.23865,508793439902.6068,936015638580.5996,553729818780.6764,290288462553.19934,2005832392749.3784,873670531403.7957,21691505793.114265
51914965783.35878,944014964549.928,1464137448426.9558,9875356275552.309,122657798709.07532,541023221335.1564,916958042938.7218,575448927421.45,289320637723.97174,1814500391598.7444,876831574611.155,22569723954.25615
51120649142.659294,939721360105.7428,1440028791482.258,10131649488095.994,124428210283.1786,573686211804.0596,898463340529.417,582390017254.901,288187119649.4328,1639720590808.1091,880131089543.9888,22935287404.123062
50246270170.57855,935312658576.1344,1417162256934.5315,10393068045435.49,123006250027.30316,606302932987.8685,880640413009.2445,574432962536.2816,286876595780.48083,1480628432262.6526,883409210045.1606,22769957604.467297
49297549860.15506,930659736492.7228,1394443848182.4534,10656115923637.377,118455430606.52292,638552633530.4926,863701131998.1498,552172071057.0775,285370742998.8884,1336244677737.0366,886549213490.7205,22080440923.928314
48275591307.757965,925794238683.636,1369468551550.389,10917218247572.191,110977858268.5469,670222248108.9495,848187118226.2347,516829741416.723,283658306453.2805,1205537871747.7698,889445149813.6782,20897559431.71532
47187228312.78281,920807532099.4532,1341891558659.5483,11172847451775.797,100906631968.60657,701247128476.2035,833685455862.446,470179102616.8068,281732722158.8097,1087663710860.1996,892020827784.6321,19274489906.91829
46043817407.67064,915928491264.4264,1311616621463.4438,11420049000329.354,88701318327.99794,731501516512.4622,819921092772.9071,414462218338.1655,279594058590.5111,981861530377.8862,894264903390.786,17284314449.782677
44869481867.97445,911851547095.883,1279159159356.1887,11655739625793.965,75050059422.30191,760943821362.7738,806976935182.3607,352364153921.5928,277257557077.5025,887453251137.0032,896222738004.7458,15021542695.350792
43687516985.30255,908412865615.618,1248446195126.228,11879581612026.434,62166312474.11373,789662210885.4396,794941303129.0686,287875255630.24976,274771256082.49487,805922200164.2797,897875557206.2766,12723535911.715702
42529405333.63179,905393416535.6416,1216846739814.7537,12087385147564.064,53682019450.128265,817697567802.706,783617435787.4154,241270982993.29376,272159341040.53107,737593894583.2264,899288845772.6597,11371108851.315308
41385499229.489655,902414989793.325,1183424881035.7937,12273823926279.518,54508119048.38463,845006311818.9739,772673481209.6621,247008120849.6024,269411021798.9193,683186441173.8645,900433879245.1298,11224351353.131895
40264360788.03188,899273920747.0184,1148233915560.1123,12434712175548.969,64027679989.07125,871299997250.0627,761879088815.8528,283444038426.8691,266505197350.07465,640220148872.0868,901163110058.4596,11679211882.951086
39175452025.58023,895899684407.2424,1111107896577.537,12567220347407.096,75403968370.6372,896361057206.3204,751067340966.4712,328328655150.1949,263430009634.62903,606239077072.1074,901396594129.8876,12283796501.765987
38130223545.43578,892355314899.9373,1072396146646.7852,12670415389798.262,85238384883.43338,920040663661.5684,740289453876.8196,370231608596.08057,260184091231.9355,579471326153.7554,901129266229.2114,12931246927.261652
37142080323.37556,888847372724.3789,1032629877078.7748,12750056329884.46,92876217874.67296,942261716403.9484,729428845037.2084,404507132814.87976,256770755363.72632,558882503021.5238,900376825500.817,13463679391.081156
36227118684.00254,885631922958.382,992449848515.0242,12795668107333.809,97977379565.85878,963009496981.9608,718324993116.5256,428247780504.053,253195899996.0928,543704222023.377,899177917895.6973,13783757016.771393
35381256807.216576,883343115642.0552,954250154174.802,12803184112804.578,100331372343.04675,982168296682.0125,706961433880.443,439490602183.6337,249463935161.5776,533448827221.9378,897568397519.8021,13805579341.211334
34604998997.61207,881671738185.9436,920304751374.7928,12771152220756.426,99850043681.26804,999660274302.8647,695335452750.6947,437623215883.90826,245585397613.174,528030482273.5112,895623729250.4342,13451679011.052313
33885999245.15749,880521996512.4015,892962784209.5759,12699005183515.207,96569838168.81592,1015542771526.0996,683446037091.8427,422975542311.5383,241573662626.39105,527391069424.566,893426088588.6586,12699233154.82562
33215329458.68131,879796252762.7096,871129828787.7031,12587079446821.2,90650501831.24222,1029761263204.9572,671648354221.8887,396620729065.6712,237447662332.5584,530994444835.7536,891086061257.369,11589992668.18001
32585803161.869347,879403656831.5339,852413551799.1755,12436936138274.22,82373943236.64223,1042348107071.5134,660243902794.0494,360777474757.1696,233226478758.82648,539714904030.02985,888734699366.3213,10227035293.37102
31988698237.257,879366413675.3451,836287893629.5543,12250833524093.229,72139957390.67157,1053504572080.65,649046772977.1489,319266888526.4868,228921945918.86893,554008238607.8181,886524102113.3232,8791158185.789095
31424803917.288773,879629380608.6609,822655211886.5497,12031045554214.102,60571700345.16349,1063676262916.9417,638023243324.7754,278297606968.7193,224549518553.09616,574508088061.9839,884694775044.5416,7591710483.715813
30900824577.99566,880238538387.556,813491234245.9385,11782353806671.531,49893175873.16127,1072721270116.6748,627391657868.198,250756775162.2873,220159881171.50635,603202147721.8813,883344612282.9858,7040063924.561153
30422101955.4046,881447385649.354,808683646545.9865,11513400508430.346,44865937979.00954,1080166563516.9922,617048120865.2411,264523535717.1982,215759746613.51984,643867006898.6097,882373247930.8412,7760923796.699513
29947258387.00704,882899145127.0095,805790879645.4701,11224469410694.78,48797526032.45733,1085853268097.9832,606613951851.755,320335193675.7233,211342469654.2591,693295623177.7117,881631851547.8165,9589415284.319
29442807990.599342,884498863848.4021,803992399131.7809,10912463777845.137,59879371970.27193,1089685597912.0225,595890669872.7527,381915857129.7997,206872743376.6477,748219502846.9006,881027440682.7181,11691683198.50799
