Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
1118102854.7210443,10718344576.67823,85164652016.35951,72202715192.25821,9432355416.710566,6547519914.124567,18341269319.212414,67149255686.07932,2683940647.0636616,215418754823.0865,3448527286.179553,3454681124.274852
3518483204.2676773,34020297493.975483,269800301030.9296,231105558144.6537,28838201532.47471,20694821359.382603,58637811482.341705,203488575645.62555,8790767640.714746,703608259629.9165,11128901927.367212,10706706092.90169
6231293525.98666,60707487485.65871,480235248490.7904,415989676463.9576,49529889894.94326,36806656693.78099,105383342956.05743,346354141438.03754,16202931521.692406,1293090510207.4087,20226890864.72088,18657737326.93603
9376965111.553295,91955235534.34808,725106832408.2236,635777922353.0065,72141991707.17499,55610817478.592285,160741579029.9812,499839243618.7335,25374040264.4332,2018857520099.2288,31258759132.272827,27600366521.9701
13080431310.815468,128993590358.1582,1013166511230.9246,900129972606.8842,97204955009.53104,77861560943.89812,227013646800.71283,667117667598.8052,36831505031.10124,2921292177269.559,44807625260.06973,37810348071.80808
17465270153.521023,173040294193.90552,1352640208920.5127,1219015982454.7751,125090309527.4014,104297526393.50258,306512270263.23346,850086474170.9921,51166699559.40215,4045271430355.971,61509064408.58179,49526063910.03947
22647978861.09117,225233656600.1228,1750579731928.898,1602261786599.0332,155967089921.51285,135566434467.5494,401428097877.8982,1049103384134.6178,69021469519.8264,5438988704884.3545,82034237377.81761,62930066459.12372
28732568711.399864,286560975002.7681,2212249620243.28,2059093297597.184,189772780428.7671,172202641529.98456,513699308123.2032,1262838866792.0237,91071391324.05098,7152526900167.338,107070053981.55309,78133898157.47192
35805861633.984856,357812704393.3736,2740594224340.908,2597657266609.5576,226201120066.9434,214643315029.4088,644884748449.0134,1488249100890.344,118006215468.04294,9236222858079.424,137297506778.38824,95167135860.75406
43932393695.44243,439557020549.4394,3335822623810.202,3224684020702.8247,264707819917.85773,263130885232.11804,796054291280.7958,1720693216898.0986,150508343532.78683,11738870442786.729,173369793550.2869,113971318663.74435
53152330285.75997,532104062281.70544,3995149184360.275,3945272618048.293,304533876383.3478,317700318649.01807,967714208351.8308,1954172631278.156,189228908752.57736,14705813572003.568,215890157296.4826,134399092462.8808
63482172028.24646,635498379023.7703,4712689730745.965,4762534346466.616,344741291524.50214,378163633186.5177,1159742124386.7825,2181669694863.3645,234764714967.7914,18176993850606.76,265387583511.7763,156218555291.44794
74911519840.02438,749506019535.5559,5479580216480.018,5677550127873.777,384147935561.532,444081841850.5372,1371394177542.0342,2395581556573.911,287635208989.2376,22185018344370.35,322294174082.05524,179122410599.94083
87403417308.9912,873708784940.2721,6284241052609.572,6689036347812.936,421577020685.7861,514793024016.5673,1601338541611.1409,2588212222643.41,348261718922.9857,26753317953165.44,386940109255.42267,202741271053.93408
100895065538.62758,1007516193410.7867,7112889915119.37,7792581998371.55,455966455889.3777,589428704338.0912,1847695944950.6653,2752292290964.2734,416945697969.5989,31894458619017.742,459531300236.3614,226660114024.5149
115299009890.92448,1150232321828.55,7950173438841.174,8983240885095.562,486308631707.831,666938858499.1329,2108146785948.82,2881490494446.7007,493852490795.8919,37608440711866.43,540115972645.0461,250436767504.306
130497771060.59464,1301092509993.48,8779860449071.063,10254287834264.393,511504172374.8771,746132489613.5969,2380013443461.7886,2970881287942.4067,578996518888.3148,43882017672037.77,628598697177.9648,273621139655.3365
146336738205.96902,1459313405969.3088,9585620621551.637,11597219286517.115,530785882419.36456,825680093890.6367,2660434248783.023,3017214564565.1816,672231644415.102,50687995214093.29,724660550336.8171,295773963054.3531
162673997022.02917,1624115819151.9338,10351849380774.28,13001896071326.078,543929799089.8335,904242613878.4902,2946606498809.492,3019361774866.0625,773243808056.6825,57984639100770.695,827938317961.0186,316483821443.8959
179347259403.3042,1794720453183.146,11064317662140.729,14454947516046.96,550933619558.6967,980597444887.3612,3235841698892.593,2978603511483.87,881542756447.5636,65715891765539.93,937956451561.3716,335381429229.8085
196164237337.77185,1970445335135.977,11711188148882.797,15937958645768.36,552034076750.333,1053668500679.7274,3525650647982.6904,2898602699456.112,996480605403.5364,73811949914717.66,1054093996303.6086,352142982462.92896
212923409663.7655,2150635172554.7368,12283338727107.645,17438729599181.502,547029934795.9541,1122557764791.6304,3813925355199.897,2785035353304.248,1117264480124.847,82190493505641.34,1175599142831.6082,366478628476.8019
229446428403.6755,2334652748845.2573,12773891770399.098,18943539966312.832,536848535572.0593,1186742890150.257,4098952550242.214,2644637193629.798,1242958535907.9956,90758701743084.4,1301636625358.64,378218208446.57947
245550396542.96808,2521902358597.876,13179753629972.97,20437091954024.6,522032793058.1122,1246136710170.8557,4379472651716.167,2485242953452.605,1372502086957.296,99415096863711.64,1431303262452.994,387204804339.4686
261056481486.99075,2711764176527.99,13501713449715.682,21904372836636.79,503455159347.8295,1300985848057.493,4654668252994.561,2313304890902.958,1504732755157.0547,108052077164436.05,1563620387979.65,393322254476.9064
275794031381.2452,2903538575733.428,13743266100344.41,23330049957660.0,482776500444.4207,1351909555560.209,4924052987732.42,2136386877780.8628,1638411806314.4275,116558884951482.31,1697620563236.5898,396593513036.3143
289604887211.5026,3096352277288.412,13910069164880.549,24698541236835.09,460371533473.1214,1399790745202.1873,5187344625031.98,1963581483214.5256,1772251749928.2512,124824621129393.8,1832361562208.955,397060309003.7047
302349497346.38446,3289183482480.61,14009226270861.637,25994566359795.484,436563957952.0701,1446168164728.2876,5444342263566.562,1804806774306.0063,1904944140585.455,132741358133459.9,1966921463309.3176,394796029732.9111
313915368194.2301,3480870820861.6875,14048548802114.086,27204065687201.74,411581812380.54205,1492855309662.1174,5694804771485.755,1668953655072.339,2035197146412.992,140207134106764.52,2100439385517.2688,389900508973.7644
324211998386.6971,3670125277304.7017,14035668160468.666,28314180095505.043,386852303234.7597,1541575340418.2136,5938393637541.065,1558823080941.7612,2161758578557.4724,147128721327602.3,2232102181073.872,382662547005.621
333189071641.2699,3855550828396.928,13977887471317.604,29314348999889.617,362837634620.1273,1593780259712.8582,6174553439840.002,1473764463091.6042,2283445650014.466,153424114814149.75,2361167119961.0386,373352241014.95
340833895318.8632,4035701394734.05,13880555817085.14,30196324733733.133,340692106399.4167,1650512974234.2036,6402541836468.025,1407463170698.9773,2399176960284.217,159024483773225.66,2486904542129.4854,362220721458.7374
347159754443.9754,4208781587572.432,13742355614752.81,30954543229361.4,320785380011.73346,1712210544534.1482,6621381410694.674,1351463244199.2964,2507998962617.585,163875319923765.12,2608691480673.952,349517395330.33966
352215460646.5074,4373589616885.152,13569348187373.98,31587421290747.53,302751029053.439,1778650150192.829,6829917060813.781,1297977983200.4937,2609106249631.5566,167937192806664.34,2725978879904.1904,335500458396.0869
356069108179.2305,4529552826831.614,13367167869453.94,32097328510313.84,285967554056.4519,1848909708852.0544,7026624815656.281,1242393500259.889,2701859402524.346,171185693653676.25,2838258584368.2275,320428054596.9034
358803603311.66644,4675997561711.761,13138738097248.611,32489553568225.36,270916062745.8478,1921492178286.9604,7210057197316.799,1182769686650.4382,2785795390649.9976,173610929336758.03,2945078722497.3813,304556177557.9041
360543246388.9589,4812313236162.249,12886276705552.232,32774060018847.965,257682977652.2943,1994328167191.778,7379409351850.454,1119682423507.3845,2860629737303.425,175216168631487.2,3046005256121.236,288151289228.79
361401791396.4297,4938074742142.993,12611989816046.473,32962425949097.223,246263469926.7963,2065420678385.541,7533831605356.78,1055514258067.4468,2926258091554.8047,176016147239065.94,3140669818136.7017,271471796594.9296
361486089445.5567,5053084108601.208,12318588664708.191,33070189713180.6,236763320146.62308,2132777373832.0056,7672571220902.465,993495052812.5592,2982753390465.3784,176034552939686.5,3228762323104.823,254757883055.02048
360864080274.82825,5157256484966.193,12009638812317.514,33112701265112.387,229260232108.29745,2194186675402.892,7795130013059.727,936697956127.8809,3030353774844.9272,175304465352433.97,3309979715929.599,238222299582.5785
359658489478.0722,5250818382092.795,11689607484468.68,33106276067572.81,223496775538.33185,2247655891356.3994,7901230256054.388,886668828951.2325,3069442124163.7725,173864263572606.28,3384202762416.1216,222052079933.0186
358022910471.207,5334147924273.613,11363335524076.46,33066031513736.6,218671322939.12057,2291719276254.822,7990807677768.314,843156274699.4574,3100515666562.106,171755008969903.56,3451269059323.8647,206403042264.17383
356040801705.1441,5407638215965.267,11035863555711.03,33009794288465.89,214400702367.62967,2325120144907.922,8063965775356.174,804574996507.0516,3124176319746.4424,169019638477409.62,3511134787134.845,191393539008.69885
353778908045.3339,5472108519028.948,10712119872773.225,32953613256445.312,210393174265.2131,2346936565544.206,8120934198097.682,768739697676.1013,3141088450268.4834,165701763033331.75,3563836931146.6714,177092762116.43463
351292696434.0957,5528169348072.075,10396432164286.56,32908209719349.69,206479566490.702,2356552081269.096,8162000388394.858,733982011668.7446,3151969684119.826,161844949404344.53,3609451115560.658,163521066562.8033
348625883292.85376,5576378623293.736,10092208467559.46,32881152399857.0,202456313622.31525,2353709477097.623,8187531968790.318,699768473757.0499,3157550343544.848,157492456294548.88,3648146013370.109,150664150029.6226
345804699700.97534,5617357511424.35,9801421058620.48,32876985924359.21,197989803577.0757,2338419711046.0693,8197904224862.302,666516224515.9742,3158560735127.939,152687321259476.84,3680101489804.374,138483620066.28845
342870454616.3365,5651735824367.281,9524838000489.77,32897661339383.11,192930541833.7653,2311004159875.4565,8193432026865.503,635733176566.2173,3155709445495.558,147472830629069.1,3705552304593.108,126928061278.2584
339904149566.72754,5680179445234.939,9263566705368.37,32944205920825.52,187161108497.01617,2272197166819.752,8174613773301.653,609447566595.3065,3149670936522.396,141893073945214.94,3724811796902.1206,115946802014.63994
336952541645.34564,5703315157013.927,9018444133760.045,33015326719357.93,180857877695.43265,2222879848292.8096,8142257623835.035,589231777402.0027,3141077767299.9043,135993457414651.86,3738233675508.79,105495944041.8402
334058308996.41473,5721767605896.341,8789784140572.705,33110511582849.24,174442061819.73804,2163990985736.4443,8097117918683.796,575985908490.1093,3130499087812.597,129821139471219.38,3746177478117.932,95557171147.10548
331258683753.7204,5736151220037.271,8577183831647.715,33230135920754.465,168262651361.37784,2097458292949.993,8040024332861.064,569213864498.324,3118440095300.1367,123425305977324.5,3749096561516.103,86138816435.78975
328579952642.92285,5747041179819.044,8380019917122.989,33374907505794.97,162836747092.57172,2025313641551.0195,7971884959998.377,566958585470.0822,3105346955824.361,116857143130701.12,3747471858601.7,77272865305.65454
326041753235.6924,5754996868324.544,8197681210764.135,33546325100792.062,158423372837.62305,1949544248532.628,7893686183816.072,566092910929.1868,3091600531397.26,110169503612118.0,3741823367266.557,68994089953.15312
323659006495.297,5760519599200.062,8029551830150.652,33746713515370.684,155017878692.52515,1872513512565.066,7806500364016.597,564148581419.2007,3077517908053.9136,103416307087680.16,3732730415891.158,61344106240.74168
321432192923.8669,5764069801779.357,7874930150297.71,33979045036702.1,152435489531.72946,1796968491248.243,7711484843095.74,559177122471.479,3063354826890.596,96651751688206.84,3720866041280.704,54353732263.12426
319345830917.3639,5766072500266.179,7732951966630.003,34247106670836.96,150411544944.37286,1725642998128.5437,7609826224754.006,550113739067.9977,3049311052181.384,89929327459143.94,3706919270698.0337,48061240588.09833
317369915820.134,5766892530878.294,7602549373788.917,34554808027910.37,148838059624.71466,1662011820544.1555,7502762107455.98,537243623640.0096,3035531061615.121,83300788718796.11,3691634194969.476,42506021874.45006
315454201264.4322,5766779625064.052,7482337197955.979,34906230259972.094,147749595845.01758,1609524869965.376,7391554391377.921,522621164623.6816,3022109476988.793,76815116639326.5,3675751429072.295,37720336560.485176
313568984488.2306,5766034269773.903,7370643431468.861,35304850636184.38,147228658456.1746,1571597729782.8997,7277424791125.543,509907288293.7401,3009095492268.828,70517577667445.6,3659985004629.5815,33748716504.11605
311675932295.8848,5764935147024.67,7266108506698.024,35753424917668.65,147332657362.83554,1551336188641.0977,7161540767289.047,504003115902.9724,2996497367353.5083,64448855760051.17,3644962530818.6274,30632293182.690887
309722906055.38635,5763690653182.869,7166714766826.726,36253328688165.47,147968978043.39285,1551181543377.2026,7045015054320.804,508980127916.7123,2984288977537.136,58644319547343.76,3631206250078.186,28391028408.27548
307661082668.97473,5762414111901.758,7070766474198.242,36805468013349.35,148465270324.0684,1572557073515.667,6928948568245.264,521415205123.85583,2972419979977.682,53133492730672.25,3619095657966.852,26832150422.449947
305450905389.23456,5761296542656.82,6977151529043.861,37410295480130.77,148199737961.72476,1615580424120.5068,6814404704157.895,536513745420.0322,2960812898511.6675,47940500858100.2,3608896348716.069,25926185225.59713
303056839613.7112,5760450372115.384,6884620669424.374,38066716028329.32,147547730916.1412,1679147710505.214,6702388222267.465,562019239528.4733,2949372387272.485,43083537657956.74,3600692167390.8623,25833997200.009617
300349401093.91833,5759378392966.605,6790029902213.776,38773644670805.52,147451805642.87384,1760228846180.339,6595032603739.401,596298643206.9656,2937575564278.256,38532542100917.75,3601805207092.034,26431490593.9949
297408485876.07886,5758745596717.715,6694623829317.688,39524287790435.24,148432488814.90445,1857403418260.753,6492026873664.035,634492767506.4381,2925683161503.724,34343464511411.33,3603672238984.1416,27514820427.934795
294221315622.0132,5758535460117.382,6597603416663.052,40314147103006.12,150220778213.2746,1968546813712.092,6394078338287.693,671836121808.928,2913544298427.149,30514543727818.44,3606106225006.738,28877535161.66589
290780629438.8061,5758712465195.361,6498202331425.149,41136057622534.03,152466421869.95102,2091397729573.539,6301792743977.779,704554619512.0118,2901003764439.4526,27040021924727.547,3608913347907.237,30313168998.07921
287084170158.4989,5759216720589.623,6395821935894.477,41988065762062.9,154819836505.31976,2223687190588.748,6215659851564.329,730193796090.2517,2887905004413.254,23910459805289.12,3611896375855.4272,31654276044.34837
