Amplitude_Median,Amplitude_Median.1,Amplitude_Median.2,Amplitude_Median.3,Amplitude_Median.4,Amplitude_Median.5,Amplitude_Median.6,Amplitude_Median.7,Amplitude_Median.8,Amplitude_Median.9,Amplitude_Median.10,Amplitude_Median
77.2,71.35,74.0,74.19999999999999,72.6,78.8,76.9,75.1,75.85,79.85,90.3,72.6
75.7,89.69999999999999,68.95,77.6,77.6,95.0,81.6,77.7,71.9,87.0,85.9,73.05000000000001
82.5,72.19999999999999,63.9,74.0,78.9,90.75,83.1,79.9,79.0,84.71666666666667,90.9,83.5
88.1,72.7875,72.175,84.80000000000001,85.69999999999999,86.5,81.1,80.0,69.5,82.43333333333334,82.45,86.6
93.6,73.37499999999999,80.44999999999999,79.69999999999999,81.1,81.175,81.68333333333332,79.2,69.6,80.15,86.65,92.6
95.0,73.96249999999999,79.55000000000001,84.5,78.06666666666666,75.85,82.26666666666667,78.8,73.65,86.5,82.475,94.1
92.8,74.55,75.63333333333334,78.0,75.03333333333333,72.5,82.85,73.0,74.0,86.08,78.3,94.2
87.4,75.13749999999999,71.71666666666667,77.6,72.0,76.7,80.4,73.1,73.425,85.66,74.05,93.0
88.4,75.725,67.8,81.9,76.325,76.05000000000001,78.5875,76.65,72.85,85.24,81.6,91.9
92.7,76.3125,69.75,78.9,80.65,75.4,76.775,70.2,75.525,84.82000000000001,76.85,91.6
83.9,76.89999999999999,74.175,75.1,76.30000000000001,77.9,74.9625,72.8,78.2,84.4,76.0,91.3
92.2,77.4875,78.6,75.2,72.7,76.6,73.15,73.8,78.6,83.98,75.0,91.4
77.8,78.075,66.5,65.5,74.1,76.8,79.3,72.9,89.3,83.56,74.9,90.6
73.9,78.6625,69.9,91.8,74.75,76.8,80.67999999999999,72.4,76.8,83.14,80.8,91.2
72.8,79.25,68.15,84.69999999999999,74.38333333333334,75.5,82.06,72.9,74.19999999999999,82.72,81.9,87.5
73.0,79.25,68.72857142857143,77.6,74.01666666666667,76.525,83.44,73.0,74.7,82.3,66.3,88.7
74.4,79.25,69.30714285714286,72.7,73.65,77.55,84.82000000000001,72.1,75.85,81.88,81.2,87.7
72.6,79.25,69.88571428571429,84.0,73.28333333333333,77.0,86.2,70.9,77.0,81.46000000000001,73.85,86.4
73.6,79.25,70.46428571428572,80.525,72.91666666666667,75.5,84.0,71.8,82.9,81.04,81.4,86.7
75.2,79.25,71.04285714285714,77.05,72.55,74.0,81.8,72.1,69.0,80.62,74.05,88.0
75.05,79.25,71.62142857142858,98.95,72.8,83.6,62.9,71.3,61.2,80.2,75.2,88.2
73.6,79.25,72.2,78.4,73.8,71.4,74.0,73.2,78.25,78.15,75.0,87.8
75.0,79.25,73.35000000000001,73.6,74.8,83.0,85.1,73.4,79.5,76.1,75.15,88.8
75.30000000000001,79.25,74.5,70.69999999999999,75.8,82.1,82.19999999999999,72.6,79.0,76.74166666666666,75.2,89.8
79.4,79.25,75.65,83.55000000000001,76.8,80.5,79.3,71.7,74.0,77.38333333333333,75.2,89.4
76.4,79.25,76.8,64.2,70.7,78.0,62.9,72.7,80.9,78.02499999999999,75.3,89.9
75.1,89.55,77.95,76.8,77.5,77.64999999999999,79.1,74.1,75.5,78.66666666666666,74.65,90.0
77.0,88.99473684210525,79.10000000000001,69.3,78.15,77.3,70.4,72.5,78.3,79.30833333333332,76.3,90.1
78.4,88.43947368421053,80.25,70.19999999999999,78.0,76.94999999999999,79.45,72.8,72.05000000000001,79.94999999999999,75.1,89.7
75.3,87.88421052631578,81.4,76.8,76.3,80.8,73.1,70.9,81.8,80.59166666666667,79.5,89.5
76.3,87.32894736842105,82.55,71.0,72.15,77.75,77.3,72.8,85.1,81.23333333333333,76.0,89.4
77.4,86.77368421052631,83.7,83.85,71.65,76.8,66.7,73.4,74.1,81.875,74.45,90.9
76.5,86.21842105263158,86.3,71.2,70.45,76.5,65.31666666666666,74.8,72.7,82.51666666666667,72.4,92.3
76.9,85.66315789473684,83.97777777777777,74.0,73.9,79.2,63.93333333333333,74.1,77.5,83.15833333333333,66.0,91.1
76.5,85.1078947368421,81.65555555555555,73.2,80.65,73.9,62.55,74.6,73.69999999999999,83.8,64.5,90.3
76.2,84.55263157894737,79.33333333333333,71.65,69.4,74.65,61.375,73.6,73.95,73.25,68.85,90.9
75.7,83.99736842105263,77.01111111111112,75.1,87.2,86.0,60.2,73.5,74.2,62.7,69.4,91.2
77.2,83.4421052631579,74.6888888888889,77.75,89.7,79.85,63.775000000000006,72.6,70.8,65.345,70.2,90.7
76.7,82.88684210526316,72.36666666666667,78.8,89.4,82.95,67.35000000000001,73.15,70.3,67.99000000000001,66.75,90.5
77.1,82.33157894736843,70.04444444444445,76.25,89.75,92.7,70.92500000000001,72.4,64.8,70.635,70.1,89.8
77.9,81.77631578947368,67.72222222222223,78.5,89.05,91.8,74.5,67.3,73.25,73.28,68.7,88.4
78.2,81.22105263157894,65.4,76.0,88.7,93.6,78.075,70.0,74.7,75.92500000000001,67.9,89.9
