Amplitude_Peak,Amplitude_Peak.1,Amplitude_Peak.2,Amplitude_Peak.3,Amplitude_Peak.4,Amplitude_Peak.5,Amplitude_Peak.6,Amplitude_Peak.7,Amplitude_Peak.8,Amplitude_Peak.9,Amplitude_Peak.10,Amplitude_Peak
100.0,100.0,100.0,100.0,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,92.55,100.0,80.7,100.0,93.9,100.0,82.9,87.4,100.0,97.8
100.0,77.3,85.1,100.0,88.8,100.0,92.3,89.0,86.8,86.26666666666667,94.4,96.4
100.0,77.89999999999999,88.1,91.6,92.1,100.0,100.0,100.0,81.1,85.13333333333334,83.9,100.0
100.0,78.5,91.1,89.8,90.0,95.05,96.76666666666668,100.0,80.2,84.0,87.7,97.4
100.0,79.1,80.4,85.1,91.76666666666668,90.1,93.53333333333332,79.2,85.7,87.8,93.0,100.0
100.0,79.7,82.23333333333333,91.8,93.53333333333332,74.7,90.3,89.6,86.7,87.42,98.3,97.4
99.3,80.3,84.06666666666668,90.7,95.3,100.0,82.0,97.8,84.2,87.03999999999999,75.1,96.4
97.9,80.9,85.9,100.0,90.1,92.65,82.65,82.7,81.7,86.66,90.6,97.0
100.0,81.5,70.4,100.0,84.9,85.3,83.3,79.0,90.85,86.28,87.4,96.3
97.0,82.1,78.2,100.0,77.6,100.0,83.94999999999999,90.2,100.0,85.89999999999999,97.5,99.2
100.0,82.7,86.0,90.2,85.8,79.3,84.6,94.7,83.1,85.52,81.4,98.9
97.8,83.3,68.5,72.3,77.0,90.9,100.0,90.3,96.6,85.14,81.7,99.4
89.2,83.9,70.6,100.0,78.0,86.3,99.26,89.7,95.1,84.75999999999999,84.1,100.0
91.0,84.5,75.9,97.05,76.76666666666667,82.9,98.52,81.1,91.9,84.38,91.6,99.3
93.0,84.07272727272728,76.41428571428573,94.1,75.53333333333333,85.25,97.78,98.6,83.0,84.0,94.8,97.5
81.7,83.64545454545454,76.92857142857143,100.0,74.3,87.6,97.04,82.2,86.35,83.61999999999999,82.9,97.1
87.4,83.21818181818182,77.44285714285715,100.0,73.96666666666667,85.7,96.3,80.4,89.7,83.24,91.3,96.1
93.7,82.7909090909091,77.95714285714286,93.25,73.63333333333333,87.95,97.3,79.6,86.8,82.86,100.0,96.3
91.0,82.36363636363636,78.47142857142858,86.5,73.3,90.2,98.3,78.7,83.0,82.47999999999999,87.6,100.0
86.6,81.93636363636364,78.98571428571428,100.0,74.6,83.9,82.1,80.4,63.6,82.1,81.3,99.8
83.0,81.5090909090909,79.5,100.0,75.925,77.4,90.75,88.0,95.0,84.35,77.1,96.5
85.9,81.08181818181818,80.05,100.0,77.25,85.0,99.4,87.1,93.8,86.6,89.8,96.0
83.4,80.65454545454546,80.6,72.8,78.575,88.6,98.9,86.9,83.9,86.43333333333332,86.4,94.9
92.1,80.22727272727272,81.15,100.0,79.9,82.0,98.4,74.5,98.8,86.26666666666667,89.1,94.4
94.0,79.8,81.7,93.8,85.1,80.2,80.5,90.7,91.3,86.1,80.7,94.8
81.1,93.6,82.25,96.2,79.8,81.0,86.5,100.0,86.4,85.93333333333332,85.0,97.8
92.0,93.13684210526316,82.8,98.4,80.1,81.8,72.6,88.0,84.3,85.76666666666667,80.2,95.9
88.4,92.6736842105263,83.35,92.0,85.8,82.6,82.4,85.4,89.3,85.6,93.0,100.0
93.0,92.21052631578948,83.9,100.0,100.0,93.3,84.7,83.4,85.7,85.43333333333332,80.0,94.7
90.9,91.74736842105264,84.45,94.8,81.6,100.0,80.5,86.9,91.0,85.26666666666667,97.8,95.5
90.6,91.2842105263158,85.0,100.0,78.2,87.5,76.6,94.9,74.6,85.1,88.2,100.0
92.4,90.82105263157894,87.5,100.0,72.2,86.1,72.16666666666666,84.3,90.6,84.93333333333332,95.2,95.2
92.2,90.3578947368421,85.16666666666667,91.8,90.7,84.9,67.73333333333333,100.0,82.9,84.76666666666667,100.0,94.6
96.4,89.89473684210526,82.83333333333333,100.0,94.3,76.7,63.3,90.8,90.3,84.6,92.2,94.4
93.2,89.43157894736842,80.5,90.4,79.8,100.0,75.85,80.9,91.8,74.1,79.8,96.1
93.8,88.96842105263157,78.16666666666667,89.0,90.1,100.0,88.4,88.8,87.2,63.6,85.9,96.3
96.6,88.50526315789473,75.83333333333333,100.0,91.7,100.0,88.63333333333334,92.9,84.9,67.01,83.7,95.2
95.0,88.0421052631579,73.5,100.0,92.3,100.0,88.86666666666667,89.4,100.0,70.42,85.7,100.0
89.1,87.57894736842105,71.16666666666666,100.0,96.2,96.7,89.1,89.9,73.2,73.83,81.1,95.5
89.8,87.1157894736842,68.83333333333333,95.1,93.0,100.0,89.33333333333333,100.0,99.1,77.24000000000001,73.5,97.2
91.7,86.65263157894736,66.5,100.0,92.9,97.2,89.56666666666666,93.1,85.4,80.65,88.1,97.0
93.1,86.18947368421053,67.66666666666667,100.0,94.9,100.0,89.8,99.7,79.8,84.06,76.6,96.2
84.9,85.72631578947369,68.83333333333333,90.5,94.9,96.7,88.475,89.0,83.3,87.47,76.1,95.9
85.5,85.26315789473684,70.0,92.1,95.6,95.7,87.15,100.0,78.1,90.88,82.5,95.2
88.4,84.8,71.16666666666667,88.2,95.1,93.8,85.825,95.2,81.7,94.29,78.5,95.4
89.5,84.05454545454545,72.33333333333333,87.6,100.0,88.2,84.5,100.0,76.3,97.7,100.0,95.8
94.3,83.30909090909091,73.5,90.4,94.2,82.7,85.57272727272728,96.6,82.3,93.2,100.0,97.1
94.0,82.56363636363636,74.66666666666667,100.0,93.9,81.3,86.64545454545454,100.0,82.3,92.8,73.5,97.2
94.4,81.81818181818181,75.83333333333333,92.7,94.9,81.3,87.71818181818182,90.1,83.4,100.0,72.4,97.1
86.0,81.07272727272726,77.0,88.4,94.5,94.2,88.7909090909091,100.0,88.8,87.85,79.0,95.8
93.3,80.32727272727273,78.16666666666667,94.8,100.0,85.5,89.86363636363636,85.1,83.6,75.7,73.8,96.0
92.1,79.58181818181818,79.33333333333333,95.3,95.2,89.4,90.93636363636364,89.0,86.8,77.9090909090909,73.1,96.7
88.5,78.83636363636363,80.5,87.3,95.3,100.0,92.0090909090909,92.9,78.9,80.11818181818182,80.5,95.3
90.2,78.09090909090908,81.66666666666667,100.0,95.3,89.1,93.08181818181818,96.45,83.9,82.32727272727273,84.5,94.4
89.5,77.34545454545454,82.83333333333334,100.0,95.9,86.9,94.15454545454546,100.0,75.4,84.53636363636363,77.4,94.1
83.7,76.6,84.0,87.7,96.3,86.2,95.22727272727272,95.8,75.7,86.74545454545455,81.0,94.2
84.9,76.59605263157894,85.16666666666667,90.1,100.0,84.2,96.3,96.6,86.3,88.95454545454545,69.3,93.2
86.2,76.59210526315789,86.33333333333334,100.0,100.0,84.3,94.18333333333334,94.8,76.6,91.16363636363636,93.8,93.7
88.3,76.58815789473684,87.5,93.4,96.1,86.5,92.06666666666666,93.0,83.8,93.37272727272727,76.3,93.3
93.2,76.58421052631579,86.76666666666667,100.0,95.6,93.4,89.94999999999999,95.6,76.2,95.5818181818182,71.9,92.7
95.6,76.58026315789473,86.03333333333333,92.0,95.1,90.5,87.83333333333333,86.1,64.0,97.7909090909091,70.3,92.9
83.6,76.57631578947368,85.3,86.6,95.6,89.8,85.71666666666667,82.5,67.7,100.0,75.8,92.6
84.7,76.57236842105263,84.56666666666666,97.6,94.9,88.6,83.6,96.9,72.1,98.8,71.7,92.6
84.5,76.56842105263158,83.83333333333334,86.0,95.1,89.9,93.2,96.7,78.6,94.05,77.3,93.1
91.4,76.56447368421053,83.10000000000001,88.5,95.1,90.1,77.2,97.5,81.1,89.3,82.3,92.6
83.7,76.56052631578947,82.36666666666667,91.4,100.0,91.2,96.1,96.9,95.1,89.075,84.5,92.8
90.3,76.55657894736842,81.63333333333334,94.8,100.0,93.7,78.4,96.2,91.45,88.85,85.6,93.0
89.1,76.55263157894737,80.9,86.0,94.7,90.4,83.35,96.6,87.8,88.625,76.9,92.6
90.1,76.5486842105263,79.6,79.3,95.3,100.0,88.3,95.5,63.3,88.4,89.7,92.7
93.3,76.54473684210525,79.65,82.1,95.2,91.5,97.0,96.1,75.0,91.05,73.4,92.6
92.9,76.5407894736842,79.7,81.9,94.5,91.2,92.2,95.7,76.5,93.7,87.5,92.5
93.7,76.53684210526315,74.6,96.3,94.6,91.2,87.4,97.1,76.2,84.5,81.8,96.8
91.8,76.5328947368421,75.5,89.0,95.1,100.0,82.6,97.9,79.9,88.375,76.8,92.8
84.2,76.52894736842104,100.0,84.6,95.1,93.9,77.8,98.0,76.7,92.25,91.2,92.5
84.2,76.52499999999999,75.4,93.1,100.0,95.1,84.75,96.6,79.6,96.125,80.8,94.4
92.8,76.52105263157894,77.23333333333333,96.2,99.1,91.6,91.7,96.7,83.2,100.0,77.2,93.3
89.6,76.51710526315789,79.06666666666668,81.7,93.3,82.1,79.9,96.9,82.9,100.0,79.4,94.7
88.0,76.51315789473684,80.9,98.3,100.0,80.1,96.7,98.1,84.0,86.9,86.4,93.5
88.3,76.50921052631578,64.6,92.2,98.4,81.9,91.9,94.8,79.6,88.55000000000001,85.3,93.0
84.5,76.50526315789473,67.63333333333333,95.5,92.7,80.7,89.80000000000001,94.1,78.9,90.2,98.0,93.8
84.5,76.50131578947368,70.66666666666666,89.6,92.6,89.0,87.7,85.2,78.5,87.2,81.5,93.7
80.9,76.49736842105263,73.69999999999999,82.1,97.5,100.0,91.8,93.4,78.5,84.2,94.0,94.8
85.3,76.49342105263158,76.73333333333333,87.8,93.7,88.9,95.9,100.0,77.4,88.1,78.9,93.9
86.1,76.48947368421052,79.76666666666667,80.1,94.1,86.5,100.0,87.7,77.5,90.2,97.1,93.8
79.2,76.48552631578947,82.8,83.1,98.2,79.6,97.9,87.6,76.0,85.45,96.4,94.4
82.4,76.48157894736842,81.07,94.6,93.5,92.3,95.8,87.8,76.1,80.7,94.4,95.2
84.6,76.47763157894737,79.34,88.3,100.0,93.8,93.7,89.1,77.4,90.35,73.1,94.9
86.0,76.47368421052632,77.61,83.4,94.2,91.8,91.6,93.1,76.8,100.0,84.1,93.3
81.4,76.46973684210526,75.88,80.5,96.9,92.8,87.83999999999999,88.4,93.4,85.2,75.4,94.0
82.3,76.46578947368421,74.15,98.5,95.1,91.5,84.08,91.2,80.3,84.86,73.5,94.3
79.4,76.46184210526316,72.42,96.2,97.4,88.8,80.32,95.1,75.3,84.52,71.6,93.7
75.6,76.4578947368421,70.69,84.8,100.0,89.9,76.56,87.6,87.1,84.18,73.5,94.3
75.2,76.45394736842105,68.96,84.9,94.3,100.0,72.8,90.1,86.9,83.84,74.53333333333333,93.6
81.6,76.44999999999999,67.23,96.4,93.7,86.6,74.0,93.5,87.5,83.5,75.56666666666666,92.4
74.8,76.44605263157894,65.5,100.0,92.9,89.5,75.2,93.9,78.4,84.2625,76.6,93.8
74.3,76.44210526315788,65.53333333333333,85.4,92.2,100.0,76.4,91.4,86.8,85.025,79.35,93.1
80.4,76.43815789473683,65.56666666666666,93.8,92.0,86.2,77.6,86.3,78.7,85.7875,82.1,94.9
81.0,76.43421052631578,65.6,,92.2,85.7,78.8,87.0,90.8,86.55,84.85,95.4
74.5,76.43026315789473,65.63333333333334,,94.0,84.5,80.0,87.3,83.9,87.3125,87.6,95.2
75.5,76.42631578947368,65.66666666666667,,92.9,83.5,80.2,88.1,88.7,88.075,86.35,95.3
81.0,76.42236842105262,65.7,,100.0,83.5,80.4,88.4,89.6,88.8375,85.1,96.2
76.7,76.41842105263157,70.06666666666666,,92.7,83.1,85.16666666666667,87.2,89.3,89.6,82.5,96.0
89.6,76.41447368421052,74.43333333333334,,92.7,88.3,89.93333333333334,87.8,88.2,90.3625,81.9,95.3
79.0,76.41052631578947,78.8,,92.2,83.4,94.7,89.5,89.3,91.125,81.3,95.0
78.4,76.40657894736842,83.7,,100.0,98.8,86.3,88.6,89.3,91.8875,83.4,94.7
67.9,76.40263157894736,84.18333333333334,,92.1,95.1,86.2,88.6,89.0,92.65,82.3,95.7
73.9,76.39868421052631,84.66666666666667,,92.2,86.1,87.1,98.7,89.7,93.4125,90.0,100.0
75.2,76.39473684210526,85.15,,92.6,85.7,87.124,87.6,89.1,94.175,83.4,93.2
84.6,76.39078947368421,85.63333333333333,,100.0,85.0,87.148,88.9,82.5,94.9375,84.5,93.2
75.8,76.38684210526316,86.11666666666666,,92.3,84.1,87.172,88.1,88.4,95.7,83.4,93.1
75.3,76.3828947368421,86.6,,94.7,82.2,87.196,87.7,83.0,77.9,100.0,93.7
74.1,76.37894736842105,85.7,,97.2,100.0,87.22,87.1,83.0,80.25555555555556,100.0,93.4
74.0,76.375,100.0,,100.0,97.5,87.244,84.4,84.4,82.61111111111111,82.7,91.7
74.7,76.37105263157895,94.1,,92.4,86.2,87.268,82.7,77.3,84.96666666666667,82.9,91.9
75.2,76.3671052631579,75.1,,100.0,92.1,87.292,84.3,78.3,87.32222222222222,82.9,92.5
76.6,76.36315789473684,100.0,,100.0,84.2,87.316,83.9,78.5,89.67777777777778,83.2,93.5
76.7,76.35921052631579,98.7,,94.5,100.0,87.34,84.6,80.6,92.03333333333332,83.2,92.4
76.9,76.35526315789474,69.4,,95.3,100.0,87.364,85.8,80.4,94.38888888888889,83.0,92.1
86.7,76.35131578947369,75.7,,96.9,88.2,87.388,86.8,67.3,96.74444444444444,77.0,91.7
77.1,76.34736842105262,82.0,,100.0,95.8,87.41199999999999,86.1,68.3,99.1,84.9,91.8
