Counts_Central_moment_6th_order,Counts_Central_moment_6th_order.1,Counts_Central_moment_6th_order.2,Counts_Central_moment_6th_order.3,Counts_Central_moment_6th_order.4,Counts_Central_moment_6th_order.5,Counts_Central_moment_6th_order.6,Counts_Central_moment_6th_order.7,Counts_Central_moment_6th_order.8,Counts_Central_moment_6th_order.9,Counts_Central_moment_6th_order.10,Counts_Central_moment_6th_order
20315421053394.41,105346946471.2046,8327995617831.079,4297545726326.4873,1205281609105.9077,3681553817044.142,8.496495993923318e+16,1896555277958.3936,59099616341.3188,9367189903.281923,3905789953.596747,8476970148210978.0
3550163836.500425,2962066250.0,4164517982754.719,14633051069.370636,61614813.0,47676360249.252594,4642100203.960245,5921317637.782642,82965647.34499316,8418406.0,3996380210.966481,9066161255.01794
2655524522.15142,34012224.0,1040347678.3596796,617831366098.2815,113379904.0,1205255394230.667,302949307.5396305,1114591743.7875595,9379729.70919068,22043589.046875,129746337.890625,367846643.8786824
9423169007.368967,31178025.18880208,540218576.7501523,135240235.515625,13853220.515625,2362834428212.081,11183572362.005482,177578856388.22787,60968449.93141288,35668772.09375,0.015625,2526291479.351448
1913819821.5601013,28343826.377604168,40089475.140625,2644627020.988037,85766121.0,1181954085018.0403,7481249650.104248,111809190.20812662,3844117632.6666665,49293955.140625,64.0,8040864154.221682
2328604832.160292,25509627.56640625,27680.640625,18220061.71655273,45575892008.14999,1073741824.0,3778926938.2030153,13126147.730065132,2780914306.640625,3865852189.659805,572457688796.9977,9025976548.235214
2041134103.433794,22675428.755208336,52194412.45360369,4570488107.750344,91066017895.29996,244.140625,76604226.30178328,50370391.96680934,136272308.5,3608309605.982439,1144915377529.9954,2013437067.7035563
1666253093.647318,19841229.94401041,104361144.26658238,1784222600.6298738,136556143782.44997,21618358244.24491,377149.515625,2369182884.8549247,82497604.4453125,3350767022.305073,11.390625,1274590473.0931792
2335530785.970826,17007031.1328125,156527876.07956108,8334234900.46058,68278079703.72498,11849223522.851564,222158782.38671875,186164632.35767743,28722900.390625,3093224438.6277065,106576441.34145534,374569319.93809247
1854881740.29172,14172832.321614586,1.0,20179060932.33728,15625.0,2080088801.4582183,443940415.2578125,29298670.32191454,219426442166.4602,2835681854.9503407,112870644.68549173,829350555.6744485
972343378.8934448,11338633.510416668,28703352.83333333,619559154054.8257,357.75259344993145,8378105695.469518,665722048.1289062,52768729.70372412,438824161432.5298,2578139271.2729745,199436569.8874866,2200106301.340112
2784738114.0274663,8504434.69921875,57406704.66666666,1629356116.288111,1618762348.0577314,3735752.2877302887,887503681.0,123315629.30882508,6695592.71709917,2320596687.5956087,76630404.13582522,2291672808.523265
600725350.987679,5670235.888020836,8488.524005486974,10592247.240054864,21039.95092773437,23288474853.94719,576348541279.0416,4936512.061843404,495162470.4620798,2063054103.9182425,66592886.71923663,2872884584.8929386
30479217.957873046,2836037.076822918,865.7091906721529,14504512220.221045,1254183.4437585738,103032513.79036574,461134561675.93,39146118.141745366,4846857525.225408,1805511520.2408764,76715247.24440213,2584298190.583711
124362170.2292483,1838.265625,17507175.017333984,24257742857.44385,836126.0927140492,33830851.94619509,345920582072.8184,3792810.726007455,1179314028.5,1547968936.5635104,116963954.58578403,1034424491.267024
100051618.07571144,49983.96875,15011982.110095795,34010973494.666668,418068.7416695246,147376506.7270949,230706602469.7068,178903778.56033683,185718709.0,1290426352.8861442,662255037.280928,3638636925.4966416
34655138.78153125,98129.671875,12516789.202857608,63330329849.373634,11.390625,260922161.50799468,115492622866.59515,19874830.84391862,633603516.683631,1032883769.2087784,78300690.74623322,3074144501.2247195
13995560.38044318,146275.375,10021596.29561942,61138089285.76592,7.771054812528579,591885302.2302976,278643263.4835201,9090404.3594767,1081488324.367262,775341185.5314121,349059452.0966849,3342131706.118767
91001727.9946498,194421.078125,7526403.388381232,32122822514.88296,4.151484625057157,605545066.0553088,2767530623.522281,7847285.750951808,559396725.6666666,517798601.8540464,8242058591.777576,2553013652.135584
174375213.23259413,242566.78125,5031210.481143042,3107555744.0,0.5319144375857355,619204829.88032,5256417983.561043,8339541.136920284,1019327833.9996606,260256018.1766801,369689110.9406722,4187948546.506825
41036710.72824428,290712.484375,2536017.573904855,9777573153.610424,58.768539269555056,64.0,2983337928.097915,249868.1085408124,865.7091906721535,2713434.49931413,25924006.5189094,10609365682.480154
60308866.52986251,338858.1875,40824.66666666666,516643974148.0,298165.5743659027,49590836.49931415,3912522644.459109,36280228.3935247,9156920392.343678,71740013.24965706,211063637.16952968,7132006334.003806
154701112.0254852,387003.890625,36748.59999999999,10350912999746.312,596272.3801925358,112194712.91933838,4841707360.820302,33580932.357818104,2915416769.1174088,140766592.0,3703692516.0,3978116177.511789
64549022.85714286,435149.59375,32672.53333333333,6053445.140625,894379.1860191689,1380473930.501713,4537239431.846864,38429316.82226266,40235283.994424105,129037344.75,181157302.05656904,10154319435.80584
35747361.05466406,483295.296875,28596.46666666666,349226949058.0,1192485.991845802,1340095.640625,4232771502.8734255,74075432.30735734,40482351144.85714,117308097.5,66364330.58801919,6597404344.766197
590997252.0279896,531441.0,24520.4,32972017464.43348,1008652087.6351165,735091.890625,1304801688.5029578,90677534.62403046,2486046985.203125,105578850.25,10584940.47343841,4984498435.3148
15120978.322270988,15625.0,20444.33333333333,14389616887.041754,11.390625,1080581.59375,886994294.0964355,1432893947.1138196,1520152837.598079,93849603.0,300354093.4765866,6411935868.61858
314224983.7062954,333405.0074013158,16368.266666666665,55129688291.54485,4096.0,1426071.296875,4096.0,22884377.486428235,469548936.11008006,82120355.75,385559191.2671119,10341304790.237108
57269488.30496595,651185.0148026316,12292.199999999995,7524244585.207808,575230388.8571428,1771561.0,74220378.765625,23298936.597752564,3624144322.586498,70391108.5,2887999766.4405484,8958016503.855019
194307478.04415,968965.0222039474,8216.133333333331,109561234732.58556,13161295131.745892,3193541956.573387,536937123.2364798,9670984.916574718,802143684.7308798,58661861.25,117649.0,24848095062.54947
94177594.85676636,1286745.0296052631,4140.066666666666,15594608505.666666,83722665.66666667,56629301382.45307,64.0,4238389.066928978,350250.6666666667,46932614.0,7844847313.66015,15620725471.252584
209692228.5500365,1604525.0370065789,64.0,50158607088.04702,24096938.47241211,51735258.348277226,291084301.95610434,69218660.34531777,6637506.0,35203366.75,139897296.93021533,25612184082.37767
43084145.80461458,1922305.0444078948,250593750.0,216121326330.31137,244.140625,320844436.2525355,194056201.6374029,1260088.0513501528,1175832938.875,23474119.5,11589545364.395683,22130860582.847206
69789357.75768754,2240085.0518092103,222750204.2517361,662725295.5931389,891513725.9020803,2716428.4554847325,97028101.31870145,341240460.3041262,102462386.23808002,11744872.25,31484043392.62894,24763108498.02924
238953259.2683868,2557865.0592105263,194906658.5034722,13598460460.855623,475799274.328125,66098690.8674483,1.0,76780774.51957102,4468520625.462276,15625.0,1196138393.9372294,41296874071.79476
35176746.7641629,2875645.0666118423,167063112.75520834,454412388.0130096,3451074.6968449946,13103978139105.703,1730563493.4486306,134805963.1261671,10164175646.96167,7934.5703125,47037454.0417015,19092686708.55409
230178172.76302904,3193425.0740131577,139219567.00694445,507991812.51235753,33264264.383414622,42590518524.81324,3461126985.897261,134887111.94937566,694970625.9055985,244.140625,302781210.4262341,20145538149.55833
406389633.4921263,3511205.0814144737,111376021.25868057,9543841845.000374,1137257.3389357128,8163132300.545902,2894939154.9143844,140272045.18741035,106980456.74048,2413976.6265625,65047157.25219567,40250294375.13314
151466075.18931243,3828985.0888157897,83532475.51041669,49952559224.85616,8040419.579901583,1062947943.8948677,2328751323.931507,18874693.15230075,75685807757.35634,4827709.1125,5076585909.290322,34574936937.15428
333424561.78536826,4146765.096217105,55688929.76215279,25406213526.970345,611270036.3137513,2042878607.344539,1762563492.9486303,12474770.224499805,126599355.68449934,7241441.598437499,18097498.85714286,24744658752.191032
236422397.59097624,4464545.103618421,27845384.013888896,1074271133.2065108,1022307409.087661,7077256821.679512,1196375661.9657536,670570811134.8976,14344452072.969934,9655174.084375,28461720.268037844,25371142070.42535
914223536.590458,4782325.111019737,1838.265625,3050848462.4985294,1611768626.867604,3536223321.4122124,630187830.9828768,55399156.74098325,225092369.09420112,12068906.5703125,581791263.6321359,30070643289.77363
39502659.59362416,5100105.118421053,8140.487241388889,3371450729.493391,623380580.9553598,1745892830.707986,64000000.0,18394297734.10558,48705605.22797279,14482639.05625,47609411.74409419,72406198236.85739
44940756.127565,5417885.125822368,14442.708857777778,1881275999.3928373,357754911.4009841,2651979031.265016,48065536.0,29131993.405675035,19079927.735470925,16896371.5421875,157912366.06123883,26584339074.939552
297334900.55870795,5735665.1332236845,20744.930474166667,2057155062.459573,1698278908.76239,173434650.52987435,32131072.0,340591066.32831687,29783906.25,19310104.028125,359409942.3816129,91400900719.88156
108194311.6300174,6053445.140625,27047.152090555555,129787681.22830024,2380900737.452553,123157470.45333508,16196608.0,6771247511.185288,623469385.5970746,21723836.514062498,12279602.748667195,32613931480.94619
91299900.42354484,5503131.947443182,33349.37370694445,3189459660.319162,2594287032.08164,22981712.044894747,262144.0,5488215613.687481,190463506.94640824,24137569.0,197224428486.4388,22754963963.3777
153513571.7196905,4952818.754261363,39651.595323333335,3462432554.155566,1649344246.334513,20605203.54842259,73420662.671875,4482268498.410367,351727823.3633969,46656.0,62336174774.93408,56252752789.77047
51603906.42653323,4402505.561079545,45953.81693972222,3867945905.450563,2256521795.1578093,9752.868251841332,146579181.34375,36024354758.44628,213523273.7462956,46656.0,1090938.4263242332,31624398691.09413
12948607.61805342,3852192.367897727,52256.03855611111,1148941382.1457343,635558689.8509364,68856838.86912003,219737700.015625,1542465670.8458817,595342169.4124335,297113224.4,860329.8785504394,20393190097.64631
