Counts_Median,Counts_Median.1,Counts_Median.2,Counts_Median.3,Counts_Median.4,Counts_Median.5,Counts_Median.6,Counts_Median.7,Counts_Median.8,Counts_Median.9,Counts_Median.10,Counts_Median
38.0,29.5,32.0,34.0,22.0,41.0,36.0,37.0,36.0,51.5,69.0,30.0
31.0,72.5,18.0,41.0,44.0,92.5,48.0,50.0,27.0,68.0,67.0,27.0
40.0,27.0,4.0,35.0,41.0,76.25,55.0,54.0,45.0,61.16666666666666,86.5,57.5
61.0,27.45833333333333,19.75,57.5,77.0,60.0,52.0,62.0,23.0,54.333333333333336,68.5,61.0
82.5,27.916666666666668,35.5,45.5,51.0,46.5,52.0,57.0,17.0,47.5,73.0,90.0
86.0,28.375,40.5,58.5,43.0,33.0,52.0,42.0,41.5,109.0,59.75,96.0
80.0,28.83333333333333,33.666666666666664,39.0,35.0,21.5,52.0,32.0,28.5,105.26666666666668,46.5,96.0
69.0,29.291666666666668,26.833333333333336,50.0,27.0,34.5,50.5,40.0,24.0,101.53333333333332,35.5,91.0
77.0,29.75,20.0,60.0,36.5,34.75,46.125,41.5,19.5,97.8,50.0,88.0
86.0,30.20833333333333,12.0,57.0,46.0,35.0,41.75,23.0,33.75,94.06666666666666,50.0,85.0
59.0,30.666666666666668,23.0,40.0,29.0,46.0,37.375,41.0,48.0,90.33333333333331,41.0,95.0
75.0,31.125,34.0,35.0,19.0,28.0,33.0,42.0,46.0,86.6,39.0,86.0
32.0,31.58333333333333,11.0,7.0,21.0,27.0,44.0,40.0,87.0,82.86666666666667,38.0,86.0
22.0,32.041666666666664,14.0,81.0,20.5,35.0,48.4,40.0,33.5,79.13333333333333,48.0,80.0
22.0,32.5,14.5,61.5,20.83333333333333,32.0,52.8,40.0,38.5,75.4,47.0,71.0
26.0,33.27272727272727,16.857142857142858,42.0,21.166666666666668,37.75,57.2,41.0,33.0,71.66666666666666,12.0,71.0
30.0,34.04545454545455,19.214285714285715,23.5,21.5,43.5,61.6,41.0,41.5,67.93333333333334,39.5,72.0
