Duration_Central_moment_3rd_order,Duration_Central_moment_3rd_order.1,Duration_Central_moment_3rd_order.2,Duration_Central_moment_3rd_order.3,Duration_Central_moment_3rd_order.4,Duration_Central_moment_3rd_order.5,Duration_Central_moment_3rd_order.6,Duration_Central_moment_3rd_order.7,Duration_Central_moment_3rd_order.8,Duration_Central_moment_3rd_order.9,Duration_Central_moment_3rd_order.10,Duration_Central_moment_3rd_order
241187169.6605722,43612666.37312974,381066034.9216065,161581770.5569848,180840552.9145469,132053507.7080914,13771825054.965466,122902409.93402857,13040646.163647585,12232359.00677399,7921845.952462176,2919051472.306288
4249446.286485846,116227.05999998376,191604982.67338723,14744877.856649522,-1444240.017,-11951518.628740732,2338958.824736841,5588110.343835205,358320.03092592646,-503976.8999999976,8117874.276068381,7946384.521499678
4182720.540489208,-1.7462298274040222e-10,2143930.425167999,66293530.40117868,2.7939677238464355e-09,61823149.53459264,1534199.1420000077,-982612.5794701872,210822.35792592625,-374191.16571874847,-2.6775524020195007e-09,-723644.3381122502
136574.8323910653,-1.697723443309466e-10,1071965.2125839991,-223562.20925926068,-3467629.640999995,135597817.697926,24174983.020740736,22737442.55351949,-5982.573259259651,-244405.43143749933,-2.6557245291769505e-10,4758671.454274237
-2530091.7545238617,-1.6492170592149094e-10,-6.984919309616089e-10,7684185.908531256,0.0,67798908.848963,15736901.134827156,-58412.31735054606,2225713.770000003,-114619.6971562502,5.820766091346741e-10,-5654413.672868227
-3608723.233000357,-1.6007106751203534e-10,5.0022208597511047e-11,129768.8040000002,14355398.940469136,0.0,7298819.248913579,-198250.5549096502,0.0,-4445718.031999999,203772198.1737037,-4883710.901343556
-3029620.8722874494,-1.5522042910257974e-10,1290414.021802469,15465247.86523182,28710797.88093828,-1.318767317570746e-11,-1139262.6370000006,46685.10996309351,234085.4243437511,-4136629.7578666657,407544396.3474074,-1538985.997892136
-1504059.526394697,-1.5036979069312412e-10,2580828.043604938,-789325.9243206976,43066196.82140741,21678271.787999984,0.0,1949924.356068368,117042.71217187484,-3827541.483733332,1.1368683772161605e-11,-962490.094929444
-2356389.579453726,-1.4551915228366852e-10,3871242.065407407,16464060.485211112,21533098.410703704,11333060.185451886,-6.984919309616089e-10,70279.81391015633,-1.3969838619232178e-09,-3518453.209599999,-830550.3075512481,-533984.1785578346
-2321448.0037105605,-1.406685138742129e-10,-5.258016244624741e-13,10573984.191888016,0.0,987848.5829037884,-1.3969838619232178e-09,614011.9081611284,29488696.57747556,-3209364.935466666,-945315.9082534944,-386775.0559641813
-1503743.250308551,-1.3581787546475727e-10,-155587.07396296263,62615593.88822389,-7216.978259259304,4709889.442626339,-2.0954757928848267e-09,270640.27658201434,58977393.15495112,-2900276.661333333,-479387.5624147515,-1221527.226866461
-3642457.5853057816,-1.3096723705530164e-10,-311174.14792592527,5998193.701504372,7343123.833994173,642772.4966149373,-2.7939677238464355e-09,167136.5405556347,125769.99027988312,-2591188.3872,-674116.6634344386,-1095395.356179905
1839856.234105211,-1.26116598645846e-10,305.56607407407984,252663.0447407408,551.808281250002,6611728.719715364,179601172.77094463,62235.99022861679,-1176713.101872,-2282100.113066666,-632160.8547634593,-1251050.5601118563
623653.9235334562,-1.212659602363904e-10,12553.540740740742,3547268.7306180024,-15834.449509259255,4003684.605839543,143982465.4312293,-353018.76741590217,2738047.519958466,-1973011.8389333328,-1163479.33944643,-694956.4275001815
549238.8498709464,-1.1641532182693479e-10,638684.4239999999,8022941.643147133,-10556.299672839505,409767.312417977,108363758.09151398,-59156.21073313025,968086.3152187496,-1663923.5647999998,-723722.6043542041,839670.237454503
221276.00542431424,-1.0583211075175888e-10,545929.433142857,12498614.555676265,-5278.149836419752,1783455.5952089897,72745050.75179866,69033.4464482392,1280379.8121562488,-1354835.2906666663,1458783.4912890813,2551703.277438583
1096944.497438217,-9.5248899676583e-11,453174.4422857142,32192956.23215626,0.0,3157143.878000002,37126343.41208333,-164872.9013800637,1406928.90052394,-1045747.0165333328,-174380.16324305607,2154559.2216982567
142605.03075689336,-8.466568860140709e-11,360419.4514285713,41909906.40873629,8.002086419753036,2850386.9715642445,1507636.072368002,-116390.84844516698,1533477.9888916316,-736658.7423999999,181739.47851640303,2207098.83908192
16094.473555827495,-7.408247752623123e-11,267664.46057142847,23521365.42741502,16.004172839506072,699077.9667741237,-2318301.2588160005,11985.212089499875,-1938991.3464999967,-427570.46826666687,-846599.6136755967,1939953.5124550927
1425137.0124592502,-6.349926645105535e-11,174909.46971428563,5132824.44609375,24.006259259259107,-1452231.038015997,-6144238.590000004,-26296.064425192708,3738878.534413996,-118482.19413333292,1187989.301058594,2185226.0212819367
434324.692716857,-5.2916055375879446e-11,82154.47885714273,-1827925.806074064,1322.1785769704886,-1.0550138540565968e-10,1425778.928097585,12180.96899308686,-7564.829999999999,190606.08000000007,100687.01989588334,3684761.437657552
857343.6827001036,-4.233284430070356e-11,-10600.512000000046,70876727.08300799,-48378.403201383,680664.7679999996,1045976.7886784204,-203739.7580514589,6924345.034463992,3263869.2170370403,-43309.733177843096,2884301.295217935
998196.4675383682,-3.1749633225527674e-11,-9540.46080000004,221539863.05723727,-98078.98497973647,-1015350.8153673048,666174.6492592558,-358039.8681389306,2832991.225714277,6337132.3540740805,7058948.092499997,235875.20242820296
-296034.7086997089,-2.1166422150351788e-11,-8480.409600000037,0.0,-147779.56675808996,-1995634.793667638,1943207.9954962265,-456286.4789092944,149131.2625364427,5809037.991234574,917638.3084515712,2330134.5284258444
355711.9952061915,-1.0583211075175896e-11,-7420.358400000032,98866127.52299996,-197480.14853644345,0.0,3220241.3417331968,-1027604.457325466,26467030.91200584,5280943.628395068,235858.76880118367,1922924.343840537
2228899.250958667,0.0,-6360.307200000028,16091538.740814814,5000738.234074078,2.6193447411060333e-10,2967752.511728119,-888650.7938121206,-2725537.6242592544,4752849.265555561,55435.91518238976,1215838.1973576136
371828.1487269052,0.0,-5300.256000000023,10654381.850422964,-2.182787284255028e-11,7.761021455128987e-11,827422.8840000015,-776101.59644855,1355178.596769672,4224754.902716054,791830.770157009,-1695373.0579795633
2252541.487295207,0.0,-4240.204800000018,26806613.135643862,0.0,-1.0671404500802355e-10,0.0,-344591.4270013955,761670.7823520054,3696660.539876546,-1903731.5990353115,-1658344.2363180078
244898.93043787725,0.0,-3180.1536000000133,2767964.9433181584,-375947.8510145812,-2.9103830456733704e-10,-4.6566128730773926e-09,-372099.2886866386,4570358.231824216,3168566.17703704,9884338.634571427,-3242081.77316524
715589.0748592213,0.0,-2120.102400000009,41746118.30576471,17372646.820449118,12752022.399999993,3562426.275936001,-98001.35013842676,-120875.72040000113,2640471.8141975338,-3.6026737149086336e-14,1005102.2124419154
