Duration_Central_moment_5th_order,Duration_Central_moment_5th_order.1,Duration_Central_moment_5th_order.2,Duration_Central_moment_5th_order.3,Duration_Central_moment_5th_order.4,Duration_Central_moment_5th_order.5,Duration_Central_moment_5th_order.6,Duration_Central_moment_5th_order.7,Duration_Central_moment_5th_order.8,Duration_Central_moment_5th_order.9,Duration_Central_moment_5th_order.10,Duration_Central_moment_5th_order
2039826313542056.8,49567366434216.47,2266542370582931.0,827477043751822.4,839971582069628.1,328730163058966.1,2.09439881135512e+18,870306621345459.8,7548271402334.495,4666853720137.045,2486248743802.333,2.7269705516919066e+17
1089869969117.1226,45730634007.96554,1133346716035636.2,5150553218057.751,-57803889345.070274,-2519919632721.1523,767286882082.6566,2923586467231.257,13074721962.056334,-10334457915.634949,3360974263439.659,2484265340123.3784
893089298701.189,-1.6689300537109375e-06,151061488341.54825,144826785444590.97,0.00018310546875,76606755158680.67,122878003041.48584,34240595999.30286,2356436453.598674,-7931548452.543127,-7.43865966796875e-05,-79409086831.2913
3475571711331.476,-1.6093254089355469e-06,75530744170.77411,-10164612568.371002,-288086075965.00525,155733429950082.5,6452695543098.868,105495736482028.95,-105271386.4975376,-5528638989.451304,-6.854534149169922e-07,8337042756131.674
-180064266842.52927,-1.5497207641601562e-06,-2.6702880859375e-05,2134152949448.6284,0.0,77866714975041.25,4283784909847.6494,15484769707.52476,172952019020.98068,-3125729526.3594823,3.337860107421875e-06,-1775493397285.919
-503197221525.78656,-1.4901161193847656e-06,4.936009645462036e-08,1383424125.9894023,5596016909592.914,0.0,2114874276596.4304,-10393648026.651676,0.0,-379405579143.3375,403809923034702.3,-1733933491352.9404
-392563011915.0985,-1.430511474609375e-06,105080055488.76942,4870948210283.048,11192033819185.828,-6.984919309616089e-09,-54036356654.78906,813109262.0108542,13998770206.791414,-353934396522.1209,807619846069404.5,-418142369575.9111
135023922162.26476,-1.3709068298339844e-06,210160110977.53885,-43619610174.91404,16788050728778.742,8967916466071.85,0.0,776817347251.1405,6999385103.395669,-328463213900.90424,5.005858838558197e-09,-273746748349.3818
-336024288184.53845,-1.3113021850585938e-06,315240166466.3083,7890649884604.285,8394025364389.371,4524482730343.371,-6.103515625e-05,5628342622.420505,-7.62939453125e-05,-302992031279.6876,-39584839695.065,35865224096.14975
-250880713445.766,-1.2516975402832031e-06,-2.137312549166381e-11,3769397018593.4727,0.0,81048994614.89201,-0.0001220703125,23191946682.48437,25200706821144.348,-277520848658.471,-43647371638.55707,85948445136.4647
-203541382946.6233,-1.1920928955078125e-06,-3997437320.873449,50495741838511.78,-22569317.06303245,4008866197448.4497,-0.00018310546875,9901393448.061363,50401413642288.695,-252049666037.2544,-51359660200.3366,-311952884214.7032
-547619253087.3617,-1.132488250732422e-06,-7994874641.746898,871373558809.6833,1221882329677.0803,54442262043.98254,-0.000244140625,21449790488.46838,2045699256.9700944,-226578483416.0377,-40613948013.566574,-13925309140.394337
181195745097.8477,-1.0728836059570312e-06,167176.8967152296,3913267695.881902,218943.8495595709,5460352381277.322,232195556795903.47,1099623210.8581133,-61600313892.79093,-201107300794.8211,-35235193723.936775,-216306912312.6913
38264064521.0833,-1.0132789611816406e-06,23418490.76806584,4215854021554.671,-50078993.60344964,898770920034.8547,185793161507115.5,-24218189357.54721,895779806493.1481,-175636118173.60446,-57804075585.48038,30989500290.78701
26421501531.785137,-9.5367431640625e-07,14354091797.707191,4110257336452.038,-33385995.735633098,14406211756.116352,139390766218327.5,-5537981436.906447,126612868937.47523,-150164935552.38782,-26608133534.807568,167418755624.51013
22041050267.80864,-8.669766512784091e-07,12286778940.540792,4004660651349.405,-16692997.867816549,262569618685.17136,92988370929539.52,14650514212.06184,69568548830.01509,-124693752931.1712,321029079774.47217,1456225808101.8198
116985075460.33408,-7.802789861505681e-07,10219466083.374392,13601882838374.354,0.0,510733025614.2263,46585975640751.53,-15688143803.554337,149104660445.64435,-99222570309.9546,34484613739.691605,913177803962.876
6035448466.080325,-6.935813210227273e-07,8152153226.207995,27745518416944.7,210.5301737311372,526319675165.23865,183580351963.5601,-11709818724.304152,228640772061.2736,-73751387688.73792,32525659951.54399,954199650736.2948
14254771530.45807,-6.068836558948864e-07,6084840369.041596,14118440497871.518,421.0603474622744,196081168520.46924,-528162012891.56085,-6997690862.009907,-177048125838.36557,-48280205067.5213,1055872464069.8888,745584453316.1958
233691601432.11423,-5.201859907670454e-07,4017527511.8751984,491362578798.3362,631.5905211934115,-134157338124.3002,-1239904377746.682,-5722415748.800021,363279698975.03015,-22809022446.304688,194460606870.07407,1207128236139.308
28878071932.283924,-4.334883256392046e-07,1950214654.7088,-431639565527.80695,915906.8021864498,-2.1979212760925293e-07,283046822414.92755,1187059714.071463,-10473633.2155,2662160174.912001,2766632499.2265654,2277713899790.526
