Duration_Peak,Duration_Peak.1,Duration_Peak.2,Duration_Peak.3,Duration_Peak.4,Duration_Peak.5,Duration_Peak.6,Duration_Peak.7,Duration_Peak.8,Duration_Peak.9,Duration_Peak.10,Duration_Peak
3580.7,1478.3,3169.9,2893.0,2555.1,2158.8,12886.9,3223.3,1167.3,1058.6,1111.6,10006.5
901.9,770.4,1807.85,940.8,375.1,1054.3,798.8,956.0,392.6,551.4,1065.0,838.2
950.4,281.2,445.8,1845.1,523.6,1338.25,638.2,813.4,458.8,499.3333333333333,864.3,571.1
1739.5,279.825,422.8,564.2,705.6,1622.2,969.6,2538.9,333.2,447.26666666666665,595.3,1719.5
1285.2,278.45,399.8,785.1,604.8,1056.45,803.7333333333333,817.4,482.4,395.2,579.2,1060.4
934.2,277.075,304.9,452.4,744.2333333333333,490.7,637.8666666666667,443.8,539.7,803.1,1267.45,1316.6
984.9,275.7,395.0333333333333,929.3,883.6666666666667,193.5,472.0,473.9,422.1,780.4133333333334,1955.7,1233.2
1417.5,274.325,485.1666666666666,628.9,1023.1,1037.8,406.3,811.1,413.55,757.7266666666667,229.2,1180.4
1058.3,272.95,575.3,1043.5,705.6,773.0999999999999,439.95,480.7,405.0,735.04,685.2,1238.1
1194.8,271.575,113.6,1175.3,388.1,508.4,473.6,484.2,923.05,712.3533333333334,567.2,1271.9
680.3,270.2,197.85,1305.0,278.6,1227.7,507.25,650.2,1441.1,689.6666666666667,573.8,1308.7
798.8,268.825,282.1,676.4,641.7,575.9,540.9,764.9,492.4,666.98,545.8,1642.8
596.5,267.45,113.9,234.2,161.6,1146.5,1606.2,564.7,830.5,644.2933333333333,560.1,1432.8
466.8,266.075,168.7,1375.7,149.1,799.4,1440.68,565.9,837.8,621.6066666666667,550.5,1575.7
421.3,264.7,285.2,1127.9,158.76666666666665,492.9,1275.16,430.8,592.4,598.9200000000001,510.3,1248.5
530.5,274.7818181818181,279.6142857142857,880.1,168.43333333333334,575.65,1109.64,744.0,482.2,576.2333333333333,735.9,1575.5
563.0,284.8636363636364,274.0285714285714,1025.7,178.1,658.4,944.12,490.5,574.15,553.5466666666666,637.5,1540.3
421.3,294.94545454545454,268.4428571428571,1221.8,173.06666666666666,759.2,778.6,549.1,666.1,530.86,604.4,1539.6
538.1,305.0272727272727,262.85714285714283,884.3,168.03333333333333,642.4000000000001,778.8,554.5,624.0,508.17333333333335,1143.6,1516.7
735.1,315.1090909090909,257.27142857142854,546.8,163.0,525.6,779.0,543.0,475.6,485.4866666666667,637.3,1553.1
488.2,325.1909090909091,251.68571428571428,1214.3,190.4,436.2,535.0,551.0,55.1,462.8,335.4,1652.4
581.9,335.27272727272725,246.1,1238.8,221.525,382.2,688.25,549.4,836.9,565.95,331.5,1535.3
463.9,345.3545454545455,256.63,1640.1,252.65,624.3,841.5,504.5,814.8,669.1,767.0,1307.2
369.8,355.4363636363637,267.16,386.0,283.775,728.8,829.65,547.7,550.5,647.525,487.9,1566.8
521.9,365.51818181818186,277.69,1373.5,314.9,397.2,817.8,505.0,858.6,625.95,513.3,1605.3
764.0,375.6,288.22,714.9,536.6,382.7,512.2,559.3,721.6,604.375,427.8,1627.1
527.6,533.1,298.75,917.7,210.5,385.0,618.1,987.9,602.9,582.8,451.2,1491.9
914.2,519.4,309.28,971.0,287.1,387.3,274.6,531.5,553.9,561.225,475.4,1558.1
582.7,505.7000000000001,319.80999999999995,701.3,576.2,389.6,607.3,581.8,644.3,539.65,798.4,1697.6
534.6,492.0,330.34,1249.7,1142.9,826.8,509.0,538.2,495.7,518.075,392.5,1753.5
647.8,478.3,340.87,769.2,432.6,1747.9,359.7,438.4,615.5,496.5,882.4,1729.1
835.2,464.6,351.4,1504.9,357.0,468.6,438.3,698.4,410.3,474.925,502.2,1698.8
568.8,450.9,355.3,1761.4,134.4,472.8,315.5,484.7,618.2,453.35,761.0,1668.7
773.5,437.2000000000001,329.6222222222222,747.9,527.1,465.9,192.7,833.7,466.8,431.775,967.3,1661.7
753.7,423.5,303.94444444444446,1008.6,649.7,399.2,69.9,523.7,756.8,410.2,526.7,1851.5
629.0,409.8,278.26666666666665,1081.0,281.1,2228.0,299.75,542.9,795.6,273.9,326.3,1492.0
821.9,396.1,252.5888888888889,708.6,592.4,1100.1,529.6,482.0,606.4,137.6,560.9,1742.4
808.2,382.4,226.9111111111111,1145.7,595.8,959.4,515.3833333333333,635.7,512.7,189.99,598.8,1725.3
718.7,368.7000000000001,201.2333333333333,1301.8,892.4,1068.4,501.1666666666667,496.0,1092.6,242.38,619.2,1893.1
950.0,355.0,175.55555555555554,1447.5,778.7,868.5,486.9500000000001,512.3,342.0,294.77,404.9,1717.2
968.9,341.3,149.87777777777777,1028.1,812.3,1447.4,472.73333333333335,2287.9,984.7,347.16,321.4,1574.1
1293.3,327.6,124.2,1403.0,778.0,1356.9,458.51666666666665,483.1,488.5,399.55,438.0,1593.2
753.9,313.9,129.76666666666668,1040.0,783.4,1312.2,444.3,1412.5,470.3,451.94000000000005,403.9,1658.8
670.3,300.20000000000005,135.33333333333334,1316.5,783.4,1298.0,420.8,554.8,452.2,504.33,306.6,1427.0
742.7,286.5,140.9,1270.6,832.4,790.8,397.3,812.1,337.6,556.72,439.6,1927.8
819.1,272.8,146.46666666666667,893.2,891.4,767.4,373.8,722.8,439.8,609.11,325.0,1622.2
853.6,271.3727272727273,152.03333333333333,1270.6,1008.0,679.8,350.3,753.6,452.4,661.5,1241.2,1516.2
951.6,269.94545454545454,157.6,1180.7,819.5,664.8,377.45454545454544,771.4,691.2,522.3,1093.5,1775.7
698.6,268.51818181818186,163.16666666666669,1237.4,923.4,401.3,404.6090909090909,896.5,834.1,513.8,264.2,1629.0
605.7,267.0909090909091,168.73333333333335,791.6,833.2,436.9,431.7636363636364,586.9,822.0,819.7,260.4,1600.0
525.9,265.6636363636364,174.3,583.9,817.2,1154.1,458.9181818181818,912.5,717.8,540.1500000000001,367.8,1698.6
657.3,264.23636363636365,179.86666666666667,808.1,1509.7,651.2,486.07272727272726,595.7,389.2,260.6,352.7,1529.2
615.7,262.8090909090909,185.4333333333333,1434.2,779.2,637.4,513.2272727272727,507.8,800.8,343.3272727272728,352.9,1589.9
672.8,261.3818181818182,191.0,1544.3,942.8,1274.7,540.3818181818182,873.2,441.1,426.0545454545455,380.4,1494.9
871.5,259.9545454545455,196.56666666666663,1519.5,939.9,628.4,567.5363636363636,882.4000000000001,860.5,508.78181818181815,650.5,1793.7
582.8,258.5272727272728,202.13333333333333,1885.6,850.0,751.7,594.6909090909091,891.6,370.5,591.5090909090909,446.9,1339.7
669.8,257.1,207.7,1567.7,1008.6,932.1,621.8454545454545,901.7,335.9,674.2363636363636,426.3,1117.7
793.4,256.00657894736844,213.26666666666665,1835.4,1881.8,968.9,649.0,949.9,545.5,756.9636363636364,271.7,1181.1
742.8,254.91315789473688,218.8333333333333,1634.6,1440.9,818.6,631.1333333333333,860.6,284.4,839.690909090909,549.3,1543.7
596.2,253.81973684210527,224.4,1369.9,940.1,632.4,613.2666666666667,881.2,379.4,922.4181818181818,364.7,1173.8
690.0,252.7263157894737,226.66666666666669,1262.6,886.4,877.2,595.4,820.8,289.4,1005.1454545454544,330.7,1263.1
706.7,251.63289473684213,228.9333333333333,1729.2,828.2,786.6,577.5333333333333,407.0,125.7,1087.8727272727274,330.6,1449.7
815.3,250.5394736842105,231.2,1832.5,958.4,810.6,559.6666666666666,749.6,130.6,1170.6,326.9,1237.1
724.8,249.44605263157897,233.46666666666667,1992.7,889.4,736.1,541.8,722.5,334.8,807.1,427.6,1226.5
846.6,248.35263157894727,235.7333333333333,1418.8,882.7,686.3,610.6,721.9,395.5,599.8,498.2,1562.0
832.3,247.2592105263158,238.0,1678.6,1146.0,940.8,301.7,725.7,452.2,392.5,846.5,1287.2
1020.3,246.16578947368424,240.26666666666668,1449.8,1543.8,806.4,643.6,757.0,534.9,419.05,640.2,1650.8
904.8,245.07236842105263,242.53333333333336,1126.6,1627.4,711.0,334.0,717.9,534.3499999999999,445.6,474.6,1552.8
861.8,243.97894736842107,244.8,845.3,1295.1,675.7,437.5,721.7,533.8,472.15,573.1,1672.9
763.5,242.8855263157895,370.4,707.8,1364.5,1410.3,541.0,721.8,76.7,498.7,562.6,1433.6
741.9,241.7921052631579,413.85,641.9,1247.1,803.1,711.4,718.4,196.1,576.95,405.2,1321.6
1239.1,240.69868421052632,457.3,946.6,1173.4,856.1,620.725,711.1,384.8,655.2,573.7,1506.2
741.5,239.6052631578948,235.8,892.7,1147.7,892.2,530.05,718.2,354.2,471.9,541.8,1580.3
737.4,238.5118421052632,184.9,945.9,1161.2,1362.9,439.375,906.7,426.8,839.6999999999999,663.5,1626.5
705.3,237.4184210526316,1005.1,836.7,1008.0,757.7,348.7,831.0,391.9,1207.5,727.7,1718.1
716.4,236.325,165.2,906.3,6826.0,781.8,441.6,718.3,393.3,1575.2999999999995,652.7,1748.6
805.9,235.23157894736843,196.6,848.3,1079.0,692.2,534.5,700.9,515.8,1943.1,375.6,1683.8
725.6,234.13815789473685,228.0,650.0,1043.6,660.7,708.0,717.9,523.9,1058.0,330.4,1663.8
610.7,233.0447368421053,259.4,947.9,1406.8,491.9,966.3,722.4,562.0,454.5,527.0,1354.1
641.2,231.9513157894737,85.8,533.4,984.4,533.7,620.2,797.6,783.8,519.45,580.9,1640.8
519.4,230.85789473684213,121.4,942.9,1002.5,497.9,503.9,717.7,559.9,584.4,759.8,1701.4
627.5,229.7644736842105,157.0,712.7,1010.1,484.0,387.6,534.0,456.2,511.55,551.2,1808.2
503.7,228.67105263157896,192.6,593.5,959.1,1301.0,490.8666666666667,625.4,484.7,438.7,868.5,1781.9
550.4,227.5776315789473,228.2,631.8,1109.0,743.2,594.1333333333333,970.2,446.2,491.4,349.9,1763.5
591.6,226.4842105263158,263.79999999999995,755.3,1073.4,484.1,697.4,520.5,328.2,511.0,932.7,1724.9
458.1,225.3907894736842,299.4,868.5,1458.1,467.7,672.225,517.0,310.3,392.2,677.9,1764.0
430.6,224.29736842105265,280.14,963.5,887.8,997.6,647.05,568.3,503.9,273.4,642.5,1822.4
539.1,223.20394736842107,260.88,779.7,858.7,899.3,621.875,625.3,323.3,488.75,336.5,1790.9
487.1,222.11052631578949,241.62,661.9,918.6,1048.6,596.7,635.4,382.8,704.1,458.1,1673.2
465.5,221.0171052631579,222.36,692.1,922.0,1311.7,507.78,671.5,862.4,757.5,170.5,1702.4
606.3,219.92368421052632,203.1,918.4,906.8,765.1,418.86,695.7,442.4,689.04,230.95,1815.8
392.5,218.8302631578948,183.84,930.1,1154.7,764.0,329.94000000000005,744.6,383.3,620.5799999999999,291.4,1775.9
371.8,217.7368421052632,164.57999999999998,1044.5,988.2,764.6,241.02000000000004,741.0,820.3,552.12,292.3,1742.9
380.1,216.6434210526316,145.32,1175.5,943.0,1402.7,152.1,876.0,573.9,483.66,264.9,1631.4
452.9,215.55,126.06,1006.7,1067.7,747.8,176.13333333333333,672.7,717.3,415.2,237.5,1522.3
215.0,214.45657894736843,106.8,1178.0,970.5,761.5,200.16666666666663,672.4,640.9,428.5625,210.1,1507.7
240.8,213.36315789473684,91.83333333333331,685.1,962.2,1088.9,224.2,604.7,676.7,441.925,280.2,1600.4
432.6,212.2697368421053,76.86666666666666,2365.2,1053.8,751.2,248.2333333333333,607.4,541.4,455.2875,350.29999999999995,1475.3
422.8,211.17631578947368,61.9,,919.7,741.1,272.26666666666665,619.7,646.4,468.65,420.4,1377.8
550.8,210.0828947368421,46.93333333333333,,948.2,696.4,296.3,626.9,624.0,482.0125,490.5,1604.1
474.5,208.9894736842105,31.96666666666667,,1004.9,768.1,319.0,624.4,668.0,495.375,566.7,1757.7
453.5,207.89605263157893,17.0,,1486.9,692.5,341.7,646.5,788.6,508.7375,642.9,1667.0
482.1,206.80263157894737,86.5,,1142.5,639.8,465.8,708.5,706.1,522.1,507.1,1129.8
497.6,205.7092105263158,156.0,,1053.4,948.1,589.9,659.6,800.1,535.4625,470.0,1381.5
508.8,204.61578947368423,225.5,,974.8,745.3,714.0,708.6,812.6,548.825,432.9,1657.7
512.3,203.52236842105265,464.1,,1025.8,882.7,842.4,685.0,632.8,562.1875,621.5,1192.8
