Energy_Central_moment_3rd_order,Energy_Central_moment_3rd_order.1,Energy_Central_moment_3rd_order.2,Energy_Central_moment_3rd_order.3,Energy_Central_moment_3rd_order.4,Energy_Central_moment_3rd_order.5,Energy_Central_moment_3rd_order.6,Energy_Central_moment_3rd_order.7,Energy_Central_moment_3rd_order.8,Energy_Central_moment_3rd_order.9,Energy_Central_moment_3rd_order.10,Energy_Central_moment_3rd_order
1.6005237823148434e+22,1.7732917068343526e+21,5.261389691675139e+21,9.729351875154917e+21,2.90635324611537e+19,2.868229327693223e+21,1.866278024815953e+23,2.9753646057349736e+21,5.757790021564425e+21,6.022327408835606e+21,1.451915397493928e+22,4.765601186864254e+21
6.730099608483953e+20,6.360698936059154e+20,2.6307093228235905e+21,2.5453898568362817e+21,53346362118000.0,7.244526196221063e+21,1.316961312514551e+19,1.195386532631536e+21,1234951282127748.2,4090414740740720.0,1.375249061584239e+21,4.346912968576041e+20
1.038394750532004e+21,0.0,2.895397204193189e+16,6.708894665063035e+20,0.0,2.3058840194430395e+22,6.59716686087407e+17,1.114518492586547e+17,7685863291259256.0,2195022487150063.2,0.0,1.3391017809863631e+18
1.2865366034476394e+21,0.0,1.4476986020965944e+16,1.13155492768e+18,6.998118416687813e+17,3.887315419263972e+22,2.108573620562296e+22,1.6840616945782255e+22,1536183694752000.0,299630233559406.5,0.0,1.0993321795341993e+21
8.95176283654463e+20,0.0,0.0,1.236507620564399e+17,0.0,1.943657709631986e+22,1.4057169718892682e+22,4.2306061678781325e+19,2048460431350592.0,-1595762020031250.0,0.0,7.858690992283344e+18
1.3005594869537168e+20,0.0,0.0,-5420497535156249.0,1.537612132655865e+19,0.0,7.028603232162402e+21,-20820162907038.496,0.0,-8.68541492865926e+16,3.25339714835036e+20,1.9891105603506693e+18
1.9637871220077065e+20,0.0,1.6327924088172774e+17,3.1413867921130144e+19,3.07522426531173e+19,0.0,3.67454321225e+16,4.075555213983396e+16,1.1099374860663224e+17,-8.10668563613136e+16,6.50679429670072e+20,1.6004824224326627e+19
3.872585244837986e+19,0.0,3.265584817634555e+17,4.005132883236777e+17,4.612836397967595e+19,4.710190325860476e+21,0.0,4.856919355251819e+19,5.549687430331612e+16,-7.527956343603458e+16,0.0,-2.1620659002406152e+18
5.185747100137871e+19,0.0,4.898377226451832e+17,1.2836619679462858e+21,2.3064181989837976e+19,2.3550967078834188e+21,0.0,1699353422718750.2,0.0,-6.949227051075557e+16,2.865812237446781e+16,6.198897348206313e+18
7.50376882368273e+19,0.0,0.0,3.870811346272848e+21,0.0,3089906361516035.5,0.0,152321190923076.94,9.586899359818414e+21,-6.370497758547656e+16,1246092523540878.8,9.01068168752256e+18
4.7776003775543886e+19,0.0,5601325515632000.0,4.448818847517678e+22,-6006300000000.0,6.928021873851155e+21,0.0,2.1069417071787804e+16,1.917379871963683e+22,-5.791768466019754e+16,1.1104358511489956e+18,2.095276662107566e+19
2.5672871116301543e+20,0.0,1.1202651031264e+16,2.3496050539128422e+17,2.706036463313213e+16,546043886862132.56,0.0,1.3883217303323202e+17,6492449563381922.0,-5.213039173491853e+16,61173074240003.68,6.2229029786609975e+19
