Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
2.228879121249331e+30,7.249869220550055e+28,3.8966485261813e+29,9.192236935301305e+29,3.179881920989023e+26,1.4932461446923832e+29,4.530466543728772e+31,2.0425209850028256e+29,3.942457516269847e+29,2.870066852226784e+29,8.440115656674807e+29,4.393053701101405e+29
1.9281834325616824e+28,1.7396411242496544e+28,1.948324370697818e+29,1.010451714092626e+29,6.86465320203458e+19,3.1603442818308965e+29,8.418832914369398e+25,4.378753543154997e+28,3.1271386867461593e+20,4.190043808896296e+22,3.599949118123125e+28,1.0671914781444183e+28
2.513260131765052e+28,1.61568625936e+19,2.152143360111992e+22,2.2326435277516995e+28,1.3750754841811053e+23,1.7265898546203222e+30,1.5580512096062333e+24,2.385490454290164e+23,4.226591967233896e+21,2.808841183801257e+22,2.95187620050625e+26,4.200413866722024e+24
3.703865813862272e+28,9.359781395652924e+20,3.00782025678552e+23,2.720627859948676e+24,6.228708392849242e+24,3.137145281057555e+30,1.38706753876465e+30,3.188396337449301e+30,4.273064966190773e+20,1.427638558706218e+22,1.17117950625e+19,6.264816691013687e+28
2.63995042834559e+28,1.8557994165369845e+21,5.800426177559841e+23,2.51962663552031e+24,1.4397627937693457e+24,1.568572700904319e+30,9.247117060109744e+29,1.1957802903249813e+27,6.2206227007284e+20,4.6435933611178944e+20,3.240686175350625e+23,4.168613084661017e+26
3.838637652306273e+27,2.7756206935086764e+21,1.84062450625e+19,1.9853459873293457e+21,1.322665793633282e+26,1.2075108288665089e+23,4.623558732572986e+29,2.1875539151172431e+18,3.199137408156733e+22,1.106142107592818e+23,5.455244675959056e+27,1.314326153894494e+27
3.733621749854964e+27,3.6954419704803686e+21,3.065150240138627e+23,2.1159471062041337e+26,2.6309339593288704e+26,1.020150500625e+16,4.050362287606866e+22,5.13585813500796e+22,1.1380349260610242e+23,1.0325629072585313e+23,1.0910165283300578e+28,1.0388472866482549e+27
3.9795106375612834e+26,4.615263247452061e+21,6.130116417826628e+23,6.758773914732659e+23,3.939202125024459e+26,1.741575331083195e+29,8145062500000000.0,4.982052532160813e+26,5.7014266559963e+22,9.589837069242448e+22,600372506250000.0,1.786534984981964e+26
6.332132680805843e+26,5.535084524423753e+21,9.19508259551463e+23,3.151386057873216e+28,1.9696148970604743e+26,8.707876738713826e+28,1.7874318509591794e+21,5.572238733714144e+20,2.2504051382358016e+20,8.854045065899581e+22,5.3340263154056444e+22,2.5139573687767493e+26
1.673744659235937e+27,6.454905801395446e+21,2073600000000.0,1.1917362242378714e+29,2.7669096490235063e+21,1.665957047715763e+21,3.574855556855859e+21,1.9340498431953846e+19,6.245672614914788e+29,8.118253062556714e+22,5.738708103114626e+20,2.2975025148139983e+26
4.838882832650708e+26,7.374727078367137e+21,3.276465782843405e+21,3.5722268995539007e+30,4.432085929729168e+17,7.24743635788561e+29,5.362279262752538e+21,3.713220774289245e+22,1.249134522757917e+30,7.382461059213848e+22,6.836692008398134e+24,1.6611188447322407e+26
6.231565730331087e+27,8.294548355338829e+21,6.552931563613211e+21,3.0977167218084506e+23,1.7306428541574912e+22,1.3642712455399732e+20,7.149702968649218e+21,5.581382941006374e+23,3.0720650746880307e+21,6.646669055870982e+22,1.875159115775065e+19,6.1173545425604384e+26
3.218276433729778e+26,9.214369632310522e+21,499778240740.74097,2.2499615135716742e+17,1.960571819133301e+16,1.077330396660685e+24,4.450300666907014e+31,3.718194593897489e+22,1.021558252339873e+27,5.910877052528116e+22,2.7040023404868623e+20,1.271692434037317e+27
8.281422875561104e+21,1.0134190909282216e+22,4123969056018519.0,1.0573945751090514e+30,8.578294691519458e+16,1.1555420939006677e+22,3.5602423316887817e+31,1.6512450070998078e+22,4.697773781548829e+26,5.175085049185249e+22,1.6803564415971652e+20,8.354712561222092e+26
8.679377955690791e+23,1.1054012186253907e+22,2.070494515982445e+18,5.2884445552431485e+29,5.725110331012971e+16,1.0207908360294564e+21,2.67018399647055e+31,1.1207306832135096e+19,4.1313368346033776e+24,4.439293045842383e+22,2.192193176863247e+22,5.534536360221504e+25
2.9416797609416624e+23,1.0049246372054688e+22,7.326741008112996e+18,2.9433593957827768e+26,2.8719259705064856e+16,2.226067128162936e+23,1.7801256612523186e+31,2.12664180239816e+24,6.720202349442233e+21,3.7035010424995167e+22,5.545614833468714e+24,1.5324754559733049e+26
