Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
85700.0,30450.0,43800.0,47950.0,22300.0,118000.0,71250.0,50000.0,65150.0,244000.0,2010000.0,34700.0
48550.0,4055500.0,23905.0,92850.0,107600.0,7335000.0,197000.0,166000.0,22100.0,535000.0,657000.0,31450.0
240000.0,71600.0,4010.0,49300.0,631050.0,4099500.0,311000.0,100000.0,169000.0,449000.0,5615000.0,460000.0
972000.0,94862.5,445655.0,660500.0,1372500.0,864000.0,145000.0,182000.0,23900.0,363000.0,644500.0,722000.0
5595000.0,118125.0,887300.0,1102800.0,1124600.0,727257.5,202833.3333333333,183000.0,13000.0,277000.0,1065500.0,5960000.0
6490000.0,141387.5,177500.0,440000.0,762433.3333333333,590515.0,260666.6666666667,116000.0,426080.0,1040000.0,590650.0,8350000.0
3920000.0,164650.0,124100.0,87800.0,400266.6666666666,26950.0,318500.0,43000.0,121220.0,987733.3333333334,115800.0,8610000.0
1070000.0,187912.5,70700.0,164000.0,38100.0,79950.0,177500.0,56950.0,123370.0,935466.6666666666,58450.0,6550000.0
1670000.0,211175.0,17300.0,330000.0,174375.0,83975.0,206678.75,103750.0,125520.0,883200.0,211500.0,5400000.0
5605000.0,234437.5,12100.0,136000.0,310650.0,88000.0,235857.5,25200.0,124260.0,830933.3333333334,120500.0,4310000.0
618000.0,257700.0,47300.0,113000.0,76200.0,267000.0,265036.25,69600.0,123000.0,778666.6666666667,102000.0,2640000.0
4230000.0,280962.5,82500.0,45300.0,24800.0,56650.0,294215.0,80850.0,198000.0,726400.0,79600.0,2480000.0
92200.0,304225.0,8590.0,7460.0,30200.0,59000.0,93700.0,70150.0,2760000.0,674133.3333333334,76800.0,2570000.0
34200.0,327487.5,12800.0,2375000.0,33600.0,92700.0,204360.0,65700.0,94500.0,621866.6666666667,198000.0,2550000.0
