Energy_Root_mean_squared,Energy_Root_mean_squared.1,Energy_Root_mean_squared.2,Energy_Root_mean_squared.3,Energy_Root_mean_squared.4,Energy_Root_mean_squared.5,Energy_Root_mean_squared.6,Energy_Root_mean_squared.7,Energy_Root_mean_squared.8,Energy_Root_mean_squared.9,Energy_Root_mean_squared.10,Energy_Root_mean_squared
11686871.441210752,7021505.078075913,9020113.46414012,11027221.081419315,1826376.90120302,8298117.402239311,29038845.832336225,6979467.34451472,9573538.31935056,13292244.3655874,19594513.707949847,7685589.365345593
5400044.093362942,13108566.598856896,4702464.139229972,9131348.35578514,135452.95714749087,22067136.153327644,1723228.870422584,5893377.740232531,123088.652841492,686368.7055803171,9355139.313152645,4496499.155549505
9040259.423947252,95635.34911318094,384814.8143198232,4822437.435804111,876951.6548818413,34446450.03137432,1342845.7543590032,263936.94584617874,366686.9873157032,542975.9705233325,6979201.243695442,1217325.0815630555
11951882.323666276,127471.13353293193,814682.7843041467,1313837.1258772274,2184301.964587314,46825763.90942099,38047510.95512031,9471153.942715753,169238.5696780337,399583.2354663479,647149.5190448649,4738991.753812525
12310799.65163233,159306.91795268288,1244550.75428847,1742158.333224911,1569912.8383448557,23830075.11454476,25561280.13931069,1258873.3943062944,179725.91438075923,256190.50040936333,1305588.1816254312,6509404.962131904
9973698.28979216,191142.70237243385,189199.6300207799,398747.17867340456,2695927.9634232223,834386.3196685334,13075049.32350108,117042.60064546438,600337.8155672022,943916.1703597764,4593509.183280071,10309702.350468133
8017591.975967914,222978.4867921848,489882.8116695976,2543555.953778096,3821943.088501589,28762.91014483757,588818.5076914617,195143.6964006216,591703.1489691432,899504.2047257583,7881430.184934711,9890765.595530268
4644314.394534021,254814.27121193576,790565.9933184154,865212.718683347,4947958.213579955,13150928.751558196,177754.0435545701,2305087.816883655,383539.4026022756,855092.2390917402,58659.22774807047,6963439.396708513
5182914.315644615,286650.0556316867,1091249.174967233,8155828.938696655,2667049.58938636,6708343.001922336,236731.67697195456,160714.42841263505,175375.656235408,810680.273457722,264771.6600548036,6310504.725660895
7948717.236672292,318485.8400514377,12159.358535712316,16289486.063102176,386140.9651927648,265757.25228647504,295709.31038933905,51264.7652276508,11850848.83228028,766268.307823704,196561.40900002408,6128687.002409429
