Energy_Root_standard_squared,Energy_Root_standard_squared.1,Energy_Root_standard_squared.2,Energy_Root_standard_squared.3,Energy_Root_standard_squared.4,Energy_Root_standard_squared.5,Energy_Root_standard_squared.6,Energy_Root_standard_squared.7,Energy_Root_standard_squared.8,Energy_Root_standard_squared.9,Energy_Root_standard_squared.10,Energy_Root_standard_squared
206100222.77992207,59579446.25811909,118641069.25821008,130475839.4071094,15604571.084240029,64810368.75147496,346037784.86306244,111671477.51223552,98565609.67659968,59444723.94998399,105519685.63296612,136838028.31811816
85382194.0018292,32109299.42649014,59750770.67088908,46560923.45156182,270905.91429498175,54053223.66017591,7511380.502763789,37736029.84883015,426391.60111334274,1188825.4707903932,38572227.530496605,33042385.6798552
184385836.8425924,135248.80775814626,860472.0835680842,36408604.21477266,1240196.9238794297,67578912.92725906,3289286.9014423173,2531594.2501119724,635120.4925051624,963343.9807998376,9870081.053365266,7699039.821179002
395135809.2467597,180271.40585334416,1310266.319672252,3218230.5635239994,4368603.929174628,81104602.19434221,65900222.07580184,190132088.49025965,293129.80128264,737862.490809282,915207.6267164736,96074219.27005692
529221216.82689697,225294.0039485421,1760060.5557764198,3484316.666449822,2220192.027730935,41142301.32193801,44414249.682184935,29307697.364474066,311294.4151442489,512381.00081872666,1846380.5133287124,137007125.22250497
600496156.2843562,270316.6020437399,267568.6827713587,797494.3573468091,4336833.025036696,1180000.4495338127,22928277.288568035,1059865.826413891,849005.8807805751,1634910.7651489729,10575931.454894008,426826657.8128588
404550880.1906696,315339.2001389378,808412.1267678614,7630667.861334288,6453474.022342458,40676.897620147975,1442304.8949511335,1366005.874804351,1183406.2979382863,1557986.9842068506,19305482.396459304,498773176.5633946
227286881.6885079,360361.7982341357,1349255.5707643642,2289137.684806224,8570115.019648219,41586888.20151851,251382.1791615309,10811820.224088078,715712.464748241,1481063.2032647284,82956.67543965344,371745936.70967245
223407055.1539436,405384.3963293336,1890099.014760867,27049824.4439793,4558100.404805832,21145007.900090188,334789.1482170647,454569.0486603768,248018.63155819563,1404139.4223226062,5348125.376523628,352824376.8282339
390540142.8540872,450406.9944245315,17195.92975096142,36424398.15563189,546085.7899634452,703127.5986618645,418196.1172725984,184837.73965291827,56538147.67334488,1327215.6413804838,4822769.461612384,376453071.31331
48413036.4734724,495429.5925197294,304003.04760088003,88789894.00438543,190179.3627079448,153671038.3686718,501603.08632813225,2156859.427501013,112828276.71513157,1250291.8604383615,7918725.855292378,257486891.4315057
366067133.3363461,540452.1906149273,590810.1654507986,1661269.7070614393,975614.7836620765,1650040.154844724,585010.0553836661,4476049.988550172,827932.992457723,1173368.0794962393,1262366.0290506077,352165669.800254
37439975.680922925,585474.7887101253,14735.12130930723,47928.92237469981,93358.82390004706,4143991.8496541474,155001363.71396866,2477964.083678373,13859874.241853712,1096444.2985541169,1520909.065267546,383998624.76559454
1373208.4109850186,630497.3868053231,27737.02399321167,102620731.13334168,119456.92989525555,1724857.2461511127,125441978.95085968,2416459.8502147724,12454358.161017371,1019520.5176119948,3655058.306005528,323891969.61220986
4912645.538811038,675519.9849005209,80313.9900639982,55412091.6679604,97354.54937499696,2577782.675091133,95882594.1877507,1454525.2749952474,2774019.797135557,942596.7366698724,4633354.606142724,159603042.89054424
3763405.9374454943,642695.7584710919,93681.9413285166,8203452.202579107,75252.16885473835,2144461.645877968,66323209.42464173,6722705.172874979,573197.7407492113,865672.9557277502,7153487.59482394,208208782.6253549
1326874.7972962633,609871.5320416628,107049.89259303498,63368835.78222106,53149.78833447975,1711140.6166648024,36763824.661532745,1270737.9053919814,984502.60816729,788749.174785628,3140583.206587592,197288101.3612753
1372963.928003937,577047.3056122339,120417.84385755338,91280255.46389318,72624.2006942704,1321342.238975202,7204439.898423749,1271523.2107201188,1395807.475585369,711825.3938435058,5217662.736867917,173246269.17221016
4438796.134088611,544223.0791828049,133785.79512207178,45855076.830572285,92098.61305406105,1410807.348465378,10803824.961873982,1554404.0372116896,2641581.654993841,634901.6129013834,77558967.286016,158544666.7574821
3407060.4338784483,511398.8527533759,147153.74638659018,429898.1972513958,111573.0254138517,1500272.457955554,14403210.025324216,1689009.8537604806,486040.1324993647,557977.8319592611,1397297.1599484484,197446487.54228315
1040127.6315914312,478574.6263239469,160521.69765110855,88358027.61492586,232421.23396970425,793854.520677435,430201.3310067741,1900143.6814093825,4393.734174935939,481054.0510171388,630073.9480410216,187779957.3103921
1180530.568346284,445750.399894518,173889.64891562695,97900588.13777168,313786.03204137314,135341.23540148436,9921585.124487497,2833929.854865854,9498490.73800675,817008.6405666734,122797.90307655909,151725370.02594602
1077318.7782638895,412926.17346508894,247276.066149396,174034708.8288294,395150.830113042,3480583.958188625,19412968.917968214,2249967.370718962,9044553.661734778,1152963.230116208,4459153.014878498,143947924.05272228
610399.4846819581,380101.9470356599,320662.4833831651,69985.85571385121,476515.6281847109,3454521.5840113084,20955760.29145439,1730708.2640352764,987445.4516579636,1143524.6239997144,1341632.5092960442,144384497.19655925
