RMS_Max_Min_difference,RMS_Max_Min_difference.1,RMS_Max_Min_difference.2,RMS_Max_Min_difference.3,RMS_Max_Min_difference.4,RMS_Max_Min_difference.5,RMS_Max_Min_difference.6,RMS_Max_Min_difference.7,RMS_Max_Min_difference.8,RMS_Max_Min_difference.9,RMS_Max_Min_difference.10,RMS_Max_Min_difference
181.2,160.60000000000002,174.0,136.8,151.3,172.3,150.4,143.9,152.20000000000002,125.29999999999998,118.5,129.0
62.50000000000001,31.9,96.2,33.8,9.7,18.700000000000003,19.6,52.0,18.7,8.8,20.7,55.5
83.5,5.100000000000001,18.4,46.4,1.0,11.450000000000005,11.199999999999996,41.1,5.6,12.0,1.400000000000002,43.8
64.1,4.750000000000001,11.15,4.1,8.9,4.200000000000001,4.399999999999999,64.3,5.5,15.2,1.0,36.0
62.1,4.400000000000001,3.899999999999999,2.8999999999999986,9.4,3.249999999999999,10.666666666666668,29.7,1.8000000000000007,18.4,1.1999999999999993,37.4
55.8,4.050000000000001,1.2000000000000028,5.0,8.033333333333333,2.299999999999997,16.933333333333337,12.199999999999996,2.1000000000000014,3.3999999999999986,3.25,50.8
69.7,3.7,3.8333333333333344,12.9,6.666666666666668,7.4,23.200000000000003,8.8,11.7,3.293333333333332,5.300000000000001,34.5
59.1,3.35,6.466666666666666,9.9,5.300000000000001,38.7,16.299999999999997,23.2,20.2,3.1866666666666656,3.099999999999998,56.3
51.7,3.0,9.099999999999998,18.8,3.1000000000000014,35.3,15.9,14.799999999999995,28.7,3.079999999999999,40.9,56.4
47.1,2.6499999999999995,14.299999999999995,5.700000000000003,0.9000000000000021,31.9,15.5,6.899999999999999,55.0,2.9733333333333327,30.3,59.7
49.1,2.2999999999999994,16.599999999999998,32.0,9.0,121.7,15.100000000000003,19.6,81.30000000000001,2.8666666666666663,134.4,64.4
44.49999999999999,1.9499999999999995,18.9,41.6,13.6,45.4,14.700000000000005,31.2,24.9,2.76,38.4,64.5
40.7,1.5999999999999988,21.8,37.900000000000006,5.100000000000001,25.0,15.700000000000005,13.1,7.800000000000001,2.653333333333333,53.8,58.3
