RMS_Peak,RMS_Peak.1,RMS_Peak.2,RMS_Peak.3,RMS_Peak.4,RMS_Peak.5,RMS_Peak.6,RMS_Peak.7,RMS_Peak.8,RMS_Peak.9,RMS_Peak.10,RMS_Peak
199.7,175.3,184.1,143.5,158.9,177.4,156.5,150.6,158.8,133.7,137.7,134.8
91.9,64.8,110.3,44.8,19.0,30.3,35.1,59.5,28.5,24.8,34.9,78.0
97.7,30.5,36.5,54.5,16.8,24.700000000000003,37.3,61.2,18.2,25.9,25.1,50.4
93.2,30.9,31.7,18.7,19.3,19.1,26.9,81.5,20.3,27.0,18.3,56.7
91.5,31.3,26.9,19.2,18.9,25.75,28.3,46.3,19.7,28.1,21.9,57.4
87.0,31.7,36.1,21.2,20.0,32.4,29.7,35.8,19.3,13.7,20.7,60.2
84.3,32.1,35.166666666666664,29.4,21.1,21.8,31.1,31.8,25.4,13.546666666666669,19.5,61.1
79.3,32.5,34.233333333333334,25.2,22.2,55.9,23.9,43.8,38.1,13.393333333333333,19.7,63.4
83.2,32.9,33.3,31.5,20.65,48.45,27.7,37.4,50.8,13.24,57.4,63.6
79.2,33.3,36.9,27.6,19.1,41.0,31.5,33.0,68.85,13.086666666666666,53.3,69.7
73.7,33.7,38.75,57.1,23.0,143.7,35.3,42.4,86.9,12.933333333333334,142.3,70.0
68.1,34.099999999999994,40.6,52.2,26.2,52.3,39.1,38.5,31.1,12.78,63.5,71.8
69.1,34.5,39.1,47.6,24.8,51.6,40.6,35.5,31.5,12.626666666666669,68.3,70.8
60.8,34.9,21.8,58.7,27.6,74.7,38.68,40.8,40.1,12.473333333333333,68.7,74.0
59.5,35.3,34.7,68.4,27.133333333333333,66.7,36.76,37.5,47.9,12.32,64.6,63.4
81.3,35.39090909090909,36.471428571428575,78.1,26.666666666666668,61.3,34.84,38.8,33.1,12.166666666666666,66.3,83.5
76.5,35.48181818181818,38.24285714285715,55.2,26.2,55.9,32.92,43.8,37.400000000000006,12.013333333333334,67.6,72.3
72.1,35.57272727272727,40.01428571428572,65.4,26.166666666666668,53.9,31.0,47.3,41.7,11.86,71.7,78.7
82.7,35.663636363636364,41.785714285714285,76.45,26.133333333333333,52.05,31.65,40.4,38.2,11.706666666666669,70.6,80.0
94.5,35.75454545454545,43.55714285714286,87.5,26.1,50.2,32.3,46.8,45.7,11.553333333333336,79.0,83.6
88.2,35.845454545454544,45.32857142857143,73.5,27.9,34.9,37.2,47.2,34.0,11.4,65.7,87.7
78.3,35.93636363636363,47.1,58.9,29.4,53.4,34.1,48.7,32.1,16.55,65.4,74.7
90.2,36.027272727272724,45.01,97.3,30.9,54.6,31.0,54.2,37.2,21.7,64.4,74.7
83.6,36.11818181818182,42.92,55.2,32.4,45.9,35.8,44.4,28.6,20.933333333333334,70.5,82.7
94.1,36.2090909090909,40.83,94.5,33.9,63.2,40.6,38.8,42.1,20.166666666666664,74.4,83.0
85.4,36.3,38.74,102.1,30.5,58.2,36.9,45.0,28.4,19.4,72.3,85.5
66.1,43.0,36.65,101.5,35.5,50.0,36.8,46.0,43.6,18.633333333333333,64.7,81.2
74.8,42.584210526315786,34.56,92.6,34.2,41.8,30.4,47.4,54.8,17.866666666666667,73.6,73.9
88.9,42.16842105263158,32.47,104.0,18.0,33.6,23.7,46.8,29.3,17.1,56.4,74.9
74.7,41.752631578947366,30.38,105.3,56.5,59.2,35.7,42.7,22.7,16.333333333333332,64.0,74.7
85.9,41.33684210526316,28.29,93.8,20.9,72.3,29.5,45.1,24.4,15.566666666666666,76.2,80.2
95.8,40.92105263157895,26.2,84.5,22.9,76.3,34.3,43.3,41.2,14.8,76.9,81.9
97.4,40.50526315789474,25.8,119.2,33.7,78.0,39.93333333333333,54.4,48.0,14.033333333333331,87.1,77.0
83.8,40.089473684210525,25.8,126.0,38.2,76.5,45.56666666666667,59.5,27.4,13.266666666666666,85.3,75.6
75.5,39.67368421052632,25.8,132.3,22.1,78.3,51.2,56.0,32.9,12.5,80.3,74.1
86.7,39.2578947368421,25.8,130.1,25.3,75.2,50.25,40.7,29.0,20.15,78.3,73.8
93.2,38.8421052631579,25.8,130.7,44.6,78.6,49.3,54.7,46.1,27.8,81.2,79.5
94.7,38.42631578947368,25.8,140.8,49.6,79.3,51.13333333333333,51.8,41.9,26.54,80.0,80.5
94.8,38.01052631578948,25.8,145.1,55.1,75.2,52.96666666666666,64.3,36.4,25.28,92.6,80.7
97.5,37.59473684210526,25.8,147.5,51.9,74.9,54.8,54.6,28.3,24.02,83.8,81.0
96.2,37.178947368421056,25.8,164.5,52.8,65.3,56.63333333333333,60.8,45.2,22.76,75.8,79.9
96.8,36.76315789473684,25.8,154.5,49.0,62.1,58.46666666666666,54.5,38.0,21.5,84.6,81.4
91.6,36.34736842105264,25.07777777777778,162.0,44.3,73.1,60.3,84.4,41.8,20.24,75.3,76.9
88.0,35.93157894736842,24.35555555555556,165.5,50.9,60.2,56.4,59.4,49.2,18.98,73.5,76.3
87.7,35.515789473684215,23.633333333333333,166.8,52.9,67.0,52.5,48.3,34.6,17.72,83.4,79.1
95.0,35.1,22.91111111111111,169.1,51.4,66.7,48.6,60.1,35.5,16.46,83.5,79.5
93.3,34.10909090909091,22.18888888888889,169.7,60.2,62.4,44.7,55.0,28.6,15.2,86.7,80.7
86.7,33.11818181818182,21.46666666666667,166.8,50.4,62.8,41.33636363636364,71.6,20.7,15.5,73.8,84.7
92.3,32.127272727272725,20.744444444444447,172.9,51.7,60.3,37.97272727272728,60.4,42.8,15.0,72.2,81.8
91.2,31.13636363636364,20.022222222222226,156.2,48.6,67.6,34.60909090909091,64.6,46.9,16.2,76.4,84.0
89.6,30.145454545454548,19.3,148.1,52.8,68.0,31.24545454545455,63.6,41.8,23.5,77.4,87.0
92.3,29.154545454545456,18.57777777777778,160.9,57.6,63.5,27.881818181818183,66.3,33.5,30.8,74.0,88.8
93.1,28.163636363636364,17.855555555555554,161.8,56.2,69.9,24.51818181818182,59.7,30.1,29.70909090909091,69.2,87.6
94.2,27.172727272727272,17.133333333333333,156.1,58.2,77.9,21.154545454545456,67.2,47.3,28.618181818181817,80.6,90.2
94.0,26.18181818181818,16.41111111111111,157.2,58.4,87.2,17.790909090909093,68.4,54.7,27.527272727272727,95.0,93.0
94.8,25.19090909090909,15.68888888888889,161.8,66.2,77.4,14.42727272727273,69.6,21.5,26.43636363636364,95.5,91.0
91.6,24.2,14.966666666666669,164.9,60.5,67.2,11.063636363636364,69.9,48.6,25.345454545454547,72.1,94.6
91.7,24.36710526315789,14.244444444444444,162.0,69.4,76.5,7.7,69.0,39.7,24.254545454545458,85.2,94.6
91.7,24.53421052631579,13.522222222222224,162.4,63.9,80.6,15.05,68.7,32.7,23.163636363636364,80.0,91.2
97.3,24.70131578947368,12.8,170.6,63.5,77.5,22.4,71.3,45.1,22.07272727272728,85.6,86.4
96.1,24.86842105263158,17.133333333333333,165.4,65.5,76.7,29.75,68.8,60.1,20.981818181818184,82.2,88.2
96.3,25.035526315789472,21.46666666666667,159.2,71.5,79.5,37.1,75.6,56.6,19.89090909090909,73.5,82.9
104.5,25.20263157894737,25.8,163.0,69.8,73.4,44.45,49.4,55.6,18.8,85.9,84.5
110.2,25.36973684210526,30.133333333333333,155.0,76.8,74.8,51.8,64.1,55.2,17.5,80.4,81.6
107.9,25.53684210526316,34.46666666666667,148.5,68.2,86.2,50.9,60.2,57.5,19.0,81.5,82.2
112.7,25.70394736842105,38.8,150.4,72.0,86.7,36.0,71.7,22.5,20.5,85.7,80.2
102.5,25.871052631578948,43.13333333333333,145.6,81.2,92.9,51.5,72.2,51.4,18.975,85.9,80.3
101.9,26.03815789473684,47.46666666666667,145.5,94.0,87.4,37.6,75.2,40.1,17.45,86.7,78.8
106.7,26.20526315789473,51.8,147.8,76.0,86.4,42.6,71.8,28.8,15.925,72.2,78.5
105.6,26.37236842105263,55.4,136.5,76.7,94.1,47.6,72.1,51.4,14.4,74.1,75.0
97.1,26.539473684210527,64.25,141.6,78.1,69.4,47.5,76.3,68.1,16.95,74.9,76.7
116.2,26.70657894736842,73.1,117.0,76.9,74.8,44.375,70.5,47.1,19.5,75.0,71.1
95.6,26.87368421052632,72.9,113.4,78.6,84.0,41.25,79.5,35.9,15.3,76.2,78.9
104.9,27.04078947368421,46.0,136.2,79.5,86.2,38.125,75.4,61.5,28.425,78.6,73.3
91.1,27.207894736842103,63.6,128.3,78.1,77.6,35.0,76.4,60.2,41.55,82.0,64.8
91.8,27.375,61.2,126.4,84.5,79.1,41.15,72.7,34.1,54.675,87.8,65.3
96.0,27.542105263157893,53.73333333333333,85.8,75.0,83.1,47.3,70.3,68.4,67.8,66.4,67.6
95.8,27.70921052631579,46.266666666666666,86.1,82.7,82.6,37.3,75.6,34.5,24.3,76.6,75.4
107.2,27.876315789473683,38.8,87.0,84.5,80.4,50.0,76.7,35.8,20.5,90.1,74.1
96.4,28.04342105263158,59.9,121.1,75.7,50.3,48.3,73.2,49.9,20.45,89.2,72.3
95.7,28.21052631578948,57.86666666666667,121.5,79.6,49.9,42.9,68.4,48.4,20.4,77.6,73.9
82.1,28.37763157894737,55.833333333333336,117.4,76.9,39.8,37.5,75.1,35.4,20.65,79.5,70.9
69.8,28.544736842105262,53.8,78.7,77.9,63.1,43.333333333333336,66.2,54.2,20.9,87.2,67.1
67.7,28.71184210526316,51.766666666666666,108.4,71.7,55.5,49.16666666666666,57.4,43.8,23.0,61.5,71.2
75.8,28.87894736842105,49.73333333333333,103.4,79.3,42.2,55.0,69.5,39.4,18.5,59.0,67.2
66.5,29.046052631578945,47.7,94.9,73.6,45.3,51.325,65.4,46.3,21.25,61.0,68.6
72.7,29.21315789473684,47.99,95.9,75.8,45.1,47.65,61.5,42.2,24.0,55.2,66.9
69.5,29.38026315789473,48.28,104.6,83.3,49.4,43.975,64.8,43.8,25.85,73.1,69.8
67.1,29.54736842105263,48.57,84.5,68.3,53.5,40.3,68.7,52.6,27.7,59.6,71.5
67.7,29.714473684210525,48.86,106.8,74.3,43.7,44.94,64.8,64.0,14.2,56.9,71.1
66.3,29.88157894736842,49.150000000000006,114.3,76.5,51.2,49.58,65.7,55.0,16.22,51.4,70.8
54.8,30.048684210526314,49.440000000000005,109.9,73.2,41.2,54.22,64.0,52.6,18.24,45.9,69.0
52.1,30.21578947368421,49.73,111.0,78.0,41.3,58.86,62.7,49.6,20.26,74.8,66.7
53.7,30.382894736842104,50.02,122.4,75.5,50.3,63.5,62.7,54.6,22.28,71.83333333333333,69.4
54.2,30.55,50.31,107.4,74.0,53.0,59.68333333333334,66.8,56.7,24.3,68.86666666666667,70.3
55.2,30.71710526315789,50.6,120.5,76.0,44.9,55.86666666666667,63.7,74.2,24.1875,65.9,71.3
53.0,30.88421052631579,49.2,109.3,70.8,47.6,52.05,64.0,72.3,24.075,66.5,70.2
58.2,31.051315789473684,47.8,135.6,69.1,43.7,48.23333333333333,57.9,61.2,23.9625,67.1,68.3
51.7,31.218421052631577,46.400000000000006,,73.0,45.0,44.41666666666667,59.4,65.6,23.85,67.7,66.9
59.3,31.38552631578948,45.0,,70.7,40.5,40.6,61.5,66.4,23.7375,68.3,69.4
64.7,31.552631578947366,43.6,,69.1,46.6,44.05,63.1,64.2,23.625,70.4,71.3
52.4,31.719736842105263,42.2,,73.3,41.3,47.5,65.1,62.7,23.5125,72.5,71.6
66.9,31.88684210526316,41.23333333333333,,70.3,40.2,45.56666666666667,64.4,61.9,23.4,44.3,70.7
63.0,32.05394736842105,40.266666666666666,,69.9,42.4,43.63333333333333,65.2,61.4,23.2875,45.4,71.5
53.7,32.22105263157894,39.3,,74.3,44.4,41.7,68.4,65.1,23.175,46.5,67.4
60.9,32.38815789473684,37.1,,77.4,42.4,53.4,54.4,64.7,23.0625,64.3,67.0
49.1,32.555263157894736,36.86666666666667,,78.5,51.2,48.1,59.8,62.8,22.95,80.6,68.5
58.0,32.72236842105263,36.63333333333333,,76.1,53.8,47.3,63.4,63.9,22.8375,59.6,66.4
55.2,32.88947368421053,36.400000000000006,,78.5,48.1,47.172,59.6,64.2,22.725,79.8,68.1
58.3,33.05657894736842,36.16666666666667,,81.2,59.2,47.044,59.5,69.3,22.6125,71.8,67.7
53.5,33.223684210526315,35.93333333333334,,86.4,65.8,46.916,57.3,63.7,22.5,59.2,69.0
53.7,33.39078947368421,35.7,,86.9,68.6,46.788,57.0,65.3,23.7,61.7,71.7
57.7,33.5578947368421,41.7,,85.1,80.3,46.66,61.5,58.2,23.822222222222223,62.5,67.3
49.0,33.725,38.8,,85.9,79.5,46.532,60.2,62.8,23.944444444444443,64.6,67.7
30.6,33.892105263157895,38.7,,96.6,87.6,46.404,65.2,69.8,24.066666666666663,72.8,69.1
31.2,34.05921052631579,47.3,,104.9,81.2,46.276,65.5,59.0,24.18888888888889,81.8,71.1
58.1,34.22631578947368,41.9,,107.7,80.8,46.148,60.9,60.7,24.31111111111111,71.3,71.2
62.3,34.39342105263158,51.3,,111.5,81.9,46.02,63.3,65.6,24.433333333333334,81.2,70.0
78.5,34.560526315789474,54.2,,110.6,46.9,45.892,54.9,69.8,24.55555555555556,80.6,69.9
71.9,34.72763157894737,48.5,,110.0,51.5,45.764,65.6,64.3,24.677777777777777,71.7,69.6
57.0,34.89473684210526,42.8,,106.8,82.7,45.636,67.6,66.4,24.8,80.9,73.2
50.3,35.06184210526315,37.1,,110.9,71.4,45.508,67.6,69.4,24.85,80.8,71.6
63.3,35.22894736842105,33.2,,113.5,87.4,45.38,64.5,62.9,24.9,74.3,74.3
