Rise-Time_Median,Rise-Time_Median.1,Rise-Time_Median.2,Rise-Time_Median.3,Rise-Time_Median.4,Rise-Time_Median.5,Rise-Time_Median.6,Rise-Time_Median.7,Rise-Time_Median.8,Rise-Time_Median.9,Rise-Time_Median.10,Rise-Time_Median
36.0,61.15,39.9,38.65,50.2,39.8,42.8,46.65,39.15,47.7,55.2,41.4
40.55,67.15,29.3,49.2,63.1,51.8,47.5,58.6,38.55,37.9,53.7,68.4
60.4,56.25,18.7,48.6,54.3,39.65,33.15,50.0,52.0,39.516666666666666,42.55,19.15
66.1,55.4125,34.575,55.4,54.45,27.5,43.4,35.6,34.0,41.13333333333333,120.75,27.6
64.9,54.575,50.45,44.85,59.35,32.6,41.28333333333333,31.3,85.0,42.75,54.6,51.0
68.1,53.7375,46.15,55.3,61.766666666666666,37.7,39.16666666666666,18.2,64.55,39.8,54.75,73.75
64.2,52.9,62.93333333333334,63.2,64.18333333333334,33.3,37.05,16.5,79.85,40.92666666666666,54.9,50.8
59.6,52.0625,79.71666666666667,47.1,66.6,70.2,44.6,16.3,51.8,42.053333333333335,80.95,53.3
59.5,51.225,96.5,59.5,68.2,68.5,47.8375,37.2,23.75,43.18,21.2,75.3
63.1,50.3875,30.75,77.0,69.80000000000001,66.8,51.075,13.8,32.775,44.306666666666665,22.6,70.1
65.5,49.55,35.025,52.6,42.05,96.4,54.3125,16.5,41.8,45.43333333333333,73.0,44.7
79.1,48.712500000000006,39.3,36.9,39.6,42.9,57.55,14.1,70.2,46.56,58.9,47.3
49.0,47.875,52.1,26.5,40.65,45.8,39.5,16.1,32.8,47.68666666666667,64.7,47.7
55.2,47.0375,28.8,32.1,39.95,45.7,45.52,14.3,41.9,48.81333333333333,79.3,47.5
53.3,46.2,28.6,39.5,38.11666666666667,72.9,51.54,14.2,49.6,49.94,79.5,53.3
22.0,47.763636363636365,29.557142857142857,46.9,36.28333333333334,66.1,57.56,14.3,41.05,51.06666666666667,30.5,50.7
23.7,49.32727272727273,30.51428571428572,23.45,34.45,59.3,63.58,14.5,43.325,52.193333333333335,79.8,52.4
17.5,50.89090909090909,31.47142857142857,43.7,37.41666666666667,66.2,69.6,14.0,45.6,53.32000000000001,58.0,65.9
29.8,52.45454545454546,32.42857142857143,34.275000000000006,40.38333333333333,55.650000000000006,67.1,14.1,71.35,54.44666666666667,47.4,66.2
32.1,54.01818181818182,33.385714285714286,24.85,43.35,45.1,64.6,22.2,9.0,55.57333333333334,48.2,47.95
33.15,55.581818181818186,34.34285714285714,40.85,44.0,70.15,35.7,71.7,5.8,56.7,45.8,65.6
64.9,57.14545454545455,35.3,47.6,41.075,74.8,49.05,71.8,39.5,51.75,51.1,65.2
55.3,58.70909090909092,34.309999999999995,16.4,38.15,75.5,62.4,71.7,43.0,46.8,72.15,64.3
54.7,60.27272727272728,33.32,52.95,35.224999999999994,56.1,75.85,71.7,48.1,48.43333333333333,52.8,66.1
55.1,61.83636363636364,32.33,41.55,32.3,57.75,89.3,14.6,48.8,50.06666666666666,56.2,64.9
55.2,63.400000000000006,31.34,14.1,17.7,31.5,0.6,52.5,42.65,51.7,54.95,66.0
35.75,66.25,30.35,37.5,41.400000000000006,38.36666666666667,65.45,55.55,51.55,53.333333333333336,48.3,66.6
26.5,65.14736842105263,29.36,14.9,43.3,45.23333333333333,103.95,71.6,50.2,54.96666666666667,64.9,66.6
26.3,64.04473684210527,28.37,53.5,63.1,52.1,60.5,72.1,58.85,56.6,49.5,65.8
39.5,62.94210526315789,27.38,66.1,50.9,45.1,54.9,71.7,34.2,58.23333333333333,84.30000000000001,64.9
61.7,61.839473684210525,26.39,31.15,52.0,99.85,39.8,68.1,45.7,59.86666666666667,35.9,66.2
53.5,60.73684210526316,25.4,55.55,44.2,95.1,17.0,68.1,36.0,61.5,71.1,66.5
61.7,59.63421052631579,23.2,38.4,32.2,74.1,26.75,68.1,47.8,63.13333333333334,40.35,66.3
57.5,58.531578947368416,22.81111111111111,39.1,27.6,74.1,36.5,72.6,54.3,64.76666666666667,33.349999999999994,66.2
52.3,57.42894736842105,22.42222222222222,33.1,75.25,69.35,46.25,76.0,89.9,66.4,26.6,57.6
43.7,56.32631578947368,22.03333333333333,40.9,46.6,55.05,23.175,75.9,52.95,62.150000000000006,10.05,68.8
39.8,55.22368421052632,21.64444444444444,55.45,67.3,77.3,0.1,72.4,65.5,57.900000000000006,15.4,66.4
38.5,54.12105263157895,21.25555555555556,46.85,84.7,66.0,6.466666666666666,72.1,50.55,58.685,15.6,66.3
38.4,53.01842105263158,20.866666666666667,48.3,80.8,45.4,12.833333333333332,76.1,59.55,59.470000000000006,12.3,66.4
38.5,51.91578947368421,20.47777777777777,55.6,84.1,58.2,19.2,72.2,53.4,60.255,36.3,68.9
38.5,50.81315789473684,20.08888888888889,49.85,84.1,75.4,25.566666666666663,66.0,56.25,61.040000000000006,33.3,66.2
38.4,49.710526315789465,19.7,46.3,83.1,97.5,31.933333333333334,70.0,66.1,61.825,42.1,66.1
39.5,48.6078947368421,21.166666666666664,71.8,84.6,49.5,38.3,71.8,137.6,62.61,23.9,64.0
39.6,47.50526315789473,22.633333333333333,49.05,84.7,53.6,38.2125,71.8,138.1,63.395,108.8,66.0
51.3,46.40263157894736,24.1,63.8,84.8,52.5,38.125,72.2,30.6,64.18,40.9,57.1
40.6,45.3,25.566666666666663,53.55,84.5,49.5,38.0375,3.7,11.0,64.965,36.9,58.2
47.7,46.840909090909086,27.03333333333333,70.8,82.0,41.3,37.95,44.4,79.1,65.75,51.2,51.650000000000006
47.8,48.38181818181818,28.5,76.8,83.1,38.5,38.88636363636364,48.45,81.7,85.94999999999999,43.5,56.8
40.7,49.92272727272727,29.96666666666667,71.1,85.0,63.55,39.82272727272728,43.25,81.7,62.0,43.3,66.0
47.5,51.46363636363636,31.433333333333334,87.1,72.7,57.25,40.75909090909091,44.5,79.6,69.1,20.5,59.5
67.1,53.00454545454545,32.9,49.5,72.6,38.650000000000006,41.69545454545455,43.9,37.85,56.425,20.7,65.9
67.0,54.54545454545455,34.36666666666667,72.2,74.8,30.1,42.63181818181818,95.2,53.95,43.75,40.9,69.3
67.0,56.08636363636364,35.83333333333333,81.94999999999999,62.3,42.1,43.56818181818182,46.9,78.6,44.61818181818182,42.9,66.1
65.9,57.627272727272725,37.3,87.5,70.5,41.3,44.50454545454546,44.65,59.8,45.48636363636364,27.8,66.2
65.8,59.16818181818182,38.766666666666666,80.8,70.6,41.5,45.44090909090909,44.475,33.5,46.35454545454545,128.2,66.2
65.8,60.70909090909091,40.23333333333333,81.7,66.2,41.9,46.377272727272725,44.3,78.7,47.22272727272727,15.6,68.9
49.5,62.25,41.7,72.0,66.2,41.8,47.31363636363636,67.3,78.6,48.09090909090909,27.6,66.3
49.4,61.579605263157895,43.16666666666667,54.55,66.3,44.7,48.25,85.9,35.7,48.9590909090909,30.3,66.0
49.4,60.90921052631579,44.63333333333334,54.45,80.9,51.7,52.225,42.9,48.900000000000006,49.82727272727273,34.2,65.8
49.3,60.23881578947368,46.1,71.7,80.8,52.2,56.2,34.2,53.0,50.69545454545455,38.8,65.6
38.1,59.56842105263158,44.83888888888889,77.0,81.1,62.3,60.175,32.3,44.15,51.56363636363636,31.3,62.7
38.1,58.89802631578947,43.577777777777776,87.8,83.6,43.9,64.14999999999999,36.900000000000006,21.15,52.43181818181818,65.7,67.6
47.6,58.22763157894737,42.31666666666667,100.5,81.2,36.4,68.125,47.8,40.55,53.3,67.05,69.5
49.0,57.55723684210526,41.05555555555556,123.5,83.6,44.7,72.1,49.9,47.1,75.35,36.1,77.75
48.9,56.88684210526316,39.79444444444445,107.25,83.7,26.4,72.55,45.85,32.9,67.675,62.5,74.3
48.8,56.21644736842105,38.53333333333333,91.2,83.6,49.0,79.3,41.7,51.55,60.0,64.2,66.4
55.6,55.54605263157895,37.27222222222223,73.9,82.4,49.1,80.2,46.4,32.3,59.9,34.7,63.6
64.2,54.87565789473684,36.01111111111111,52.2,84.6,43.4,80.2,46.2,44.55,59.8,27.5,63.6
47.4,54.205263157894734,34.75,49.8,99.8,48.0,64.825,45.0,56.8,59.7,48.65,64.8
43.75,53.53486842105264,22.3,32.0,102.2,46.9,49.45,45.05,6.35,59.6,29.1,63.6
33.9,52.86447368421052,28.9,45.7,102.3,49.3,65.7,46.150000000000006,33.1,63.725,28.0,66.9
46.0,52.194078947368425,35.5,88.2,105.0,112.4,68.3875,48.9,78.9,67.85,27.7,68.8
31.4,51.52368421052631,35.7,43.2,109.0,117.7,71.07499999999999,41.3,18.7,53.85,27.7,69.7
18.1,50.85328947368421,71.4,89.3,109.1,62.5,73.76249999999999,45.6,48.0,52.8875,27.6,69.3
18.1,50.1828947368421,85.1,107.05,109.3,50.6,76.44999999999999,41.4,64.3,51.925,42.85,69.6
18.1,49.5125,26.65,77.0,109.5,50.6,58.27499999999999,41.4,28.2,50.9625,53.1,69.3
18.0,48.84210526315789,27.6,57.75,109.3,82.0,40.1,41.2,43.05,50.0,15.4,69.7
25.8,48.17171052631579,28.55,117.05,109.4,64.1,200.0,41.3,28.3,74.15,15.4,69.7
25.9,47.501315789473686,29.5,113.7,109.0,62.8,77.0,41.0,29.7,68.0,49.15,69.7
21.3,46.83092105263158,0.5,41.55,83.9,40.4,51.5,58.8,38.1,55.25,71.15,69.8
41.95,46.16052631578948,5.791666666666667,52.3,82.2,40.3,34.2,41.0,38.2,42.5,56.0,71.3
41.9,45.49013157894737,11.083333333333334,95.7,82.4,57.0,16.9,44.1,38.2,62.85,57.3,67.55
41.9,44.819736842105264,16.375,92.5,82.65,60.9,31.083333333333336,39.0,38.2,83.2,25.65,68.35
41.9,44.14934210526316,21.666666666666668,90.1,82.1,108.2,45.266666666666666,38.9,61.6,55.0,33.9,69.8
41.9,43.47894736842105,26.958333333333336,90.25,82.0,34.1,59.45,41.2,61.5,79.3,62.1,66.95
41.0,42.80855263157895,32.25,87.9,81.8,85.4,54.6375,37.5,70.3,64.0,21.9,66.3
41.0,42.13815789473684,31.725,92.5,82.2,61.1,49.825,38.7,72.1,48.7,54.2,66.4
41.0,41.46776315789474,31.2,85.3,82.7,87.45,45.0125,37.6,76.1,56.150000000000006,22.95,66.3
41.0,40.79736842105263,30.675,83.0,82.8,75.1,40.2,41.8,53.1,63.6,43.1,66.2
41.0,40.126973684210526,30.15,73.2,82.8,75.2,38.43,43.8,70.6,59.15,18.2,66.3
36.4,39.45657894736842,29.625,38.150000000000006,82.8,81.0,36.66,43.8,70.6,57.64,40.425,66.1
41.0,38.78618421052632,29.1,68.45,82.6,81.4,34.89,43.8,61.9,56.13,62.650000000000006,66.2
41.2,38.11578947368421,28.575,107.6,82.6,81.3,33.120000000000005,44.9,68.5,54.620000000000005,34.8,63.9
40.4,37.4453947368421,28.05,49.2,82.3,84.95,31.35,45.2,28.7,53.11,32.81666666666666,64.0
35.1,36.775,27.525,28.8,82.1,79.3,40.24166666666667,71.6,69.2,51.6,30.83333333333333,63.8
55.8,36.10460526315789,27.0,90.7,79.0,76.7,49.13333333333334,51.35,32.1,52.56875,28.85,64.0
55.8,35.43421052631579,22.60833333333333,78.9,77.0,134.0,58.025000000000006,44.95,69.2,53.5375,29.325000000000003,63.9
53.8,34.76381578947368,18.21666666666667,74.1,79.1,134.2,66.91666666666667,45.0,70.7,54.50625,29.8,63.9
23.4,34.093421052631584,13.825,,80.3,134.4,75.80833333333334,45.0,74.7,55.475,30.275,63.8
49.9,33.42302631578947,9.433333333333334,,82.3,29.1,84.7,45.1,75.1,56.44375,30.75,66.3
50.650000000000006,32.75263157894737,5.041666666666668,,82.5,121.1,85.1,60.7,75.0,57.4125,37.475,64.0
32.4,32.08223684210526,0.6499999999999999,,82.2,91.7,85.5,45.0,74.8,58.38125,44.2,63.9
32.4,31.41184210526316,15.816666666666666,,80.1,20.5,85.66666666666667,43.9,74.8,59.35,45.7,63.9
23.25,30.741447368421053,30.98333333333333,,62.2,35.8,85.83333333333333,75.1,88.2,60.31875,42.225,63.8
41.75,30.07105263157895,46.15,,57.6,36.0,86.0,71.1,88.3,61.2875,38.75,66.7
16.4,29.400657894736845,17.65,,72.1,36.1,275.4,52.1,88.5,62.25625,44.3,66.2
45.3,28.73026315789474,31.325000000000003,,64.3,68.9,86.0,50.8,88.7,63.225,31.6,66.9
45.35,28.059868421052634,45.0,,64.3,69.1,86.0,50.7,42.8,64.19375,31.5,66.9
33.3,27.38947368421053,58.675,,64.2,69.2,85.108,50.8,17.3,65.1625,39.05,66.8
34.3,26.719078947368423,72.35000000000001,,64.2,69.3,84.216,55.2,12.2,66.13125,39.5,66.9
37.5,26.04868421052632,86.025,,64.2,33.8,83.324,55.9,60.3,67.1,33.7,66.8
37.6,25.37828947368421,99.7,,71.4,69.5,82.432,55.3,89.9,64.45,22.65,66.9
37.7,24.707894736842107,59.35,,72.4,34.2,81.54,59.7,88.8,67.12222222222222,32.0,66.8
37.5,24.0375,50.3,,71.6,34.8,80.648,65.45,79.05,69.79444444444445,30.3,64.2
37.4,23.367105263157896,47.0,,57.7,34.3,79.756,68.6,123.6,72.46666666666667,33.7,64.2
37.7,22.69671052631579,21.0,,72.8,35.0,78.864,72.2,61.0,75.13888888888889,33.0,64.3
