Specimen #1,,Specimen #2,
Crack density,Cumulative AE energy,Crack density,Cumulative AE energy
[mm-1],[eu],[mm-1],[eu]
0.0125,6.52E+07,0.0375,1.99E+08
0.025,1.85E+08,0.0625,2.75E+08
0.025,1.85E+08,0.075,2.75E+08
0.0375,2.78E+08,0.0875,3.36E+08
0.05,3.71E+08,0.1,3.66E+08
0.05,3.71E+08,0.1,3.66E+08
0.05,3.71E+08,0.1,3.66E+08
0.05,3.71E+08,0.125,3.66E+08
0.0625,4.21E+08,0.125,3.66E+08
0.0625,4.21E+08,0.125,3.66E+08
0.075,4.89E+08,0.125,3.66E+08
0.075,4.89E+08,0.15,5.12E+08
0.0875,5.63E+08,0.15,5.12E+08
0.1,6.84E+08,0.15,5.12E+08
0.1125,8.17E+08,0.1625,5.85E+08
0.1125,8.17E+08,0.1625,5.85E+08
0.1125,8.17E+08,0.1875,7.98E+08
0.1125,8.17E+08,0.2,8.40E+08
0.1125,8.17E+08,0.2,8.74E+08
0.1125,8.17E+08,0.2125,8.74E+08
0.1125,8.17E+08,0.225,9.56E+08
0.125,8.17E+08,0.2375,9.86E+08
0.1375,9.00E+08,0.2375,9.86E+08
0.1375,9.00E+08,0.2375,9.86E+08
0.1375,9.00E+08,0.2375,9.86E+08
0.1375,9.00E+08,0.25,1.05E+09
0.1375,9.00E+08,0.2625,1.09E+09
0.1375,9.00E+08,0.275,1.13E+09
0.1375,9.00E+08,0.2875,1.22E+09
0.1375,9.00E+08,0.3,1.26E+09
0.15,9.75E+08,0.3,1.26E+09
0.1625,1.06E+09,0.3125,1.34E+09
0.1625,1.06E+09,0.325,1.40E+09
0.1625,1.06E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.325,1.40E+09
0.175,1.12E+09,0.3375,1.46E+09
0.175,1.12E+09,0.3375,1.46E+09
0.2,1.21E+09,0.3375,1.46E+09
0.2,1.21E+09,0.3375,1.46E+09
0.2,1.21E+09,0.3375,1.46E+09
0.2,1.21E+09,0.3375,1.46E+09
0.2,1.21E+09,0.3375,1.46E+09
0.2125,1.21E+09,0.3375,1.46E+09
0.2375,1.39E+09,0.3375,1.46E+09
0.2375,1.39E+09,0.35,1.58E+09
0.2375,1.39E+09,0.35,1.58E+09
0.2375,1.39E+09,0.35,1.58E+09
0.2375,1.39E+09,0.35,1.58E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2375,1.39E+09,0.3625,1.64E+09
0.2625,1.57E+09,0.375,1.71E+09
0.2625,1.57E+09,0.375,1.71E+09
0.2625,1.57E+09,0.375,1.71E+09
0.275,1.66E+09,0.3875,1.78E+09
0.275,1.66E+09,0.3875,1.78E+09
0.275,1.66E+09,0.3875,1.78E+09
0.275,1.66E+09,0.3875,1.78E+09
0.275,1.66E+09,0.4,1.85E+09
0.275,1.66E+09,0.4,1.85E+09
0.275,1.66E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.2875,1.74E+09,0.4125,1.92E+09
0.3,1.85E+09,0.4125,1.92E+09
0.3,1.85E+09,0.4125,1.92E+09
0.3,1.85E+09,0.425,1.92E+09
0.3,1.85E+09,0.4375,2.02E+09
0.3,1.85E+09,0.4375,2.02E+09
0.3,1.85E+09,0.4375,2.02E+09
0.3,1.85E+09,0.4375,2.09E+09
0.3125,1.92E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4375,2.09E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.325,2.00E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.3375,2.11E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.24E+09,0.4625,2.14E+09
0.35,2.30E+09,0.4625,2.14E+09
0.35,2.30E+09,0.4625,2.14E+09
0.3625,2.30E+09,0.4625,2.15E+09
0.375,2.36E+09,0.4625,2.15E+09
0.3875,2.44E+09,0.4625,2.15E+09
0.3875,2.44E+09,0.4625,2.15E+09
0.3875,2.44E+09,0.475,2.15E+09
0.3875,2.44E+09,0.475,2.15E+09
0.3875,2.44E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4,2.52E+09,0.475,2.15E+09
0.4125,2.62E+09,0.475,2.15E+09
0.4125,2.62E+09,0.475,2.15E+09
0.4375,2.71E+09,0.475,2.15E+09
0.4375,2.82E+09,0.475,2.15E+09
0.4375,2.82E+09,0.475,2.15E+09
0.4375,2.82E+09,0.475,2.15E+09
0.45,2.82E+09,0.475,2.15E+09
0.45,2.90E+09,0.475,2.15E+09
0.45,2.90E+09,0.475,2.15E+09
0.4625,2.90E+09,0.475,2.15E+09
0.4625,2.90E+09,0.475,2.15E+09
0.4625,2.90E+09,0.475,2.15E+09
0.475,3.04E+09,0.475,2.15E+09
0.475,3.04E+09,0.475,2.15E+09
0.4875,3.04E+09,0.475,2.15E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.475,2.16E+09
0.4875,3.13E+09,0.4875,2.21E+09
