Energy_Variance,Energy_Mean,Energy_P13,Counts_Variance,Energy_P10,Duration_Variance,Amplitude_Standard_deviation,Duration_Mean,RMS_Mean
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
1.0000000000000002,1.0,0.9999999999999996,1.0,1.0000000000000009,1.0,-0.9820940403063414,-0.9749377202660888,-0.9748637501682546
1.2247448713915892,1.224744871391589,1.2247448713915885,1.224744871391589,1.2247448713915885,1.2247448713915892,-0.9638539793261912,-0.9528145097181424,-0.9511745608737352
1.3416407864998736,1.3416407864998738,1.3416407864998736,1.3416407864998736,1.3416407864998732,1.3416407864998736,-0.9453534926427702,-0.9329081380319106,-0.9285932293246828
1.4142135623730951,1.414213562373095,1.4142135623730956,1.4142135623730951,1.4142135623730956,1.4142135623730951,-0.9266978194292328,-0.9144506259662468,-0.9067173934389764
0.6932720774028329,0.6824577662102068,1.1731803957690987,0.7623062395430923,0.0646703194295292,0.7114041968861421,-0.9080084071689244,-0.8967355664776846,-0.8851540111120203
-0.1739956699492595,-0.200716381130549,0.9853030464749356,-0.0011795599319387,-1.3771714364138563,-0.1289477768506229,-0.8894089319616615,-0.8791847484853944,-0.8635702255683196
-0.977020061908518,-1.0109889093700426,0.86198582409519,-0.7416234076712414,-1.937502720998297,-0.9182594763013864,-0.8710153961589723,-0.8613822312639898,-0.8417248020669165
-1.5250980074955582,-1.5514839071541269,0.7720863252372618,-1.323221828665647,-2.0479305202931912,-1.4778575501681053,-0.8529273484191884,-0.8430848829174155,-0.819483576026034
-1.4690083347754537,-1.485504261882948,0.7020247377526606,-1.3267691529807129,-1.7704643919621244,-1.436947337684666,-0.8352209278623696,-0.824212725088166,-0.7968196754752975
-1.2806473593574128,-1.2909861775192513,0.6448125087158749,-1.174531434348053,-1.4891769072758834,-1.257156009659754,-0.8179443545925764,-0.8048223483267212,-0.7737994407617579
-1.1500528480858785,-1.156492018560276,0.5964401734200003,-1.064978043502428,-1.3098716986490329,-1.1314323139198097,-0.8011147181452017,-0.7850704120415275,-0.7505575365828654
-1.052681916581351,-1.0562575555634202,0.5544226089951754,-0.9812868869442908,-1.1828453763899969,-1.037177250844341,-0.7847169191681566,-0.7651757862022818,-0.7272675752277431
-0.9764799932617088,-0.9777357622399044,0.5171276314543145,-0.914659473992089,-1.086805071123669,-0.9631310574075388,-0.7687082811145677,-0.7453840583812998,-0.7041143489533949
-0.9147432211490828,-0.9139889214350632,0.4834337963082925,-0.8599881251006971,-1.010906631957641,-0.9029712915616034,-0.7530295725648575,-0.725929172347825,-0.6812687456763274
-0.8634071306636923,-0.8608283687747619,0.4525422367951869,-0.8140776111051937,-0.9489694834985049,-0.8528379634027637,-0.737617672503001,-0.7069845978936332,-0.6588604841559288
-0.8198451772520278,-0.8155560212431066,0.4238667949515602,-0.7748131467725999,-0.8971790721945075,-0.8102234698815103,-0.7224168987027386,-0.6886141075374891,-0.636947101732689
-0.782274526469896,-0.7763452212371852,0.3969666581664149,-0.7407319097567969,-0.8530367299705067,-0.773418640944036,-0.7073903973431372,-0.67076320412275,-0.6154975296427635
-0.7494367991888322,-0.7419094247173068,0.371503349351851,-0.710785477502248,-0.8148282328036279,-0.7412130493959861,-0.6925362410715076,-0.6533174031203688,-0.5944188305839445
-0.7204150471729559,-0.7113128771000263,0.3472123115744478,-0.6842001612175834,-0.7813331481757638,-0.7127222519950611,-0.6778609483345418,-0.6361113059184994,-0.5735459443388102
-0.6945231912639057,-0.6838565482592962,0.3238835780238597,-0.6603908741538739,-0.7516558224628849,-0.6872829570811658,-0.6633942943216256,-0.6190386791501012,-0.552756845774184
-0.6712362876990567,-0.6590063485576403,0.3013482856828178,-0.6389058595159869,-0.7251220881953676,-0.6643866555067658,-0.6491774742966978,-0.6020435060372086,-0.5319826067133426
-0.650144922703525,-0.6363462711056521,0.2794690558908726,-0.6193900084796516,-0.7012134791356621,-0.6436360772124241,-0.6352574849097993,-0.5851321456522012,-0.5112221427251182
-0.6309244515426367,-0.6155468376666894,0.2581329981949728,-0.6015598038137443,-0.6795238514527452,-0.6247157406941366,-0.6216844751808834,-0.5683855855761523,-0.4905508820842569
-0.6133136900516784,-0.5963432719991568,0.2372465334243187,-0.5851857714436479,-0.6597299167866387,-0.6073715038035025,-0.6085098662713483,-0.5519623465319341,-0.4701217112001695
-0.5970998071589754,-0.5785200445856908,0.216731503345684,-0.5700799183140788,-0.6415707042553872,-0.5913960352962343,-0.5957832508607522,-0.5360910573136993,-0.4501584312763618
-0.5821073927054046,-0.5618997014569842,0.1965222063231827,-0.556086564211718,-0.6248329204915356,-0.5766182823034104,-0.5835472860198191,-0.5210535172755639,-0.4309409771029383
-0.568190401940994,-0.5463346410116848,0.1765631100866776,-0.5430755345159582,-0.6093403051119588,-0.5628956965999139,-0.5718328835901606,-0.5071539893103065,-0.4127780972909847
-0.5552261228769843,-0.531700961543627,0.1568070667502906,-0.5309370274468445,-0.5949457537684709,-0.5501084044229342,-0.560657576382161,-0.4946666683100205,-0.3959612223201236
-0.5431105923338067,-0.517893790244783,0.1372139052545811,-0.5195776898178275,-0.5815253966941203,-0.5381547705017513,-0.5500250454930279,-0.4837570345006188,-0.3806959473360715
-0.5317550667100169,-0.5048236898060171,0.117749310810356,-0.5089175787985699,-0.5689740837525886,-0.5269479786630605,-0.5399213328963166,-0.4743835878065637,-0.3670177231041322
-0.521083272165974,-0.4924138606682655,0.0983839249602084,-0.4988877825822609,-0.5572018974849323,-0.5164133646849234,-0.5303088794787262,-0.4662060427999828,-0.3547177031990948
-0.5110292386365646,-0.4805979388015146,0.0790926169161316,-0.4894285374758463,-0.5461314285136729,-0.5064863133300361,-0.5211269066106943,-0.4585585549455708,-0.343328021591705
-0.5015355766162664,-0.4693182448029152,0.0598538890776246,-0.4804877234753084,-0.5356956238437629,-0.4971105837353618,-0.5123067883284274,-0.4505746913519306,-0.3322224487204026
-0.4925520935758674,-0.4585243789497282,0.0406493885446421,-0.4720196515795204,-0.5258360709305678,-0.4882369637187598,-0.5037950475836921,-0.4415082542814074,-0.3208412612653558
-0.484034673634546,-0.4481720842399342,0.021463502997292,-0.4639840782564158,-0.5165016169152566,-0.4798221792814655,-0.4955784150037834,-0.4311024609397689,-0.308934520035576
-0.4759443632670682,-0.4382223190472878,0.0022830241928548,-0.4563453984306474,-0.5076472483071687,-0.4718280040160133,-0.487640309404404,-0.4200300927867054,-0.2967933941713918
-0.4682466197127083,-0.4286404952118346,-0.0169031340034224,-0.4490719799924083,-0.4992331749767195,-0.4642205265060131,-0.4799667101795384,-0.4094278096503951,-0.2850260798553656
-0.4609106889393535,-0.41939584779234,-0.0361041733564582,-0.4421356114024861,-0.4912240758359526,-0.4569695436276118,-0.4725260589519402,-0.4004296832768073,-0.2743038713056741
