,test_panel_id,params,error
0,Sample1,"[np.int64(126), 0.0026509131087954748, np.int64(890), np.int64(22), 0.29520801406947517, 0.18997742423620262, 3.242948448752214]",2.563453480401408
1,Sample2,"[np.int64(73), 0.009763799669573137, np.int64(616), np.int64(10), 0.390112305133198, 0.4442157921404466, 3.976523240129504]",2.5461471016718953
2,Sample3,"[np.int64(126), 0.0026509131087954748, np.int64(890), np.int64(22), 0.29520801406947517, 0.18997742423620262, 3.242948448752214]",2.6718678943083116
3,Sample4,"[np.int64(138), 0.006463308229180164, np.int64(638), np.int64(15), 0.14089681648465138, 0.11407276606707455, 3.1927620729889177]",2.6016006207217104
4,Sample5,"[np.int64(70), 0.009272613602185464, np.int64(966), np.int64(29), 0.6, 1.0, 3.8805588220842013]",2.5588464493521603
5,Sample6,"[np.int64(140), 0.01, np.int64(652), np.int64(32), 0.5522358209617769, 0.1, 2.6]",2.5648065507692572
6,Sample7,"[np.int64(93), 0.0022858013612974673, np.int64(825), np.int64(9), 0.4470993247467536, 0.9446974381141754, 2.6010902721774203]",2.5602219453641712
7,Sample8,"[np.int64(85), 0.008283766131452663, np.int64(914), np.int64(12), 0.0773195254112053, 0.12422816878634488, 3.705064667461698]",2.677982947653005
8,Sample9,"[np.int64(138), 0.006463308229180164, np.int64(638), np.int64(15), 0.14089681648465138, 0.11407276606707455, 3.1927620729889177]",2.5532176086034157
9,Sample10,"[np.int64(126), 0.0026509131087954748, np.int64(890), np.int64(22), 0.29520801406947517, 0.18997742423620262, 3.242948448752214]",2.5812084996916833
10,Sample11,"[np.int64(93), 0.0022858013612974673, np.int64(825), np.int64(9), 0.4470993247467536, 0.9446974381141754, 2.6010902721774203]",2.5764621306351443
11,Sample12,"[np.int64(72), 0.00858056297135499, np.int64(725), np.int64(17), 0.5596623761865869, 0.7545447962707789, 3.0571570763281697]",2.5980963433905715
