,test_panel_id,params,error
0,Sample1,"[np.int64(73), 0.009763799669573137, np.int64(616), np.int64(10), 0.390112305133198, 0.4442157921404466, 3.976523240129504]",2.5842230851531136
1,Sample2,"[np.int64(103), 0.008739463660626888, np.int64(840), np.int64(19), 0.05729572863792659, 0.9479815801163677, 3.388603504983755]",2.903624635755028
2,Sample3,"[np.int64(138), 0.006463308229180164, np.int64(638), np.int64(15), 0.14089681648465138, 0.11407276606707455, 3.1927620729889177]",2.649095104416957
3,Sample4,"[np.int64(139), 0.006557333586649451, np.int64(806), np.int64(8), 0.06268433377277867, 0.5722971942325503, 3.159805360401358]",2.768002886858304
4,Sample5,"[np.int64(72), 0.00858056297135499, np.int64(725), np.int64(17), 0.5596623761865869, 0.7545447962707789, 3.0571570763281697]",2.0810177003342174
5,Sample6,"[np.int64(110), 0.005687508340232414, np.int64(981), np.int64(28), 0.4610260605755595, 0.5857229191501719, 3.4214516319293877]",2.0420218485411694
6,Sample7,"[np.int64(97), 0.001143696269981928, np.int64(615), np.int64(14), 0.42579493535400204, 0.6489969920043589, 3.7664728764306306]",2.0856111852504973
7,Sample8,"[np.int64(93), 0.0022858013612974673, np.int64(825), np.int64(9), 0.4470993247467536, 0.9446974381141754, 2.6010902721774203]",2.6442963324558377
8,Sample9,"[np.int64(73), 0.009763799669573137, np.int64(616), np.int64(10), 0.390112305133198, 0.4442157921404466, 3.976523240129504]",2.5576807133973425
9,Sample10,"[np.int64(82), 0.004519545468159168, np.int64(591), np.int64(26), 0.2838357309701846, 0.28714749658137, 3.3947804589479884]",2.0923018628040695
10,Sample11,"[np.int64(93), 0.0022858013612974673, np.int64(825), np.int64(9), 0.4470993247467536, 0.9446974381141754, 2.6010902721774203]",2.080129636193852
11,Sample12,"[np.int64(126), 0.0026509131087954748, np.int64(890), np.int64(22), 0.29520801406947517, 0.18997742423620262, 3.242948448752214]",2.0750182562290314
