,test_panel_id,params,error
0,Sample1,"[34, 0.009740179636530448, 202, 11, 0.31682528447988195, 1.2589543895205955, 3.4547233916783293]",3.2014412143947943
1,Sample2,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.238255041010901
2,Sample3,"[65, 0.0002580658969801206, 200, 20, 0.34796648903622, 1.5319959893391453, 3.049626261687645]",3.334230039741743
3,Sample4,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.315249729967874
4,Sample5,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.1871077220758646
5,Sample6,"[65, 0.0002580658969801206, 200, 20, 0.34796648903622, 1.5319959893391453, 3.049626261687645]",3.290314885615108
6,Sample7,"[102, 0.001916004419675022, 628, 41, 0.23399972136972377, 0.9199698989816035, 2.0399720083078416]",3.1485244971429345
7,Sample8,"[117, 0.00610963905209818, 235, 23, 0.09932813075024122, 0.8187636880894328, 1.9431839979071983]",3.3191228069894763
8,Sample9,"[46, 0.003971500014975086, 162, 50, 0.2240748197557975, 1.0495299954418267, 2.3327908851139774]",3.2559726411462853
9,Sample10,"[81, 0.005256259174255656, 770, 55, 0.3787136528659429, 1.4476305588668958, 2.384228147292391]",2.943349153364887
10,Sample11,"[117, 0.00610963905209818, 235, 23, 0.09932813075024122, 0.8187636880894328, 1.9431839979071983]",3.2335309452071908
11,Sample12,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",3.2898514607369096
