,test_panel_id,params,error
0,Sample1,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.0318733800657727
1,Sample2,"[34, 0.009740179636530448, 202, 11, 0.31682528447988195, 1.2589543895205955, 3.4547233916783293]",2.999666927175994
2,Sample3,"[46, 0.003971500014975086, 162, 50, 0.2240748197557975, 1.0495299954418267, 2.3327908851139774]",3.0080951032820926
3,Sample4,"[81, 0.005256259174255656, 770, 55, 0.3787136528659429, 1.4476305588668958, 2.384228147292391]",3.040703287546866
4,Sample5,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.019908998040787
5,Sample6,"[81, 0.005256259174255656, 770, 55, 0.3787136528659429, 1.4476305588668958, 2.384228147292391]",2.949040682249358
6,Sample7,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",3.035604261943975
7,Sample8,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.0095847448358977
8,Sample9,"[46, 0.003971500014975086, 162, 50, 0.2240748197557975, 1.0495299954418267, 2.3327908851139774]",3.0012324750057404
9,Sample10,"[34, 0.009740179636530448, 202, 11, 0.31682528447988195, 1.2589543895205955, 3.4547233916783293]",2.970868750358052
10,Sample11,"[34, 0.009740179636530448, 202, 11, 0.31682528447988195, 1.2589543895205955, 3.4547233916783293]",2.9971070170007796
11,Sample12,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",2.9851157692848194
